test_index,source_index,batch,class_value,affected,mask_group_1,mask_group_2,mask_group_3,mask_group_4,group_1_delta_mean,group_1_delta_l2
0,9546,8,3,False,1,1,1,1,0.0,0.0
1,9547,8,4,False,1,1,1,1,0.0,0.0
2,9548,8,3,True,1,1,1,0,-0.39783832,13.689062
3,9549,8,4,False,1,0,1,1,0.0,0.0
4,9550,8,3,True,0,1,1,0,0.0,0.0
5,9551,8,4,False,1,1,1,1,0.0,0.0
6,9552,8,4,False,0,1,1,1,0.0,0.0
7,9553,8,4,False,1,0,1,0,0.0,0.0
8,9554,8,4,False,1,1,1,0,0.0,0.0
9,9555,8,4,True,1,1,0,1,0.3257655,16.735018
10,9556,8,4,False,1,1,0,1,0.0,0.0
11,9557,8,4,True,0,1,0,1,0.0,0.0
12,9558,8,4,True,1,1,1,1,-0.084951624,15.6160145
13,9559,8,4,False,1,1,1,0,0.0,0.0
14,9560,8,4,False,1,1,1,1,0.0,0.0
15,9561,8,4,True,1,1,1,1,0.1504842,14.612339
16,9562,8,4,False,1,0,1,1,0.0,0.0
17,9563,8,4,False,1,1,1,1,0.0,0.0
18,9564,8,4,False,1,1,0,1,0.0,0.0
19,9565,8,4,False,1,0,1,1,0.0,0.0
20,9566,8,4,False,1,0,1,1,0.0,0.0
21,9567,8,4,True,1,1,1,1,0.23231567,15.959873
22,9568,8,4,False,1,0,1,1,0.0,0.0
23,9569,8,4,False,1,1,0,1,0.0,0.0
24,9570,8,4,False,1,1,0,1,0.0,0.0
25,9571,8,4,False,0,1,1,1,0.0,0.0
26,9572,8,4,True,0,0,1,0,0.0,0.0
27,9573,8,4,False,1,1,1,1,0.0,0.0
28,9574,8,4,True,1,1,1,1,1.1754975,18.611177
29,9575,8,4,True,0,0,1,1,0.0,0.0
30,9576,8,4,True,0,1,1,1,0.0,0.0
31,9577,8,4,False,1,1,1,0,0.0,0.0
32,9578,8,4,False,1,1,0,0,0.0,0.0
33,9579,8,4,True,0,1,1,0,0.0,0.0
34,9580,8,4,False,1,1,1,1,0.0,0.0
35,9581,8,4,False,0,0,0,1,0.0,0.0
36,9582,8,4,False,1,1,0,1,0.0,0.0
37,9583,8,4,False,0,1,0,1,0.0,0.0
38,9584,8,4,False,0,1,1,1,0.0,0.0
39,9585,8,4,True,1,1,1,0,-0.5714649,18.260149
40,9586,8,4,True,1,1,1,1,0.6748177,16.817905
41,9587,8,4,True,1,0,1,1,-0.60761034,16.380043
42,9588,8,4,False,0,1,0,1,0.0,0.0
43,9589,8,4,False,1,1,1,0,0.0,0.0
44,9590,8,4,False,0,1,1,0,0.0,0.0
45,9591,8,4,False,1,1,1,1,0.0,0.0
46,9592,8,4,True,1,0,0,0,0.3341736,14.680389
47,9593,8,4,True,0,1,1,1,0.0,0.0
48,9594,8,4,False,1,1,1,1,0.0,0.0
49,9595,8,4,False,0,1,1,1,0.0,0.0
50,9596,8,4,False,0,1,1,1,0.0,0.0
51,9597,8,4,True,1,1,1,1,0.5283086,16.556305
52,9598,8,4,False,1,1,1,1,0.0,0.0
53,9599,8,4,False,0,1,1,1,0.0,0.0
54,9600,8,4,True,1,1,1,1,-0.29578507,14.166898
55,9601,8,4,True,1,1,1,1,-0.96692514,16.978989
56,9602,8,4,True,0,1,1,0,0.0,0.0
57,9603,8,4,True,1,1,1,1,-0.13674346,17.671034
58,9604,8,4,False,1,1,0,1,0.0,0.0
59,9605,8,4,False,1,1,1,1,0.0,0.0
60,9606,8,4,True,1,0,0,0,-1.6335614,18.285694
61,9607,8,4,True,0,1,0,1,0.0,0.0
62,9608,8,4,False,1,1,1,1,0.0,0.0
63,9609,8,4,False,1,1,1,1,0.0,0.0
64,9610,8,4,True,1,1,1,1,-0.16635045,16.013186
65,9611,8,4,True,1,1,1,1,-0.10350895,17.451485
66,9612,8,4,True,1,1,0,0,-0.57433987,13.980143
67,9613,8,4,True,1,1,0,1,-0.5216745,12.650291
68,9614,8,4,False,1,1,1,1,0.0,0.0
69,9615,8,4,False,1,0,1,0,0.0,0.0
70,9616,8,4,False,1,1,1,1,0.0,0.0
71,9617,8,4,False,1,1,1,1,0.0,0.0
72,9618,8,4,True,1,1,1,1,0.63878685,17.469105
73,9619,8,4,False,0,1,0,1,0.0,0.0
74,9620,8,4,False,1,1,1,1,0.0,0.0
75,9621,8,4,False,1,1,1,1,0.0,0.0
76,9622,8,4,False,1,1,1,1,0.0,0.0
77,9623,8,4,False,1,1,1,1,0.0,0.0
78,9624,8,4,False,1,1,0,1,0.0,0.0
79,9625,8,4,True,1,1,1,1,0.5213764,14.465315
80,9626,8,4,True,1,1,0,0,0.58557355,20.011145
