dataset,task,split,within_split_index,source_index,class_value,batch_or_cycle,guard
chemical,gas_class,train,0,0,0,1,False
chemical,gas_class,train,1,1,0,1,False
chemical,gas_class,train,2,2,0,1,False
chemical,gas_class,train,3,3,0,1,False
chemical,gas_class,train,4,4,0,1,False
chemical,gas_class,train,5,5,0,1,False
chemical,gas_class,train,6,6,0,1,False
chemical,gas_class,train,7,7,0,1,False
chemical,gas_class,train,8,8,0,1,False
chemical,gas_class,train,9,9,0,1,False
chemical,gas_class,train,10,10,0,1,False
chemical,gas_class,train,11,11,0,1,False
chemical,gas_class,train,12,12,0,1,False
chemical,gas_class,train,13,13,0,1,False
chemical,gas_class,train,14,14,0,1,False
chemical,gas_class,train,15,15,0,1,False
chemical,gas_class,train,16,16,0,1,False
chemical,gas_class,train,17,17,0,1,False
chemical,gas_class,train,18,18,0,1,False
chemical,gas_class,train,19,19,0,1,False
chemical,gas_class,train,20,20,0,1,False
chemical,gas_class,train,21,21,0,1,False
chemical,gas_class,train,22,22,0,1,False
chemical,gas_class,train,23,23,0,1,False
chemical,gas_class,train,24,24,0,1,False
chemical,gas_class,train,25,25,0,1,False
chemical,gas_class,train,26,26,0,1,False
chemical,gas_class,train,27,27,0,1,False
chemical,gas_class,train,28,28,0,1,False
chemical,gas_class,train,29,29,0,1,False
chemical,gas_class,train,30,30,0,1,False
chemical,gas_class,train,31,31,0,1,False
chemical,gas_class,train,32,32,0,1,False
chemical,gas_class,train,33,33,0,1,False
chemical,gas_class,train,34,34,0,1,False
chemical,gas_class,train,35,35,0,1,False
chemical,gas_class,train,36,36,0,1,False
chemical,gas_class,train,37,37,0,1,False
chemical,gas_class,train,38,38,0,1,False
chemical,gas_class,train,39,39,0,1,False
chemical,gas_class,train,40,40,0,1,False
chemical,gas_class,train,41,41,0,1,False
chemical,gas_class,train,42,42,0,1,False
chemical,gas_class,train,43,43,0,1,False
chemical,gas_class,train,44,44,0,1,False
chemical,gas_class,train,45,45,0,1,False
chemical,gas_class,train,46,46,0,1,False
