dataset,task,seed,method,parameters,train_seconds,epochs
hydraulic,cooler,101,EF_PD,40579,0.49214950000168756,18
hydraulic,cooler,101,UF_PD,26575,2.1079893999994965,57
hydraulic,cooler,101,CAGF,37844,1.546468399996229,26
hydraulic,cooler,101,DWR,37844,1.5194521000012173,25
hydraulic,cooler,101,PDRF_NOQ,29300,3.451991800000542,52
hydraulic,cooler,102,EF_PD,40579,0.45435790000192355,18
hydraulic,cooler,102,UF_PD,26575,2.325142500005313,57
hydraulic,cooler,102,CAGF,37844,1.8553676000010455,34
hydraulic,cooler,102,DWR,37844,1.790284900002007,30
hydraulic,cooler,102,PDRF_NOQ,29300,3.6718599000014365,52
hydraulic,cooler,103,EF_PD,40579,0.5932083000006969,22
hydraulic,cooler,103,UF_PD,26575,2.202543399995193,57
hydraulic,cooler,103,CAGF,37844,1.7767671000037808,30
hydraulic,cooler,103,DWR,37844,1.9289275999981328,29
hydraulic,cooler,103,PDRF_NOQ,29300,3.0320548999952734,49
hydraulic,cooler,104,EF_PD,40579,0.3956497999970452,17
hydraulic,cooler,104,UF_PD,26575,2.2967568000021856,56
hydraulic,cooler,104,CAGF,37844,1.4449697000018205,24
hydraulic,cooler,104,DWR,37844,1.6319606000033673,24
hydraulic,cooler,104,PDRF_NOQ,29300,4.272729800002708,58
hydraulic,cooler,105,EF_PD,40579,0.5063879000008455,17
hydraulic,cooler,105,UF_PD,26575,2.562927500002843,58
hydraulic,cooler,105,CAGF,37844,1.5944190000009257,25
hydraulic,cooler,105,DWR,37844,1.3426140000010491,23
hydraulic,cooler,105,PDRF_NOQ,29300,3.246756699998514,48
hydraulic,valve,101,EF_PD,40644,2.2641542999990634,80
hydraulic,valve,101,UF_PD,26740,3.586706400004914,80
hydraulic,valve,101,CAGF,38009,3.048978300001181,53
hydraulic,valve,101,DWR,38009,5.016425699999672,77
hydraulic,valve,101,PDRF_NOQ,29465,5.757086899997375,80
hydraulic,valve,102,EF_PD,40644,2.060846300002595,80
hydraulic,valve,102,UF_PD,26740,3.7416092999992543,80
hydraulic,valve,102,CAGF,38009,4.2967267999993055,80
hydraulic,valve,102,DWR,38009,4.679168000002392,80
hydraulic,valve,102,PDRF_NOQ,29465,5.696497500000987,80
hydraulic,valve,103,EF_PD,40644,1.7985081000006176,76
hydraulic,valve,103,UF_PD,26740,3.129365000000689,80
hydraulic,valve,103,CAGF,38009,4.836808199994266,80
hydraulic,valve,103,DWR,38009,4.811518900001829,79
hydraulic,valve,103,PDRF_NOQ,29465,5.511782599998696,80
hydraulic,valve,104,EF_PD,40644,1.9582283999989158,80
hydraulic,valve,104,UF_PD,26740,2.9123918999976013,80
hydraulic,valve,104,CAGF,38009,4.22468050000316,80
hydraulic,valve,104,DWR,38009,4.2462317000026815,77
hydraulic,valve,104,PDRF_NOQ,29465,5.064153500003158,80
hydraulic,valve,105,EF_PD,40644,1.99501820000296,80
hydraulic,valve,105,UF_PD,26740,3.4133021000016015,80
hydraulic,valve,105,CAGF,38009,3.988831199996639,70
hydraulic,valve,105,DWR,38009,4.515684700003476,80
hydraulic,valve,105,PDRF_NOQ,29465,5.344882999997935,80
hydraulic,pump,101,EF_PD,40579,0.8906721999956062,36
hydraulic,pump,101,UF_PD,26575,3.2294699999984005,80
hydraulic,pump,101,CAGF,37844,3.9397642000039923,80
hydraulic,pump,101,DWR,37844,4.076248599994869,80
hydraulic,pump,101,PDRF_NOQ,29300,5.174648799998977,80
hydraulic,pump,102,EF_PD,40579,0.7708487999989302,29
hydraulic,pump,102,UF_PD,26575,2.968839500004833,80
hydraulic,pump,102,CAGF,37844,4.364286399999401,80
hydraulic,pump,102,DWR,37844,4.700352899999416,80
hydraulic,pump,102,PDRF_NOQ,29300,5.951038899998821,80
hydraulic,pump,103,EF_PD,40579,1.0376290999993216,42
hydraulic,pump,103,UF_PD,26575,3.335641300000134,80
hydraulic,pump,103,CAGF,37844,4.004996299998311,73
hydraulic,pump,103,DWR,37844,4.331965099998342,80
hydraulic,pump,103,PDRF_NOQ,29300,5.394582500004617,80
hydraulic,pump,104,EF_PD,40579,1.418678900001396,59
hydraulic,pump,104,UF_PD,26575,3.227519399995799,80
hydraulic,pump,104,CAGF,37844,4.373916800002917,80
hydraulic,pump,104,DWR,37844,3.358418999996502,59
hydraulic,pump,104,PDRF_NOQ,29300,4.996221699999296,80
hydraulic,pump,105,EF_PD,40579,1.3132305999970413,49
hydraulic,pump,105,UF_PD,26575,3.367951799998991,80
hydraulic,pump,105,CAGF,37844,4.277079200001026,76
hydraulic,pump,105,DWR,37844,4.0414896000002045,80
hydraulic,pump,105,PDRF_NOQ,29300,5.311854599996877,80
hydraulic,accumulator,101,EF_PD,40644,1.940491800000018,80
hydraulic,accumulator,101,UF_PD,26740,2.9947261000052094,80
hydraulic,accumulator,101,CAGF,38009,3.872580500006734,69
hydraulic,accumulator,101,DWR,38009,4.6117567000037525,80
hydraulic,accumulator,101,PDRF_NOQ,29465,5.232905500000925,80
hydraulic,accumulator,102,EF_PD,40644,1.8238933999964502,80
hydraulic,accumulator,102,UF_PD,26740,3.5418731000027037,80
hydraulic,accumulator,102,CAGF,38009,3.442019000001892,59
hydraulic,accumulator,102,DWR,38009,4.335547399998177,80
hydraulic,accumulator,102,PDRF_NOQ,29465,5.38962840000022,80
hydraulic,accumulator,103,EF_PD,40644,1.5901348999977927,55
hydraulic,accumulator,103,UF_PD,26740,3.1689121999952476,80
hydraulic,accumulator,103,CAGF,38009,4.359394600003725,80
hydraulic,accumulator,103,DWR,38009,4.208843100001104,77
hydraulic,accumulator,103,PDRF_NOQ,29465,5.206783599998744,80
hydraulic,accumulator,104,EF_PD,40644,1.28313530000014,51
hydraulic,accumulator,104,UF_PD,26740,3.119783499998448,80
hydraulic,accumulator,104,CAGF,38009,4.084869500002242,80
hydraulic,accumulator,104,DWR,38009,3.630226400004176,66
hydraulic,accumulator,104,PDRF_NOQ,29465,5.433274300004996,80
hydraulic,accumulator,105,EF_PD,40644,1.7844292000008863,80
hydraulic,accumulator,105,UF_PD,26740,3.583786399998644,80
hydraulic,accumulator,105,CAGF,38009,4.115859400000772,80
hydraulic,accumulator,105,DWR,38009,4.486818099998345,80
hydraulic,accumulator,105,PDRF_NOQ,29465,5.585370499997225,80
