dataset,task,split,within_split_index,source_index,stable_cycle_index,class_value,batch_or_cycle,guard
hydraulic,cooler,train,0,211,0,3,211,False
hydraulic,cooler,train,1,212,1,3,212,False
hydraulic,cooler,train,2,213,2,3,213,False
hydraulic,cooler,train,3,214,3,3,214,False
hydraulic,cooler,train,4,215,4,3,215,False
hydraulic,cooler,train,5,216,5,3,216,False
hydraulic,cooler,train,6,217,6,3,217,False
hydraulic,cooler,train,7,218,7,3,218,False
hydraulic,cooler,train,8,219,8,3,219,False
hydraulic,cooler,train,9,220,9,3,220,False
hydraulic,cooler,train,10,221,10,3,221,False
hydraulic,cooler,train,11,222,11,3,222,False
hydraulic,cooler,train,12,223,12,3,223,False
hydraulic,cooler,train,13,224,13,3,224,False
hydraulic,cooler,train,14,225,14,3,225,False
hydraulic,cooler,train,15,226,15,3,226,False
hydraulic,cooler,train,16,227,16,3,227,False
hydraulic,cooler,train,17,228,17,3,228,False
hydraulic,cooler,train,18,229,18,3,229,False
hydraulic,cooler,train,19,230,19,3,230,False
hydraulic,cooler,train,20,231,20,3,231,False
hydraulic,cooler,train,21,232,21,3,232,False
hydraulic,cooler,train,22,233,22,3,233,False
hydraulic,cooler,train,23,234,23,3,234,False
hydraulic,cooler,train,24,235,24,3,235,False
hydraulic,cooler,train,25,236,25,3,236,False
hydraulic,cooler,train,26,237,26,3,237,False
hydraulic,cooler,train,27,238,27,3,238,False
hydraulic,cooler,train,28,239,28,3,239,False
hydraulic,cooler,train,29,240,29,3,240,False
hydraulic,cooler,train,30,241,30,3,241,False
hydraulic,cooler,train,31,242,31,3,242,False
hydraulic,cooler,train,32,243,32,3,243,False
hydraulic,cooler,train,33,244,33,3,244,False
hydraulic,cooler,train,34,245,34,3,245,False
hydraulic,cooler,train,35,246,35,3,246,False
hydraulic,cooler,train,36,247,36,3,247,False
hydraulic,cooler,train,37,248,37,3,248,False
hydraulic,cooler,train,38,249,38,3,249,False
hydraulic,cooler,train,39,250,39,3,250,False
hydraulic,cooler,train,40,252,40,3,252,False
hydraulic,cooler,train,41,253,41,3,253,False
hydraulic,cooler,train,42,254,42,3,254,False
hydraulic,cooler,train,43,255,43,3,255,False
hydraulic,cooler,train,44,256,44,3,256,False
hydraulic,cooler,train,45,257,45,3,257,False
hydraulic,cooler,train,46,258,46,3,258,False
hydraulic,cooler,train,47,259,47,3,259,False
hydraulic,cooler,train,48,260,48,3,260,False
hydraulic,cooler,train,49,261,49,3,261,False
hydraulic,cooler,train,50,262,50,3,262,False
hydraulic,cooler,train,51,263,51,3,263,False
hydraulic,cooler,train,52,264,52,3,264,False
hydraulic,cooler,train,53,265,53,3,265,False
hydraulic,cooler,train,54,266,54,3,266,False
hydraulic,cooler,train,55,267,55,3,267,False
hydraulic,cooler,train,56,268,56,3,268,False
hydraulic,cooler,train,57,269,57,3,269,False
hydraulic,cooler,train,58,270,58,3,270,False
hydraulic,cooler,train,59,271,59,3,271,False
hydraulic,cooler,train,60,272,60,3,272,False
hydraulic,cooler,train,61,273,61,3,273,False
hydraulic,cooler,train,62,274,62,3,274,False
hydraulic,cooler,train,63,275,63,3,275,False
hydraulic,cooler,train,64,276,64,3,276,False
hydraulic,cooler,train,65,277,65,3,277,False
hydraulic,cooler,train,66,278,66,3,278,False
hydraulic,cooler,train,67,279,67,3,279,False
hydraulic,cooler,train,68,280,68,3,280,False
hydraulic,cooler,train,69,281,69,3,281,False
hydraulic,cooler,train,70,282,70,3,282,False
hydraulic,cooler,train,71,283,71,3,283,False
hydraulic,cooler,train,72,284,72,3,284,False
hydraulic,cooler,train,73,285,73,3,285,False
hydraulic,cooler,train,74,286,74,3,286,False
hydraulic,cooler,train,75,287,75,3,287,False
hydraulic,cooler,train,76,288,76,3,288,False
hydraulic,cooler,train,77,289,77,3,289,False
hydraulic,cooler,train,78,290,78,3,290,False
hydraulic,cooler,train,79,291,79,3,291,False
hydraulic,cooler,train,80,293,80,3,293,False
hydraulic,cooler,train,81,294,81,3,294,False
hydraulic,cooler,train,82,295,82,3,295,False
hydraulic,cooler,train,83,296,83,3,296,False
hydraulic,cooler,train,84,297,84,3,297,False
hydraulic,cooler,train,85,298,85,3,298,False
hydraulic,cooler,train,86,299,86,3,299,False
hydraulic,cooler,train,87,300,87,3,300,False
hydraulic,cooler,train,88,301,88,3,301,False
hydraulic,cooler,train,89,302,89,3,302,False
hydraulic,cooler,train,90,303,90,3,303,False
hydraulic,cooler,train,91,304,91,3,304,False
hydraulic,cooler,train,92,305,92,3,305,False
hydraulic,cooler,train,93,306,93,3,306,False
hydraulic,cooler,train,94,307,94,3,307,False
hydraulic,cooler,train,95,308,95,3,308,False
hydraulic,cooler,train,96,309,96,3,309,False
hydraulic,cooler,train,97,310,97,3,310,False
hydraulic,cooler,train,98,311,98,3,311,False
hydraulic,cooler,train,99,312,99,3,312,False
hydraulic,cooler,train,100,313,100,3,313,False
hydraulic,cooler,train,101,314,101,3,314,False
hydraulic,cooler,train,102,315,102,3,315,False
hydraulic,cooler,train,103,316,103,3,316,False
hydraulic,cooler,train,104,317,104,3,317,False
hydraulic,cooler,train,105,318,105,3,318,False
hydraulic,cooler,train,106,319,106,3,319,False
hydraulic,cooler,train,107,320,107,3,320,False
hydraulic,cooler,train,108,321,108,3,321,False
hydraulic,cooler,train,109,322,109,3,322,False
hydraulic,cooler,train,110,323,110,3,323,False
hydraulic,cooler,train,111,324,111,3,324,False
hydraulic,cooler,train,112,325,112,3,325,False
hydraulic,cooler,train,113,326,113,3,326,False
hydraulic,cooler,train,114,327,114,3,327,False
hydraulic,cooler,train,115,328,115,3,328,False
hydraulic,cooler,train,116,329,116,3,329,False
hydraulic,cooler,train,117,330,117,3,330,False
hydraulic,cooler,train,118,331,118,3,331,False
hydraulic,cooler,train,119,332,119,3,332,False
hydraulic,cooler,train,120,344,120,3,344,False
hydraulic,cooler,train,121,345,121,3,345,False
hydraulic,cooler,train,122,346,122,3,346,False
hydraulic,cooler,train,123,347,123,3,347,False
hydraulic,cooler,train,124,348,124,3,348,False
hydraulic,cooler,train,125,349,125,3,349,False
hydraulic,cooler,train,126,350,126,3,350,False
hydraulic,cooler,train,127,351,127,3,351,False
hydraulic,cooler,train,128,352,128,3,352,False
hydraulic,cooler,train,129,353,129,3,353,False
hydraulic,cooler,train,130,354,130,3,354,False
hydraulic,cooler,train,131,355,131,3,355,False
hydraulic,cooler,train,132,356,132,3,356,False
hydraulic,cooler,train,133,357,133,3,357,False
hydraulic,cooler,train,134,358,134,3,358,False
hydraulic,cooler,train,135,359,135,3,359,False
hydraulic,cooler,train,136,360,136,3,360,False
hydraulic,cooler,train,137,361,137,3,361,False
hydraulic,cooler,train,138,362,138,3,362,False
hydraulic,cooler,train,139,363,139,3,363,False
hydraulic,cooler,train,140,364,140,3,364,False
hydraulic,cooler,train,141,365,141,3,365,False
hydraulic,cooler,train,142,366,142,3,366,False
hydraulic,cooler,train,143,367,143,3,367,False
hydraulic,cooler,train,144,368,144,3,368,False
hydraulic,cooler,train,145,369,145,3,369,False
hydraulic,cooler,train,146,370,146,3,370,False
hydraulic,cooler,train,147,371,147,3,371,False
hydraulic,cooler,train,148,372,148,3,372,False
hydraulic,cooler,train,149,373,149,3,373,False
hydraulic,cooler,train,150,374,150,3,374,False
hydraulic,cooler,train,151,375,151,3,375,False
hydraulic,cooler,train,152,376,152,3,376,False
hydraulic,cooler,train,153,377,153,3,377,False
hydraulic,cooler,train,154,378,154,3,378,False
hydraulic,cooler,train,155,379,155,3,379,False
hydraulic,cooler,train,156,380,156,3,380,False
hydraulic,cooler,train,157,381,157,3,381,False
hydraulic,cooler,train,158,382,158,3,382,False
hydraulic,cooler,train,159,383,159,3,383,False
hydraulic,cooler,train,160,385,160,3,385,False
hydraulic,cooler,train,161,386,161,3,386,False
hydraulic,cooler,train,162,387,162,3,387,False
hydraulic,cooler,train,163,388,163,3,388,False
hydraulic,cooler,train,164,389,164,3,389,False
hydraulic,cooler,train,165,390,165,3,390,False
hydraulic,cooler,train,166,391,166,3,391,False
hydraulic,cooler,train,167,392,167,3,392,False
hydraulic,cooler,train,168,393,168,3,393,False
hydraulic,cooler,train,169,394,169,3,394,False
hydraulic,cooler,train,170,395,170,3,395,False
hydraulic,cooler,train,171,396,171,3,396,False
hydraulic,cooler,train,172,397,172,3,397,False
hydraulic,cooler,train,173,398,173,3,398,False
hydraulic,cooler,train,174,399,174,3,399,False
hydraulic,cooler,train,175,400,175,3,400,False
hydraulic,cooler,train,176,401,176,3,401,False
hydraulic,cooler,train,177,402,177,3,402,False
hydraulic,cooler,train,178,403,178,3,403,False
hydraulic,cooler,train,179,404,179,3,404,False
hydraulic,cooler,train,180,405,180,3,405,False
hydraulic,cooler,train,181,406,181,3,406,False
hydraulic,cooler,train,182,407,182,3,407,False
hydraulic,cooler,train,183,408,183,3,408,False
hydraulic,cooler,train,184,409,184,3,409,False
hydraulic,cooler,train,185,410,185,3,410,False
hydraulic,cooler,train,186,411,186,3,411,False
hydraulic,cooler,train,187,412,187,3,412,False
hydraulic,cooler,train,188,413,188,3,413,False
hydraulic,cooler,train,189,414,189,3,414,False
hydraulic,cooler,train,190,415,190,3,415,False
hydraulic,cooler,train,191,416,191,3,416,False
hydraulic,cooler,train,192,417,192,3,417,False
hydraulic,cooler,train,193,418,193,3,418,False
hydraulic,cooler,train,194,419,194,3,419,False
hydraulic,cooler,train,195,420,195,3,420,False
hydraulic,cooler,train,196,421,196,3,421,False
hydraulic,cooler,train,197,422,197,3,422,False
hydraulic,cooler,train,198,423,198,3,423,False
hydraulic,cooler,train,199,424,199,3,424,False
hydraulic,cooler,train,200,426,200,3,426,False
hydraulic,cooler,train,201,427,201,3,427,False
hydraulic,cooler,train,202,428,202,3,428,False
hydraulic,cooler,train,203,429,203,3,429,False
hydraulic,cooler,train,204,430,204,3,430,False
hydraulic,cooler,train,205,431,205,3,431,False
hydraulic,cooler,train,206,432,206,3,432,False
hydraulic,cooler,train,207,433,207,3,433,False
hydraulic,cooler,train,208,434,208,3,434,False
hydraulic,cooler,train,209,435,209,3,435,False
hydraulic,cooler,train,210,436,210,3,436,False
hydraulic,cooler,train,211,437,211,3,437,False
hydraulic,cooler,train,212,438,212,3,438,False
hydraulic,cooler,train,213,439,213,3,439,False
hydraulic,cooler,train,214,440,214,3,440,False
hydraulic,cooler,train,215,441,215,3,441,False
hydraulic,cooler,train,216,442,216,3,442,False
hydraulic,cooler,train,217,443,217,3,443,False
hydraulic,cooler,train,218,444,218,3,444,False
hydraulic,cooler,train,219,445,219,3,445,False
hydraulic,cooler,train,220,446,220,3,446,False
hydraulic,cooler,train,221,447,221,3,447,False
hydraulic,cooler,train,222,448,222,3,448,False
hydraulic,cooler,train,223,449,223,3,449,False
hydraulic,cooler,train,224,450,224,3,450,False
hydraulic,cooler,train,225,451,225,3,451,False
hydraulic,cooler,train,226,452,226,3,452,False
hydraulic,cooler,train,227,453,227,3,453,False
hydraulic,cooler,train,228,454,228,3,454,False
hydraulic,cooler,train,229,455,229,3,455,False
hydraulic,cooler,train,230,456,230,3,456,False
