held_out_building,seed,method,regime,metric,value
auditorium,101,EF-PD,source_norm,accuracy,0.9961993040075693
auditorium,101,EF-PD,source_norm,macro_f1,0.972343556949554
auditorium,101,EF-PD,source_norm,macro_auroc,0.9998054283809839
auditorium,101,EF-PD,source_norm,macro_auprc,0.9976438975055208
auditorium,101,EF-PD,source_norm,nll,0.00846345712296674
auditorium,101,EF-PD,source_norm,class_1_precision,0.9994171717844534
auditorium,101,EF-PD,source_norm,class_1_recall,0.996645576977366
auditorium,101,EF-PD,source_norm,class_1_f1,0.9980294501583923
auditorium,101,EF-PD,source_norm,class_1_auroc,0.9998054225556607
auditorium,101,EF-PD,source_norm,class_1_auprc,0.9999930666283754
auditorium,101,EF-PD,source_norm,class_2_precision,0.9123644251626898
auditorium,101,EF-PD,source_norm,class_2_recall,0.9836295603367633
auditorium,101,EF-PD,source_norm,class_2_f1,0.9466576637407157
auditorium,101,EF-PD,source_norm,class_2_auroc,0.999805434206307
auditorium,101,EF-PD,source_norm,class_2_auprc,0.9952947283826662
auditorium,101,EF-PD,source_norm,brier,0.005397033042825104
auditorium,101,EF-PD,source_norm,ece15,0.0012464791702173658
auditorium,101,EF-PD,source_norm,reversed_auroc,0.0001945696772418342
auditorium,101,EF-PD,source_norm,recall_return_air_temperature_fault,0.9884659746251442
auditorium,101,EF-PD,source_norm,recall_supply_air_temperature_fault,0.9628712871287128
auditorium,101,EF-PD,source_norm,selective_error_at_0.5,0.0
auditorium,101,EF-PD,source_norm,selective_error_at_0.8,0.0
auditorium,101,EF-PD,source_norm,selective_error_at_1,0.0038006959924307138
auditorium,101,EF-PD,source_norm,parameters,12354.0
auditorium,101,EF-PD,source_norm,train_seconds,18.13754589999735
auditorium,101,EF-PD,source_norm,epochs,12.0
auditorium,101,EF-PD,source_norm,inference_ms_per_observation,0.0003389515212454313
auditorium,101,EF-PD,target_norm,accuracy,0.8938691726670622
auditorium,101,EF-PD,target_norm,macro_f1,0.6660734279691575
auditorium,101,EF-PD,target_norm,macro_auroc,0.992385116199896
auditorium,101,EF-PD,target_norm,macro_auprc,0.9295474859953297
auditorium,101,EF-PD,target_norm,nll,0.3987039240188074
auditorium,101,EF-PD,target_norm,class_1_precision,0.999627150873399
auditorium,101,EF-PD,target_norm,class_1_recall,0.890433251963666
auditorium,101,EF-PD,target_norm,class_1_f1,0.9418759880555068
auditorium,101,EF-PD,target_norm,class_1_auroc,0.9923850249364997
auditorium,101,EF-PD,target_norm,class_1_auprc,0.9997205687626555
auditorium,101,EF-PD,target_norm,class_2_precision,0.2430013767783387
auditorium,101,EF-PD,target_norm,class_2_recall,0.990645463049579
auditorium,101,EF-PD,target_norm,class_2_f1,0.3902708678828082
auditorium,101,EF-PD,target_norm,class_2_auroc,0.9923852074632922
