held_out_building,method,regime,metric,mean,std
auditorium,EF-PD,coral_adapt,ece15,0.09186839448871723,0.012714689503114716
auditorium,EF-PD,coral_adapt,macro_auprc,0.8345365901651087,0.05040534708046228
auditorium,EF-PD,coral_adapt,macro_auroc,0.9806874424254184,0.004584881641278433
auditorium,EF-PD,coral_adapt,nll,0.44002989095766265,0.06374904005101216
auditorium,EF-PD,coral_adapt,reversed_auroc,0.01931278631560438,0.004584980433164754
auditorium,EF-PD,source_norm,ece15,0.00106467675112796,0.00019271701635001405
auditorium,EF-PD,source_norm,macro_auprc,0.9975736963901527,0.0003796522553552
auditorium,EF-PD,source_norm,macro_auroc,0.9998055126539922,2.9862035140468727e-05
auditorium,EF-PD,source_norm,nll,0.00861457418087298,0.0009250591638966842
auditorium,EF-PD,source_norm,reversed_auroc,0.0001944881227175,2.9861218311114196e-05
auditorium,EF-PD,target_norm,ece15,0.0876496491488853,0.02347401897831147
auditorium,EF-PD,target_norm,macro_auprc,0.9214544025716558,0.0501603754227397
auditorium,EF-PD,target_norm,macro_auroc,0.9920578444959031,0.005124956981714892
auditorium,EF-PD,target_norm,nll,0.41976282405000587,0.04199209188539763
auditorium,EF-PD,target_norm,reversed_auroc,0.00794212909596526,0.005124939819255169
auditorium,GroupDRO-EF-PD,source_only,ece15,0.0009760318164967599,0.00044125722202032256
auditorium,GroupDRO-EF-PD,source_only,macro_auprc,0.99758112863359,0.0012520637208907975
auditorium,GroupDRO-EF-PD,source_only,macro_auroc,0.9998067142239837,9.560175735926911e-05
auditorium,GroupDRO-EF-PD,source_only,nll,0.009526551936993321,0.0019197751552735688
auditorium,GroupDRO-EF-PD,source_only,reversed_auroc,0.00019328577601635953,9.560175735926337e-05
auditorium,HGB-current,source_only,ece15,0.00103828700038584,0.00044564913538414113
auditorium,HGB-current,source_only,macro_auprc,0.9932477556762421,0.0007954199986949047
auditorium,HGB-current,source_only,macro_auroc,0.9984381656159881,0.00044176729755196926
auditorium,HGB-current,source_only,nll,0.010160669258467961,0.0004633032760124499
auditorium,HGB-current,source_only,reversed_auroc,0.00156183438401186,0.0004417672975520091
auditorium,RO-PDRF-NOQ,coral_adapt,ece15,0.02767791284358544,0.005173112387659968
