dataset,task,seed,method,training_forward_paths,inference_forward_paths,parameters,train_seconds,epochs,inference_ms_per_observation
chemical,gas_class,101,CAGF,3,1,26588,11.004909899987979,25,0.0016903299721995903
chemical,gas_class,101,RO-CAGF,3,1,26588,17.16437600000063,25,0.0018774747912960654
chemical,gas_class,101,PDRF,3,1,19740,20.090338300011354,29,0.0018764894625759325
chemical,gas_class,101,RO-PDRF,3,1,19740,24.178248699987307,29,0.0018562328164409385
chemical,gas_class,102,CAGF,3,1,26588,10.494715100008762,19,0.001807951415715249
chemical,gas_class,102,RO-CAGF,3,1,26588,10.294828700018115,15,0.0019103574713689507
chemical,gas_class,102,PDRF,3,1,19740,13.799998700007563,20,0.001849014659674273
chemical,gas_class,102,RO-PDRF,3,1,19740,16.636785899987444,20,0.001946677357834652
chemical,gas_class,103,CAGF,3,1,26588,10.468736300012097,19,0.0016817598544764585
chemical,gas_class,103,RO-CAGF,3,1,26588,12.146627299982356,18,0.0018043537981322464
chemical,gas_class,103,PDRF,3,1,19740,12.327918499999214,18,0.0016636801135041653
chemical,gas_class,103,RO-PDRF,3,1,19740,14.78204160000314,18,0.0017139780015332964
chemical,gas_class,104,CAGF,3,1,26588,13.232440699997824,24,0.0017769477533634947
chemical,gas_class,104,RO-CAGF,3,1,26588,16.349190700013423,24,0.0016733730562060293
chemical,gas_class,104,PDRF,3,1,19740,17.88438830000814,26,0.001851741523195082
chemical,gas_class,104,RO-PDRF,3,1,19740,21.252611100004287,26,0.001786732349122638
chemical,gas_class,105,CAGF,3,1,26588,11.535093000013148,21,0.0016614115486151132
chemical,gas_class,105,RO-CAGF,3,1,26588,10.794196700007888,16,0.0018617781832016916
chemical,gas_class,105,PDRF,3,1,19740,12.45717889998923,18,0.001858318055208216
chemical,gas_class,105,RO-PDRF,3,1,19740,24.01753139999346,29,0.0018255957863255175
chemical,gas_class,106,CAGF,3,1,26588,18.289922700001625,33,0.001752818517135516
chemical,gas_class,106,RO-CAGF,3,1,26588,14.843335699988529,21,0.0020787351082145696
