method,subset,metric,value
CAGF,all,accuracy,0.5664527956003667
CAGF,all,macro_f1,0.5407050709213815
CAGF,all,macro_auroc,0.8537388015241892
CAGF,all,macro_auprc,0.6333484497665484
CAGF,all,nll,1.2605508229668385
CAGF,all,brier,0.5725055939670595
CAGF,all,ece15,0.07937018758253898
CAGF,affected,accuracy,0.5308781869688385
CAGF,affected,macro_f1,0.5118183022501145
CAGF,affected,macro_auroc,0.8375350757152719
CAGF,affected,macro_auprc,0.6055338375727003
CAGF,affected,nll,1.3593352657840576
CAGF,affected,brier,0.6129897529113882
CAGF,affected,ece15,0.0949228772518551
CAGF,unaffected,accuracy,0.5906117737591381
CAGF,unaffected,macro_f1,0.5601500862790042
CAGF,unaffected,macro_auroc,0.8649225201902423
CAGF,unaffected,macro_auprc,0.6525215007000861
CAGF,unaffected,nll,1.1934655818847333
CAGF,unaffected,brier,0.5450125041106763
CAGF,unaffected,ece15,0.07283115634013448
RO-CAGF,all,accuracy,0.5460586617781852
RO-CAGF,all,macro_f1,0.5253430008987398
RO-CAGF,all,macro_auroc,0.8510386231862305
RO-CAGF,all,macro_auprc,0.6227543303103243
RO-CAGF,all,nll,1.3002234469295526
RO-CAGF,all,brier,0.5914046824266431
RO-CAGF,all,ece15,0.11576473131167067
RO-CAGF,affected,accuracy,0.5104815864022663
RO-CAGF,affected,macro_f1,0.4933454194513156
RO-CAGF,affected,macro_auroc,0.8367586614942181
RO-CAGF,affected,macro_auprc,0.5970990379584071
RO-CAGF,affected,nll,1.4114947277450056
RO-CAGF,affected,brier,0.6334901917799981
RO-CAGF,affected,ece15,0.13637793259839578
RO-CAGF,unaffected,accuracy,0.5702193151212005
RO-CAGF,unaffected,macro_f1,0.5465234785462627
RO-CAGF,unaffected,macro_auroc,0.8615867435017498
RO-CAGF,unaffected,macro_auprc,0.6411249175354665
RO-CAGF,unaffected,nll,1.224658302397319
RO-CAGF,unaffected,brier,0.5628241037391974
RO-CAGF,unaffected,ece15,0.10176615483184391
PDRF,all,accuracy,0.5618698441796517
PDRF,all,macro_f1,0.5442598908315562
PDRF,all,macro_auroc,0.8477845953017771
PDRF,all,macro_auprc,0.6226271895987833
PDRF,all,nll,1.7968296138832653
PDRF,all,brier,0.6325457280679895
PDRF,all,ece15,0.21995627051046518
PDRF,affected,accuracy,0.4861189801699717
PDRF,affected,macro_f1,0.4804187162062144
PDRF,affected,macro_auroc,0.8091042267862091
PDRF,affected,macro_auprc,0.5535590437101144
PDRF,affected,nll,2.222278257415602
PDRF,affected,brier,0.7448346841909932
PDRF,affected,ece15,0.27769414404297016
PDRF,unaffected,accuracy,0.6133128126202385
PDRF,unaffected,macro_f1,0.5831246136995916
PDRF,unaffected,macro_auroc,0.874913779773991
PDRF,unaffected,macro_auprc,0.671068793684857
PDRF,unaffected,nll,1.507904313446723
PDRF,unaffected,brier,0.5562894727555224
PDRF,unaffected,ece15,0.18094496369644106
RO-PDRF,all,accuracy,0.5641613198900092
RO-PDRF,all,macro_f1,0.5424685474197908
RO-PDRF,all,macro_auroc,0.8512077834485456
RO-PDRF,all,macro_auprc,0.6277392388796944
RO-PDRF,all,nll,1.710702229036464
RO-PDRF,all,brier,0.6327766183458112
RO-PDRF,all,ece15,0.22575311244833884
RO-PDRF,affected,accuracy,0.4991501416430595
RO-PDRF,affected,macro_f1,0.4894656968877687
RO-PDRF,affected,macro_auroc,0.818551679777622
RO-PDRF,affected,macro_auprc,0.5665425736223452
RO-PDRF,affected,nll,2.0143729622800564
RO-PDRF,affected,brier,0.7240476385837008
RO-PDRF,affected,ece15,0.26921083107436433
RO-PDRF,unaffected,accuracy,0.6083108888033859
RO-PDRF,unaffected,macro_f1,0.5756908727010289
RO-PDRF,unaffected,macro_auroc,0.873995263621393
RO-PDRF,unaffected,macro_auprc,0.6705354578120136
RO-PDRF,unaffected,nll,1.504477202420481
RO-PDRF,unaffected,brier,0.5707937977533236
RO-PDRF,unaffected,ece15,0.19668823074330088
