seed,method,training_forward_paths,inference_forward_paths,inference_ms_per_observation,parameters,train_seconds,epochs
101,RO-CAGF KL=0,3,1,0.0014146425310239763,26588,11.289296900009504,18
101,RO-CAGF KL=.001,3,1,0.001983730522111164,26588,12.954254299984314,18
101,RO-CAGF KL=.020,3,1,0.0018651237432063,26588,17.270302399992943,25
101,RO-PDRF interior=0,3,1,0.0017153299691588348,19740,23.71028880000813,29
101,RO-PDRF interior=.001,3,1,0.002043217231016299,19740,23.534601200022735,29
101,RO-PDRF interior=.020,3,1,0.0019676443601797967,19740,24.17528029999812,29
102,RO-CAGF KL=0,3,1,0.0017229835029565974,26588,12.699987600004533,19
102,RO-CAGF KL=.001,3,1,0.0017271081572970482,26588,13.063086400012253,19
102,RO-CAGF KL=.020,3,1,0.0017560265808815253,26588,10.273024800000712,15
102,RO-PDRF interior=0,3,1,0.0015925068761871687,19740,16.319861500000115,20
102,RO-PDRF interior=.001,3,1,0.0019717231913261445,19740,16.603371600009268,20
102,RO-PDRF interior=.020,3,1,0.002041750682063749,19740,16.490647600003285,20
103,RO-CAGF KL=0,3,1,0.0017831347382087073,26588,12.059009799995692,18
103,RO-CAGF KL=.001,3,1,0.001726718610129127,26588,12.345883400004823,18
103,RO-CAGF KL=.020,3,1,0.0018282538983824907,26588,12.182349200011231,18
103,RO-PDRF interior=0,3,1,0.001640192482022502,19740,14.4831343999831,18
103,RO-PDRF interior=.001,3,1,0.0019209669979961843,19740,14.781925300019793,18
103,RO-PDRF interior=.020,3,1,0.0018236251155471072,19740,14.96157410001615,18
104,RO-CAGF KL=0,3,1,0.0018426443620454297,26588,10.688735300005646,16
104,RO-CAGF KL=.001,3,1,0.0016555453728121304,26588,10.936555799999041,16
104,RO-CAGF KL=.020,3,1,0.0018198441785114018,26588,16.408921599999303,24
104,RO-PDRF interior=0,3,1,0.0016554307981541912,19740,20.79720860000816,26
104,RO-PDRF interior=.001,3,1,0.0018677360187310257,19740,21.510900599998422,26
104,RO-PDRF interior=.020,3,1,0.0019008707630513773,19740,21.485779899987392,26
105,RO-CAGF KL=0,3,1,0.0018788038506590882,26588,13.915280500019435,21
105,RO-CAGF KL=.001,3,1,0.0018383134733206883,26588,12.350945799989859,18
105,RO-CAGF KL=.020,3,1,0.0018243354717572583,26588,11.615572100010468,17
105,RO-PDRF interior=0,3,1,0.001938267644632635,19740,24.580787000013515,29
105,RO-PDRF interior=.001,3,1,0.002131828597890201,19740,25.541608000028646,29
105,RO-PDRF interior=.020,3,1,0.0022246104489677303,19740,35.42508750001434,40
106,RO-CAGF KL=0,3,1,0.002070714942180474,26588,14.872590199986007,21
106,RO-CAGF KL=.001,3,1,0.0020315765324676123,26588,15.152672299998812,21
106,RO-CAGF KL=.020,3,1,0.0020928276777668667,26588,15.364392499992391,21
106,RO-PDRF interior=0,3,1,0.002147227311873933,19740,16.53280749998521,19
106,RO-PDRF interior=.001,3,1,0.002276947752570035,19740,16.784208600001875,19
106,RO-PDRF interior=.020,3,1,0.002147937668084084,19740,16.741772000008496,19
107,RO-CAGF KL=0,3,1,0.0019807286927494452,26588,14.659383500023978,21
107,RO-CAGF KL=.001,3,1,0.0020990146626120795,26588,15.179553800000576,21
107,RO-CAGF KL=.020,3,1,0.0020013978009839483,26588,13.106995000009192,18
107,RO-PDRF interior=0,3,1,0.0020017644332202818,19740,16.361882099998184,19
107,RO-PDRF interior=.001,3,1,0.002252589367026178,19740,22.283796699979575,25
107,RO-PDRF interior=.020,3,1,0.002243858844781931,19740,22.129910899995593,25
108,RO-CAGF KL=0,3,1,0.0020750687458368036,26588,18.370626400021138,26
108,RO-CAGF KL=.001,3,1,0.00197859761744992,26588,18.867415400018217,26
108,RO-CAGF KL=.020,3,1,0.0019475710334975057,26588,15.227652600005968,21
108,RO-PDRF interior=0,3,1,0.0018958753413105883,19740,35.61075999998138,41
108,RO-PDRF interior=.001,3,1,0.0020176214458357705,19740,36.26120300000184,41
108,RO-PDRF interior=.020,3,1,0.002120325388931042,19740,32.6344773999881,37
109,RO-CAGF KL=0,3,1,0.0020007561828994888,26588,12.560512299998663,18
109,RO-CAGF KL=.001,3,1,0.0024773602236888613,26588,12.736398000008194,18
109,RO-CAGF KL=.020,3,1,0.002403964251345988,26588,13.640626200009137,18
109,RO-PDRF interior=0,3,1,0.0022401466525409893,19740,25.99390209998819,28
109,RO-PDRF interior=.001,3,1,0.002435449127261087,19740,26.339140600000974,28
109,RO-PDRF interior=.020,3,1,0.0024178505931830665,19740,26.474091500014765,28
110,RO-CAGF KL=0,3,1,0.002511319892208231,26588,12.832131600007415,17
110,RO-CAGF KL=.001,3,1,0.0025386113623190438,26588,16.98510890000034,22
110,RO-CAGF KL=.020,3,1,0.0023517415224016225,26588,13.846716000000015,18
110,RO-PDRF interior=0,3,1,0.0021838221841877603,19740,30.993281100003514,33
110,RO-PDRF interior=.001,3,1,0.0024315765371681025,19740,31.386879900004715,33
110,RO-PDRF interior=.020,3,1,0.0024712878068325157,19740,31.08208680001553,33
