seed,method,subset,metric,value
101,RO-CAGF KL=0,all,accuracy,0.5311640696608616
101,RO-CAGF KL=0,all,macro_f1,0.5122994424554398
101,RO-CAGF KL=0,all,macro_auroc,0.8218644019446825
101,RO-CAGF KL=0,all,macro_auprc,0.5598386980005119
101,RO-CAGF KL=0,all,nll,2.025391492413369
101,RO-CAGF KL=0,all,brier,0.7041419046933615
101,RO-CAGF KL=0,all,ece15,0.2581886868312695
101,RO-CAGF KL=0,affected,accuracy,0.48951841359773374
101,RO-CAGF KL=0,affected,macro_f1,0.4697163048364122
101,RO-CAGF KL=0,affected,macro_auroc,0.8016447508841029
101,RO-CAGF KL=0,affected,macro_auprc,0.5134016254517023
101,RO-CAGF KL=0,affected,nll,2.1594944465046337
101,RO-CAGF KL=0,affected,brier,0.7635531042427568
101,RO-CAGF KL=0,affected,ece15,0.2814141473165652
101,RO-CAGF KL=0,unaffected,accuracy,0.5594459407464409
101,RO-CAGF KL=0,unaffected,macro_f1,0.5418319723629856
101,RO-CAGF KL=0,unaffected,macro_auroc,0.8346606375050213
101,RO-CAGF KL=0,unaffected,macro_auprc,0.5932066391238635
101,RO-CAGF KL=0,unaffected,nll,1.9343211907700129
101,RO-CAGF KL=0,unaffected,brier,0.6637953224676273
101,RO-CAGF KL=0,unaffected,ece15,0.24299838980742264
101,RO-CAGF KL=.001,all,accuracy,0.5332263978001833
101,RO-CAGF KL=.001,all,macro_f1,0.5125480401377153
101,RO-CAGF KL=.001,all,macro_auroc,0.8251282848304472
101,RO-CAGF KL=.001,all,macro_auprc,0.5556308493700631
101,RO-CAGF KL=.001,all,nll,1.9905861522100703
101,RO-CAGF KL=.001,all,brier,0.7032813392574175
101,RO-CAGF KL=.001,all,ece15,0.2567971295631883
101,RO-CAGF KL=.001,affected,accuracy,0.4963172804532578
101,RO-CAGF KL=.001,affected,macro_f1,0.47500683278977757
101,RO-CAGF KL=.001,affected,macro_auroc,0.8056918640520161
101,RO-CAGF KL=.001,affected,macro_auprc,0.5141804497466994
101,RO-CAGF KL=.001,affected,nll,2.1062013648379447
101,RO-CAGF KL=.001,affected,brier,0.759947369569077
101,RO-CAGF KL=.001,affected,ece15,0.27575444796943127
101,RO-CAGF KL=.001,unaffected,accuracy,0.5582916506348595
101,RO-CAGF KL=.001,unaffected,macro_f1,0.5387977524133561
101,RO-CAGF KL=.001,unaffected,macro_auroc,0.8374604980686032
101,RO-CAGF KL=.001,unaffected,macro_auprc,0.5856216780731597
101,RO-CAGF KL=.001,unaffected,nll,1.9120710116605517
101,RO-CAGF KL=.001,unaffected,brier,0.6647990216352249
101,RO-CAGF KL=.001,unaffected,ece15,0.24392311296218996
101,RO-CAGF KL=.020,all,accuracy,0.5600366636113657
101,RO-CAGF KL=.020,all,macro_f1,0.5285556997168133
101,RO-CAGF KL=.020,all,macro_auroc,0.8500929440815926
101,RO-CAGF KL=.020,all,macro_auprc,0.6100975445572735
101,RO-CAGF KL=.020,all,nll,1.6248562588427413
101,RO-CAGF KL=.020,all,brier,0.6237460507833574
101,RO-CAGF KL=.020,all,ece15,0.18052495357014522
101,RO-CAGF KL=.020,affected,accuracy,0.534844192634561
101,RO-CAGF KL=.020,affected,macro_f1,0.5107991477739292
101,RO-CAGF KL=.020,affected,macro_auroc,0.840263101399243
101,RO-CAGF KL=.020,affected,macro_auprc,0.592516427754224
101,RO-CAGF KL=.020,affected,nll,1.7273737463266232
101,RO-CAGF KL=.020,affected,brier,0.6571216458682926
101,RO-CAGF KL=.020,affected,ece15,0.19357536698535885
101,RO-CAGF KL=.020,unaffected,accuracy,0.5771450557906888
101,RO-CAGF KL=.020,unaffected,macro_f1,0.5399144114083015
101,RO-CAGF KL=.020,unaffected,macro_auroc,0.8574645065784647
101,RO-CAGF KL=.020,unaffected,macro_auprc,0.6221878084890499
101,RO-CAGF KL=.020,unaffected,nll,1.5552358796934338
101,RO-CAGF KL=.020,unaffected,brier,0.6010804388845845
101,RO-CAGF KL=.020,unaffected,ece15,0.17184259254297599
101,RO-PDRF interior=0,all,accuracy,0.5439963336388635
101,RO-PDRF interior=0,all,macro_f1,0.5242553430268425
101,RO-PDRF interior=0,all,macro_auroc,0.8400319682936545
101,RO-PDRF interior=0,all,macro_auprc,0.5775903742469192
101,RO-PDRF interior=0,all,nll,1.8149797397963259
101,RO-PDRF interior=0,all,brier,0.6903356727031817
101,RO-PDRF interior=0,all,ece15,0.25206139867427046
101,RO-PDRF interior=0,affected,accuracy,0.4838526912181303
101,RO-PDRF interior=0,affected,macro_f1,0.4686570565449096
101,RO-PDRF interior=0,affected,macro_auroc,0.806308623709081
101,RO-PDRF interior=0,affected,macro_auprc,0.5144478678122363
101,RO-PDRF interior=0,affected,nll,2.140786965784906
101,RO-PDRF interior=0,affected,brier,0.780950479337035
101,RO-PDRF interior=0,affected,ece15,0.3064790786325763
101,RO-PDRF interior=0,unaffected,accuracy,0.5848403232012312
101,RO-PDRF interior=0,unaffected,macro_f1,0.5585010298201054
101,RO-PDRF interior=0,unaffected,macro_auroc,0.8636606537926732
101,RO-PDRF interior=0,unaffected,macro_auprc,0.6294942612099528
101,RO-PDRF interior=0,unaffected,nll,1.5937216582765708
101,RO-PDRF interior=0,unaffected,brier,0.6287984915916962
101,RO-PDRF interior=0,unaffected,ece15,0.21510590801517887
101,RO-PDRF interior=.001,all,accuracy,0.5456003666361137
