seed,method,parameters,train_seconds,epochs,inference_ms_per_observation
101,EF-PD+CD,26182,2.923816700000316,15,0.0006519706717476344
101,UF-PD+CD,17560,8.948215200012783,33,0.0008701878979906276
101,ModDrop-SD,26182,2.492582400009269,15,0.000383180571627384
102,EF-PD+CD,26182,2.0495269000239205,12,0.0003595325422936779
102,UF-PD+CD,17560,7.38641240002471,28,0.0008239230045755961
102,ModDrop-SD,26182,2.5395796000084374,14,0.0004099220900491604
103,EF-PD+CD,26182,4.7510879000183195,27,0.00037848304399723694
103,UF-PD+CD,17560,7.278604899998754,28,0.000813978004295338
103,ModDrop-SD,26182,2.853345499985153,16,0.00039122364592399556
104,EF-PD+CD,26182,3.915786300000036,23,0.0003358845129599718
104,UF-PD+CD,17560,7.879940999991959,29,0.0007563244699100144
104,ModDrop-SD,26182,2.552235600014683,15,0.00038780935446276754
105,EF-PD+CD,26182,3.987048200011486,23,0.0003519019234275034
105,UF-PD+CD,17560,10.186668600013945,35,0.0005859074241602939
105,ModDrop-SD,26182,3.1278744000010192,17,0.0007004582935194703
106,EF-PD+CD,26182,4.410379700013436,21,0.0003214252978331972
106,UF-PD+CD,17560,9.620939600019483,33,0.0006603803849496514
106,ModDrop-SD,26182,2.323019999981625,13,0.0003611136592350948
107,EF-PD+CD,26182,4.394955199997639,23,0.0004606553617784605
107,UF-PD+CD,17560,5.437406899989583,20,0.0007931713998022359
107,ModDrop-SD,26182,2.3959147999994457,14,0.00047426672443648496
108,EF-PD+CD,26182,4.219938700000057,23,0.0003854032999841884
108,UF-PD+CD,17560,5.6989411000104155,20,0.0008670485790393816
108,ModDrop-SD,26182,2.712308399990434,15,0.0004752749747572779
109,EF-PD+CD,26182,6.416870699991705,36,0.00043716773696586927
109,UF-PD+CD,17560,9.313535299996147,34,0.0009351054056676482
109,ModDrop-SD,26182,3.812060399999609,20,0.0005262603107340443
110,EF-PD+CD,26182,4.473928400024306,24,0.00033329513902868993
110,UF-PD+CD,17560,7.454742300004,27,0.0006310265776650053
110,ModDrop-SD,26182,3.259708600002341,16,0.0004248166822070319
