seed,method,fault_realization,batch,subset,metric,value,n
101,EF-PD+CD,70001,all,all,accuracy,0.5357470210815766,4364
101,EF-PD+CD,70001,all,all,macro_f1,0.5158225309349623,4364
101,EF-PD+CD,70001,all,all,macro_auroc,0.8104830022240264,4364
101,EF-PD+CD,70001,all,all,macro_auprc,0.5637858436153762,4364
101,EF-PD+CD,70001,all,all,nll,1.9847367477148172,4364
101,EF-PD+CD,70001,all,all,brier,0.6882406068877751,4364
101,EF-PD+CD,70001,all,all,ece15,0.22419230714372057,4364
101,EF-PD+CD,70001,all,affected,accuracy,0.43909348441926344,1765
101,EF-PD+CD,70001,all,affected,macro_f1,0.4198395543425393,1765
101,EF-PD+CD,70001,all,affected,macro_auroc,0.754342021029666,1765
101,EF-PD+CD,70001,all,affected,macro_auprc,0.47594383399599444,1765
101,EF-PD+CD,70001,all,affected,nll,2.8022866890927363,1765
101,EF-PD+CD,70001,all,affected,brier,0.8774817173241974,1765
101,EF-PD+CD,70001,all,affected,ece15,0.3575039968781025,1765
101,EF-PD+CD,70001,all,unaffected,accuracy,0.6013851481338977,2599
101,EF-PD+CD,70001,all,unaffected,macro_f1,0.5807392442353981,2599
101,EF-PD+CD,70001,all,unaffected,macro_auroc,0.8558388367702561,2599
101,EF-PD+CD,70001,all,unaffected,macro_auprc,0.6384829266657759,2599
101,EF-PD+CD,70001,all,unaffected,nll,1.429532574366596,2599
101,EF-PD+CD,70001,all,unaffected,brier,0.5597255780611936,2599
101,EF-PD+CD,70001,all,unaffected,ece15,0.13365935154399672,2599
101,EF-PD+CD,70001,8,all,accuracy,0.6190476190476191,294
101,EF-PD+CD,70001,8,all,macro_f1,0.5976748305429767,294
101,EF-PD+CD,70001,8,all,macro_auroc,0.8539886233680168,294
101,EF-PD+CD,70001,8,all,macro_auprc,0.610255024096172,294
101,EF-PD+CD,70001,8,all,nll,1.4387652749240192,294
101,EF-PD+CD,70001,8,all,brier,0.5815250185707783,294
101,EF-PD+CD,70001,8,all,ece15,0.18090659917211857,294
101,EF-PD+CD,70001,8,affected,accuracy,0.38333333333333336,120
101,EF-PD+CD,70001,8,affected,macro_f1,0.4059198254320206,120
101,EF-PD+CD,70001,8,affected,macro_auroc,0.7463390695343489,120
101,EF-PD+CD,70001,8,affected,macro_auprc,0.4565627338902812,120
101,EF-PD+CD,70001,8,affected,nll,2.4181442380776614,120
101,EF-PD+CD,70001,8,affected,brier,0.9090509858565734,120
101,EF-PD+CD,70001,8,affected,ece15,0.3731762704749902,120
101,EF-PD+CD,70001,8,unaffected,accuracy,0.7816091954022989,174
101,EF-PD+CD,70001,8,unaffected,macro_f1,0.7484029657942702,174
101,EF-PD+CD,70001,8,unaffected,macro_auroc,0.9568242973039989,174
101,EF-PD+CD,70001,8,unaffected,macro_auprc,0.8482072126907753,174
101,EF-PD+CD,70001,8,unaffected,nll,0.7633315072318524,174
101,EF-PD+CD,70001,8,unaffected,brier,0.355645041132299,174
101,EF-PD+CD,70001,8,unaffected,ece15,0.1553803218164663,174
101,EF-PD+CD,70001,9,all,accuracy,0.5468085106382978,470
101,EF-PD+CD,70001,9,all,macro_f1,0.5317670395043658,470
101,EF-PD+CD,70001,9,all,macro_auroc,0.8208543563836356,470
101,EF-PD+CD,70001,9,all,macro_auprc,0.5837688269008142,470
101,EF-PD+CD,70001,9,all,nll,1.7502627448260084,470
101,EF-PD+CD,70001,9,all,brier,0.6563444839866971,470
101,EF-PD+CD,70001,9,all,ece15,0.18272332206685493,470
101,EF-PD+CD,70001,9,affected,accuracy,0.41025641025641024,195
101,EF-PD+CD,70001,9,affected,macro_f1,0.402019394566086,195
101,EF-PD+CD,70001,9,affected,macro_auroc,0.7182678297725782,195
101,EF-PD+CD,70001,9,affected,macro_auprc,0.41367527295672774,195
101,EF-PD+CD,70001,9,affected,nll,2.9315758260735465,195
101,EF-PD+CD,70001,9,affected,brier,0.9529645621077557,195
101,EF-PD+CD,70001,9,affected,ece15,0.37067026404234077,195
101,EF-PD+CD,70001,9,unaffected,accuracy,0.6436363636363637,275
101,EF-PD+CD,70001,9,unaffected,macro_f1,0.6251876916695785,275
101,EF-PD+CD,70001,9,unaffected,macro_auroc,0.9182843603564349,275
101,EF-PD+CD,70001,9,unaffected,macro_auprc,0.7882983870350636,275
101,EF-PD+CD,70001,9,unaffected,nll,0.9126043781232094,275
101,EF-PD+CD,70001,9,unaffected,brier,0.4460138831372191,275
101,EF-PD+CD,70001,9,unaffected,ece15,0.08522420807318255,275
101,EF-PD+CD,70001,10,all,accuracy,0.5275,3600
101,EF-PD+CD,70001,10,all,macro_f1,0.5070674565077252,3600
101,EF-PD+CD,70001,10,all,macro_auroc,0.8089601851851852,3600
101,EF-PD+CD,70001,10,all,macro_auprc,0.5681032222079421,3600
101,EF-PD+CD,70001,10,all,nll,2.059936301703216,3600
101,EF-PD+CD,70001,10,all,brier,0.7011199293124151,3600
101,EF-PD+CD,70001,10,all,ece15,0.24303148162033822,3600
101,EF-PD+CD,70001,10,affected,accuracy,0.4475862068965517,1450
