method,seed,epoch,train_loss,gradient_norm,selection_ce
EF-PD+CD,101,1,1.3062011500199635,0.6683712018032869,0.6711369752883911
EF-PD+CD,101,2,0.5214002591868242,0.9122416116297245,0.5046400427818298
EF-PD+CD,101,3,0.36927251641949016,0.8735676122208437,0.4665963649749756
EF-PD+CD,101,4,0.3112797526021798,0.6783530463774999,0.4493527114391327
EF-PD+CD,101,5,0.2841667017589013,0.6740423751374086,0.4655093848705292
EF-PD+CD,101,6,0.2575376685708761,0.647336861739556,0.3977566957473755
EF-PD+CD,101,7,0.25601724969844025,0.5968803068002065,0.4569251835346222
EF-PD+CD,101,8,0.2394464872777462,0.5192510820925236,0.4313083291053772
EF-PD+CD,101,9,0.2338656447827816,0.5460226237773895,0.4121183156967163
EF-PD+CD,101,10,0.2274677362293005,0.5799926333129406,0.4371319115161896
EF-PD+CD,101,11,0.2046208909402291,0.5213670283555984,0.4718608558177948
EF-PD+CD,101,12,0.20997010497376323,0.4770996570587158,0.3988894522190094
EF-PD+CD,101,13,0.20676802843809128,0.4779488618175189,0.40548110008239746
EF-PD+CD,101,14,0.19539385940879583,0.47220877309640247,0.40954580903053284
EF-PD+CD,101,15,0.18617487139999866,0.4796351504822572,0.4381442666053772
UF-PD+CD,101,1,1.8118681857983272,0.22413073914746443,1.3341268301010132
UF-PD+CD,101,2,1.1327976534763973,0.31639772777756053,0.814561665058136
UF-PD+CD,101,3,0.6429036085804304,0.31318611465394497,0.6045414209365845
UF-PD+CD,101,4,0.45157079088191193,0.3185014420499404,0.5952121615409851
UF-PD+CD,101,5,0.3784836878379186,0.3179532140493393,0.5447632074356079
UF-PD+CD,101,6,0.3230792668958505,0.300007672359546,0.5175036191940308
UF-PD+CD,101,7,0.2773069466153781,0.28365441660086316,0.44662460684776306
UF-PD+CD,101,8,0.2489718006302913,0.2755960716555516,0.47582218050956726
UF-PD+CD,101,9,0.23432354753216109,0.2397564991066853,0.4798455536365509
UF-PD+CD,101,10,0.2227332964539528,0.279947392642498,0.447052001953125
UF-PD+CD,101,11,0.1955544464290142,0.2318100892007351,0.48528772592544556
UF-PD+CD,101,12,0.19380348299940428,0.25851933906475705,0.48697394132614136
UF-PD+CD,101,13,0.18866556727637848,0.2521881026526292,0.4757225215435028
UF-PD+CD,101,14,0.1720531741157174,0.24313679585854212,0.44285285472869873
UF-PD+CD,101,15,0.1712387086202701,0.2367426430185636,0.5134417414665222
UF-PD+CD,101,16,0.16604926095654568,0.2633784804493189,0.4312317669391632
UF-PD+CD,101,17,0.1534683449814717,0.22145886408785978,0.44396471977233887
UF-PD+CD,101,18,0.14536431059241295,0.213441609715422,0.4790436029434204
UF-PD+CD,101,19,0.14371439442038536,0.2251835179825624,0.43751925230026245
UF-PD+CD,101,20,0.1445425764347116,0.21560810257991156,0.4672815501689911
UF-PD+CD,101,21,0.136461580482622,0.23344904401650032,0.4355710744857788
UF-PD+CD,101,22,0.1322233642761906,0.22053194542725882,0.43947288393974304
UF-PD+CD,101,23,0.12523352478941283,0.22422724900146326,0.4100206792354584
UF-PD+CD,101,24,0.12363413938631614,0.2089746662726005,0.4011460542678833
UF-PD+CD,101,25,0.1165731605142355,0.19165818020701408,0.4984760880470276
UF-PD+CD,101,26,0.11227501571799318,0.20504692693551382,0.46904072165489197
UF-PD+CD,101,27,0.1095582212631901,0.19074960332363844,0.4030132293701172
UF-PD+CD,101,28,0.10180841262141864,0.18643203005194664,0.4414686858654022
UF-PD+CD,101,29,0.11047334596514702,0.2186650993923346,0.41259774565696716
UF-PD+CD,101,30,0.10666818885753553,0.2026888852318128,0.41095688939094543
UF-PD+CD,101,31,0.0973979183472693,0.19586302960912386,0.4218425750732422
UF-PD+CD,101,32,0.09705776597062747,0.20974555487434068,0.4118402898311615
UF-PD+CD,101,33,0.09230199999486406,0.17893716040998697,0.434642493724823
ModDrop-SD,101,1,1.3191744834184647,0.6805946876605352,0.6579610109329224
ModDrop-SD,101,2,0.4524436021844546,0.8053737978140513,0.518024206161499
ModDrop-SD,101,3,0.2339655850082636,0.6485362214346727,0.41653865575790405
ModDrop-SD,101,4,0.16235722477237383,0.5746665683885416,0.6803290843963623
ModDrop-SD,101,5,0.13587780762463808,0.5674453464647135,0.4293120801448822
ModDrop-SD,101,6,0.1323607200756669,0.755975908289353,0.35100123286247253
ModDrop-SD,101,7,0.10609962651506066,0.6135147499541441,0.6395965814590454
ModDrop-SD,101,8,0.07989339188983043,0.44224568580587703,0.4198455214500427
ModDrop-SD,101,9,0.07533352884153525,0.44531768001616,0.5211688280105591
ModDrop-SD,101,10,0.06673901403943698,0.39352026643852395,0.455533891916275
ModDrop-SD,101,11,0.056864096860711776,0.3350075039391716,0.4702948331832886
ModDrop-SD,101,12,0.05337684236777326,0.39094823474685353,0.5103411078453064
ModDrop-SD,101,13,0.05038972315378487,0.3324928063278397,0.4346157908439636
ModDrop-SD,101,14,0.044488546050464116,0.28370820296307403,0.5949593186378479
ModDrop-SD,101,15,0.046298299450427294,0.33077521808445454,0.44418060779571533
EF-PD+CD,102,1,1.3488837629556656,0.6804207873841127,0.7212856411933899
EF-PD+CD,102,2,0.5214809651176134,0.7792391963303089,0.587037980556488
EF-PD+CD,102,3,0.35291436190406483,0.7945029772818089,0.3774130642414093
EF-PD+CD,102,4,0.29941207605103654,0.6771149560809135,0.5109156370162964
EF-PD+CD,102,5,0.27187957987189293,0.6399112604558468,0.40523308515548706
EF-PD+CD,102,6,0.2559081943084796,0.6555785425007343,0.45796704292297363
EF-PD+CD,102,7,0.251566498229901,0.6981064851085345,0.469532310962677
EF-PD+CD,102,8,0.2332461066544056,0.5441438630223274,0.45771098136901855
EF-PD+CD,102,9,0.20834059019883475,0.4830116331577301,0.3971986174583435
EF-PD+CD,102,10,0.21839851140975952,0.5868328188856443,0.4013597071170807
EF-PD+CD,102,11,0.23812413401901722,0.725576039403677,0.5337881445884705
EF-PD+CD,102,12,0.2162988098959128,0.5665624861915907,0.42201220989227295
UF-PD+CD,102,1,1.780693958202998,0.2527390296260516,1.2806951999664307
UF-PD+CD,102,2,1.0507058252890904,0.3257557066778342,0.8077648282051086
UF-PD+CD,102,3,0.5862665511667728,0.29820213466882706,0.6231444478034973
UF-PD+CD,102,4,0.4095578578611215,0.2885383615891139,0.5514867901802063
UF-PD+CD,102,5,0.334698145588239,0.28390824670592946,0.5465294718742371
UF-PD+CD,102,6,0.30012968617180985,0.2574269740531842,0.5385258197784424
UF-PD+CD,102,7,0.27315459462503594,0.25788121049602825,0.5347492098808289
UF-PD+CD,102,8,0.2540173511952162,0.2561498029778401,0.5041635632514954
UF-PD+CD,102,9,0.2256468441337347,0.272817379484574,0.5334956645965576
UF-PD+CD,102,10,0.21900715927282968,0.26417763407031697,0.5181059241294861
UF-PD+CD,102,11,0.19840099227925143,0.24687647012372813,0.530182957649231
UF-PD+CD,102,12,0.20068584475666285,0.232504948352774,0.5599014163017273
UF-PD+CD,102,13,0.17894441292931637,0.22318705481787524,0.5049653053283691
UF-PD+CD,102,14,0.1720350980758667,0.2065210212022066,0.5006048083305359
UF-PD+CD,102,15,0.1634124175955852,0.2347993434717258,0.5108110308647156
UF-PD+CD,102,16,0.15416552126407623,0.21036424984534582,0.5038434863090515
UF-PD+CD,102,17,0.1435863965501388,0.21168627652029195,0.522918701171875
UF-PD+CD,102,18,0.14508836747457585,0.21537325034538904,0.5147655010223389
UF-PD+CD,102,19,0.14003325967739025,0.22415577030430237,0.47361084818840027
UF-PD+CD,102,20,0.12462262157350779,0.20683476453026137,0.5006599426269531
UF-PD+CD,102,21,0.13007844829310974,0.21655443559090296,0.4758704602718353
UF-PD+CD,102,22,0.127830951474607,0.2183940215036273,0.5013978481292725
UF-PD+CD,102,23,0.12039498426020145,0.22118806218107542,0.5451077818870544
UF-PD+CD,102,24,0.11016250401735306,0.18946984534462294,0.48268651962280273
UF-PD+CD,102,25,0.10693601084252198,0.19205971683065096,0.49485188722610474
UF-PD+CD,102,26,0.10890501954903205,0.18841907537231842,0.5124666690826416
UF-PD+CD,102,27,0.09961539056772988,0.17168127714345852,0.5023859739303589
UF-PD+CD,102,28,0.10287458635866642,0.18308168773849806,0.48240232467651367
ModDrop-SD,102,1,1.357722004254659,0.6894436838726202,0.7032051086425781
ModDrop-SD,102,2,0.4581816531717777,0.8054865698019663,0.5426692366600037
ModDrop-SD,102,3,0.24294262317319712,0.7504337343076865,0.43400293588638306
ModDrop-SD,102,4,0.17732589288304249,0.7426565910379092,0.5184544324874878
ModDrop-SD,102,5,0.14635990311702093,0.7325905412435532,0.32494714856147766
ModDrop-SD,102,6,0.11146534963821371,0.5496439399818579,0.4889002740383148
ModDrop-SD,102,7,0.08930977069151898,0.44894841872155666,0.4422091245651245
ModDrop-SD,102,8,0.0768902877656122,0.40926861204206944,0.542441725730896
ModDrop-SD,102,9,0.06790808246781428,0.4018869899834196,0.5391981601715088
ModDrop-SD,102,10,0.07695659824336569,0.6048701852560043,0.5598500370979309
ModDrop-SD,102,11,0.05953002627938986,0.41104594928522903,0.5738195180892944
ModDrop-SD,102,12,0.05384900917609533,0.3672838794688384,0.48253583908081055
ModDrop-SD,102,13,0.05108291539363563,0.3191606296847264,0.6484405398368835
ModDrop-SD,102,14,0.045322917479400836,0.3350176736712456,0.6807109117507935
EF-PD+CD,103,1,1.3008456155657768,0.7209822448591391,0.6873492002487183
EF-PD+CD,103,2,0.49462130665779114,0.8544747419655323,0.5961808562278748
EF-PD+CD,103,3,0.35792756639420986,0.7954999009768168,0.43213510513305664
EF-PD+CD,103,4,0.3171981318543355,0.7314059846103191,0.4996359944343567
EF-PD+CD,103,5,0.2765595329304536,0.6605555179218451,0.41856053471565247
EF-PD+CD,103,6,0.2586374245584011,0.6206740935643514,0.4247604310512543
EF-PD+CD,103,7,0.24007586389780045,0.5799821130931377,0.42075252532958984
EF-PD+CD,103,8,0.22780865741272768,0.5139435144762198,0.4360674023628235
