method,class,bin,n,confidence,frequency
RO-CAGF,1,0,828,0.03743546129852817,0.049516908212560384
RO-CAGF,1,1,318,0.14305021178628313,0.1289308176100629
RO-CAGF,1,2,174,0.2443341178309087,0.13793103448275862
RO-CAGF,1,3,116,0.34597207638969313,0.13793103448275862
RO-CAGF,1,4,91,0.44178476270949396,0.16483516483516483
RO-CAGF,1,5,60,0.5472813472277717,0.23333333333333334
RO-CAGF,1,6,36,0.647899400623891,0.16666666666666666
RO-CAGF,1,7,22,0.7470341855278639,0.5
RO-CAGF,1,8,48,0.8642630993935448,0.8541666666666666
RO-CAGF,1,9,72,0.9437319041257055,0.9722222222222222
RO-CAGF,2,0,1196,0.02116506161187564,0.029264214046822744
RO-CAGF,2,1,176,0.14504573552532588,0.07954545454545454
RO-CAGF,2,2,91,0.2491631250421733,0.32967032967032966
RO-CAGF,2,3,52,0.34752047514200274,0.4230769230769231
RO-CAGF,2,4,54,0.447437261305653,0.46296296296296297
RO-CAGF,2,5,41,0.5551042977440136,0.6097560975609756
RO-CAGF,2,6,44,0.6421598250689668,0.7045454545454546
RO-CAGF,2,7,39,0.7542023751766382,0.8461538461538461
RO-CAGF,2,8,20,0.854427543670431,0.8
RO-CAGF,2,9,52,0.9496581747376287,0.9038461538461539
RO-CAGF,3,0,1319,0.025362669814091163,0.03790750568612585
RO-CAGF,3,1,168,0.13911193241172834,0.20238095238095238
RO-CAGF,3,2,61,0.25190307254212063,0.39344262295081966
RO-CAGF,3,3,38,0.3473462572744512,0.6578947368421053
RO-CAGF,3,4,33,0.4490536554246847,0.7878787878787878
RO-CAGF,3,5,27,0.5537214313938386,0.8888888888888888
RO-CAGF,3,6,32,0.6455993884474169,0.90625
RO-CAGF,3,7,31,0.7428725105433707,0.9354838709677419
RO-CAGF,3,8,39,0.8513912598863889,1.0
RO-CAGF,3,9,17,0.9350686233657355,1.0
RO-CAGF,4,0,1450,0.0264801423961042,0.14620689655172414
RO-CAGF,4,1,177,0.13883798409564302,0.3107344632768362
RO-CAGF,4,2,57,0.24705567375309181,0.3157894736842105
RO-CAGF,4,3,38,0.3497940675161556,0.21052631578947367
RO-CAGF,4,4,19,0.4622479764947352,0.42105263157894735
RO-CAGF,4,5,15,0.5365590479143165,0.13333333333333333
RO-CAGF,4,6,9,0.6544261750469502,0.1111111111111111
RO-CAGF,5,0,1163,0.019055201444245988,0.051590713671539126
RO-CAGF,5,1,136,0.13990195334064487,0.09558823529411764
RO-CAGF,5,2,94,0.24887815014984538,0.2553191489361702
RO-CAGF,5,3,69,0.34346602639873747,0.4057971014492754
RO-CAGF,5,4,62,0.4472578091002329,0.25806451612903225
RO-CAGF,5,5,27,0.5494280775968763,0.4444444444444444
RO-CAGF,5,6,31,0.6470985392833898,0.3548387096774194
RO-CAGF,5,7,41,0.7568761621550895,0.5609756097560976
