seed,method,parameters,train_seconds,epochs,inference_ms_per_observation
101,EF-PD+CD,26182,3.9568499000160955,27,0.0011509165841011343
101,UF-PD+CD,17560,5.808653599990066,16,0.0012737855136050484
101,CAGF+CD,26588,13.03106619999744,24,0.0016465398713888294
101,PDRF+CD,19740,19.178577400016366,29,0.001920875344938905
101,PDRF+CD-T07,19740,19.425558499991894,29,0.0014661319888266031
101,ModDrop-SD,26182,3.5208918999996968,15,0.0010645966970478718
102,EF-PD+CD,26182,2.9906576999928802,12,0.0011384738762850175
102,UF-PD+CD,17560,6.186648800008697,17,0.0012656736945136733
102,CAGF+CD,26588,7.555157399998279,14,0.0015099679195005396
102,PDRF+CD,19740,13.744630200002575,20,0.0017702795549549375
102,PDRF+CD-T07,19740,13.81644409999717,20,0.0015188130164027255
102,ModDrop-SD,26182,2.8696917000052053,14,0.0009359532514673262
103,EF-PD+CD,26182,4.898624399997061,27,0.00032969752811475917
103,UF-PD+CD,17560,4.973434699990321,18,0.0009720210803546332
103,CAGF+CD,26588,6.997646200004965,18,0.0010828826790735275
103,PDRF+CD,19740,7.409211999998661,18,0.0008486021991616831
103,PDRF+CD-T07,19740,8.0494589000009,18,0.0008081805666180466
103,ModDrop-SD,26182,2.8868784999940544,16,0.0003370760760643954
104,EF-PD+CD,26182,3.416182899993146,19,0.0004129239194108793
104,UF-PD+CD,17560,7.5662488999951165,29,0.0008757103631579369
104,CAGF+CD,26588,9.150032599980477,24,0.0010615261228913895
104,PDRF+CD,19740,11.927869899984216,26,0.0007549266724213001
104,PDRF+CD-T07,19740,9.953174399997806,26,0.0008782309789563112
104,ModDrop-SD,26182,2.392696299997624,15,0.0004041246590409411
105,EF-PD+CD,26182,4.272013699985109,23,0.000839069660980934
105,UF-PD+CD,17560,3.829117400018731,15,0.0007350595801232996
105,CAGF+CD,26588,7.492973099986557,21,0.0008520623338242308
105,PDRF+CD,19740,7.0298191999900155,18,0.0005813932159828495
105,PDRF+CD-T07,19740,6.719845699990401,18,0.0006832263983468552
105,ModDrop-SD,26182,2.6095810999977402,17,0.0010279101716767652
106,EF-PD+CD,26182,5.105449900001986,32,0.0008806599416974061
106,UF-PD+CD,17560,3.9950523000152316,18,0.0009425985349442957
106,CAGF+CD,26588,6.646646299981512,21,0.0007505728687649707
106,PDRF+CD,19740,7.147712599980878,19,0.0005206232842469398
106,PDRF+CD-T07,19740,7.421309900004417,19,0.000998602200924367
106,ModDrop-SD,26182,2.4141346999967936,17,0.000443194317289967
107,EF-PD+CD,26182,3.5876090000092518,23,0.000360082493982714
107,UF-PD+CD,17560,4.304344300006051,19,0.0007718377652207576
107,CAGF+CD,26588,6.8572918999998365,20,0.0008081118284923552
107,PDRF+CD,19740,7.404001999995671,19,0.0006039413352694113
107,PDRF+CD-T07,19740,7.416763399989577,19,0.0007540100818268586
107,ModDrop-SD,26182,2.175417699996615,14,0.00041746104251991147
108,EF-PD+CD,26182,3.015491899976041,19,0.00037289184070423613
108,UF-PD+CD,17560,10.702483200002462,46,0.000795852426790797
108,CAGF+CD,26588,9.60832530001062,26,0.0010953712167528198
108,PDRF+CD,19740,15.602623300015694,41,0.0006164986244125392
108,PDRF+CD-T07,19740,16.312644899997395,41,0.0005586388623119972
108,ModDrop-SD,26182,2.4273527000041213,15,0.0003273373034993557
109,EF-PD+CD,26182,3.602711800020188,20,0.0004156278680001004
109,UF-PD+CD,17560,8.654403799999272,34,0.000617094412633823
109,CAGF+CD,26588,5.404968999995617,16,0.0010606782770917113
109,PDRF+CD,19740,10.164133599988418,28,0.0006343492160689539
109,PDRF+CD-T07,19740,10.6387468999892,28,0.0007976856146487523
109,ModDrop-SD,26182,1.6181478000071365,11,0.0003197983510286046
110,EF-PD+CD,26182,3.760394400014775,24,0.0008815536240293319
110,UF-PD+CD,17560,4.253135600010864,19,0.0006500916540265035
110,CAGF+CD,26588,7.292480500007514,22,0.001027681029029959
110,PDRF+CD,19740,13.088921899994602,33,0.000730430797287916
110,PDRF+CD-T07,19740,13.664955199987162,33,0.0007388863470221808
110,ModDrop-SD,26182,2.7101934000093024,16,0.00033409716163426435
