family,stage,mean,sd,p_vs_previous
EF-PD,Paired degradation,0.7342588144701049,,
EF-PD,Clean distillation,0.7584600021887502,0.006074920823861252,1.0
UF-PD,Paired degradation,0.7158208950472044,,
UF-PD,Clean distillation,0.7906354079984286,0.008116153783346744,1.0
CAGF,Paired degradation,0.7058280499629546,,
CAGF,Clean distillation,0.8002400118934961,0.023911666259310713,1.0
CAGF,Full recovery,0.7969347900764326,0.021699409060373213,0.625
PDRF,Paired degradation,0.7539367747537041,,
PDRF,Clean distillation,0.8023150010083662,0.008292039493946751,1.0
PDRF,Full recovery,0.8042807070149781,0.009359312276635666,0.193359375
PDRF+CD-T07,Control,0.8009123260933653,0.008311119521004988,
ModDrop-SD,Control,0.7034253845402885,0.007896248624995925,
RO-AT-GATE,Attention gate + full recovery,0.7841199768460659,0.028686905384179305,
RO-PDRF-EMA,Full recovery + EMA,0.8058740851403471,0.008981240092108954,0.232421875
RO-PDRF-CAL,Full recovery + 4x Brier,0.8044348032243931,0.008368019490901575,0.6953125
