seed,method,fault_realization,batch,subset,metric,value,n
101,EF-PD+CD,70001,all,all,accuracy,0.5410174152153987,4364
101,EF-PD+CD,70001,all,all,macro_f1,0.5325950120400049,4364
101,EF-PD+CD,70001,all,all,macro_auroc,0.812545342416595,4364
101,EF-PD+CD,70001,all,all,macro_auprc,0.5617502686170667,4364
101,EF-PD+CD,70001,all,all,nll,2.2382072535235564,4364
101,EF-PD+CD,70001,all,all,brier,0.7166853022421152,4364
101,EF-PD+CD,70001,all,all,ece15,0.27768300234670484,4364
101,EF-PD+CD,70001,all,affected,accuracy,0.44192634560906513,1765
101,EF-PD+CD,70001,all,affected,macro_f1,0.43419157398672953,1765
101,EF-PD+CD,70001,all,affected,macro_auroc,0.7517063451607428,1765
101,EF-PD+CD,70001,all,affected,macro_auprc,0.4645622844437771,1765
101,EF-PD+CD,70001,all,affected,nll,3.227143889915346,1765
101,EF-PD+CD,70001,all,affected,brier,0.9151987145367717,1765
101,EF-PD+CD,70001,all,affected,ece15,0.39507261268140237,1765
101,EF-PD+CD,70001,all,unaffected,accuracy,0.6083108888033859,2599
101,EF-PD+CD,70001,all,unaffected,macro_f1,0.5992049042848931,2599
101,EF-PD+CD,70001,all,unaffected,macro_auroc,0.8610692990845163,2599
101,EF-PD+CD,70001,all,unaffected,macro_auprc,0.6475544973719495,2599
101,EF-PD+CD,70001,all,unaffected,nll,1.5666131160739571,2599
101,EF-PD+CD,70001,all,unaffected,brier,0.5818733850816423,2599
101,EF-PD+CD,70001,all,unaffected,ece15,0.1979629429384762,2599
101,EF-PD+CD,70001,8,all,accuracy,0.7244897959183674,294
101,EF-PD+CD,70001,8,all,macro_f1,0.6928104404529843,294
101,EF-PD+CD,70001,8,all,macro_auroc,0.8668995135789834,294
101,EF-PD+CD,70001,8,all,macro_auprc,0.663025623704122,294
101,EF-PD+CD,70001,8,all,nll,1.3093090751950176,294
101,EF-PD+CD,70001,8,all,brier,0.464800492589928,294
101,EF-PD+CD,70001,8,all,ece15,0.13371093398859712,294
101,EF-PD+CD,70001,8,affected,accuracy,0.4666666666666667,120
101,EF-PD+CD,70001,8,affected,macro_f1,0.4743426365267542,120
101,EF-PD+CD,70001,8,affected,macro_auroc,0.751413546400102,120
101,EF-PD+CD,70001,8,affected,macro_auprc,0.48789798224845976,120
101,EF-PD+CD,70001,8,affected,nll,2.490041842657123,120
101,EF-PD+CD,70001,8,affected,brier,0.8442547582101317,120
101,EF-PD+CD,70001,8,affected,ece15,0.3327082552015782,120
101,EF-PD+CD,70001,8,unaffected,accuracy,0.9022988505747126,174
101,EF-PD+CD,70001,8,unaffected,macro_f1,0.877512005877979,174
101,EF-PD+CD,70001,8,unaffected,macro_auroc,0.969723916701914,174
101,EF-PD+CD,70001,8,unaffected,macro_auprc,0.8972782781180824,174
101,EF-PD+CD,70001,8,unaffected,nll,0.4950106148763244,174
