task,seed,method,parameters,train_seconds,epochs,inference_ms_per_observation
cooler,101,RO-CAGF,37844,1.812398200010648,26,0.007045794458990203
cooler,101,RO-PDRF,29300,4.9790859000058845,56,0.0043911214756875115
cooler,102,RO-CAGF,37844,2.5099262000003364,35,0.007942056165851443
cooler,102,RO-PDRF,29300,4.062927700026194,50,0.0041224298809402595
cooler,103,RO-CAGF,37844,2.12924949999433,30,0.007297196338458039
cooler,103,RO-PDRF,29300,3.6491964000160806,48,0.007510747734422439
cooler,104,RO-CAGF,37844,1.6184393999865279,25,0.004248130820674178
cooler,104,RO-PDRF,29300,3.5899728999938816,48,0.007426635488415155
cooler,105,RO-CAGF,37844,1.533577999973204,23,0.004314485922125038
cooler,105,RO-PDRF,29300,4.860926499997731,52,0.0041542055518322876
valve,101,RO-CAGF,38009,1.1685626000107732,15,0.007505164352713476
valve,101,RO-PDRF,29465,2.041562400001567,22,0.008441783961109782
valve,102,RO-CAGF,38009,1.2581192999787163,16,0.007940375654927582
valve,102,RO-PDRF,29465,1.783236899995245,20,0.004226760638160675
valve,103,RO-CAGF,38009,1.2229236999992281,16,0.004096244168883198
valve,103,RO-PDRF,29465,1.712177100009285,20,0.008946009463425114
valve,104,RO-CAGF,38009,1.384575500007486,17,0.0068530517667444515
valve,104,RO-PDRF,29465,1.907261499989545,21,0.007534272418938962
valve,105,RO-CAGF,38009,0.9009193000092637,15,0.007520657291793278
valve,105,RO-PDRF,29465,1.6068978999974206,21,0.007881220684828404
pump,101,RO-CAGF,37844,0.8452223999775015,11,0.00704158868349079
pump,101,RO-PDRF,29300,1.2007146999821998,14,0.004552803725813664
pump,102,RO-CAGF,37844,0.9191644999955315,13,0.0041813084259455175
pump,102,RO-PDRF,29300,1.017370999994455,13,0.007378037395521511
pump,103,RO-CAGF,37844,0.7726289999845903,11,0.007963551520631065
pump,103,RO-PDRF,29300,1.04696690000128,13,0.007921027968350414
pump,104,RO-CAGF,37844,0.8707605000236072,11,0.0042710280552872015
pump,104,RO-PDRF,29300,1.3575768000155222,15,0.004276168281343008
pump,105,RO-CAGF,37844,0.7656120999890845,11,0.007044392579156801
pump,105,RO-PDRF,29300,1.6570604000007734,16,0.008084112098309969
accumulator,101,RO-CAGF,38009,0.8044343999936245,10,0.004200469494792917
accumulator,101,RO-PDRF,29465,0.932792999985395,10,0.007717370901676551
accumulator,102,RO-CAGF,38009,0.6034345999942161,10,0.004226760501522973
accumulator,102,RO-PDRF,29465,0.9044786999875214,10,0.008108920172871278
accumulator,103,RO-CAGF,38009,0.6116455000010319,10,0.0071910797769177545
accumulator,103,RO-PDRF,29465,0.8669826000113972,10,0.007617840310558677
accumulator,104,RO-CAGF,38009,0.7042848000128288,10,0.007658685418720327
accumulator,104,RO-PDRF,29465,0.6663156999857165,10,0.004218309869587491
accumulator,105,RO-CAGF,38009,0.8538492000079714,10,0.005621596145500459
accumulator,105,RO-PDRF,29465,0.9036442000069655,11,0.007696244116881294
