task,split,class_value,n,guard_cycles_per_boundary
cooler,train,3,279,5
cooler,train,20,279,5
cooler,train,100,284,5
cooler,selection,3,69,5
cooler,selection,20,69,5
cooler,selection,100,71,5
cooler,calibration,3,46,5
cooler,calibration,20,46,5
cooler,calibration,100,47,5
cooler,test,3,71,5
cooler,test,20,71,5
cooler,test,100,72,5
valve,train,73,207,5
valve,train,80,207,5
valve,train,90,207,5
valve,train,100,212,5
valve,selection,73,51,5
valve,selection,80,51,5
valve,selection,90,51,5
valve,selection,100,53,5
valve,calibration,73,34,5
valve,calibration,80,34,5
valve,calibration,90,34,5
valve,calibration,100,35,5
valve,test,73,53,5
valve,test,80,53,5
valve,test,90,53,5
valve,test,100,54,5
pump,train,0,284,5
pump,train,1,279,5
pump,train,2,279,5
pump,selection,0,71,5
pump,selection,1,69,5
pump,selection,2,69,5
pump,calibration,0,47,5
pump,calibration,1,46,5
pump,calibration,2,46,5
pump,test,0,72,5
pump,test,1,71,5
pump,test,2,71,5
accumulator,train,90,212,5
accumulator,train,100,207,5
accumulator,train,115,207,5
accumulator,train,130,207,5
accumulator,selection,90,53,5
accumulator,selection,100,51,5
accumulator,selection,115,51,5
accumulator,selection,130,51,5
accumulator,calibration,90,35,5
accumulator,calibration,100,34,5
accumulator,calibration,115,34,5
accumulator,calibration,130,34,5
accumulator,test,90,54,5
accumulator,test,100,53,5
accumulator,test,115,53,5
accumulator,test,130,53,5
