task,seed,method,fault,subset,metric,value,n
cooler,101,RO-CAGF,pressure,all,accuracy,0.9112149532710281,214
cooler,101,RO-CAGF,pressure,all,macro_f1,0.9111784742480186,214
cooler,101,RO-CAGF,pressure,all,macro_auroc,0.9794033235934645,214
cooler,101,RO-CAGF,pressure,all,macro_auprc,0.9525691452276585,214
cooler,101,RO-CAGF,pressure,all,nll,0.6679893812325218,214
cooler,101,RO-CAGF,pressure,all,brier,0.14869489307927636,214
cooler,101,RO-CAGF,pressure,all,ece15,0.08070343147928474,214
cooler,101,RO-CAGF,pressure,affected,accuracy,0.9,80
cooler,101,RO-CAGF,pressure,affected,macro_f1,0.8920244714801343,80
cooler,101,RO-CAGF,pressure,affected,macro_auroc,0.9719566734785329,80
cooler,101,RO-CAGF,pressure,affected,macro_auprc,0.9271140391541485,80
cooler,101,RO-CAGF,pressure,affected,nll,0.7706660162545388,80
cooler,101,RO-CAGF,pressure,affected,brier,0.15540738170010754,80
cooler,101,RO-CAGF,pressure,affected,ece15,0.08658033534884454,80
cooler,101,RO-CAGF,pressure,unaffected,accuracy,0.917910447761194,134
cooler,101,RO-CAGF,pressure,unaffected,macro_f1,0.9195063734701132,134
cooler,101,RO-CAGF,pressure,unaffected,macro_auroc,0.9841410047793028,134
cooler,101,RO-CAGF,pressure,unaffected,macro_auprc,0.9650931095857936,134
cooler,101,RO-CAGF,pressure,unaffected,nll,0.6066898976372879,134
cooler,101,RO-CAGF,pressure,unaffected,brier,0.14468743718624277,134
cooler,101,RO-CAGF,pressure,unaffected,ece15,0.0771948161409862,134
cooler,101,RO-CAGF,vibration,all,accuracy,0.9158878504672897,214
cooler,101,RO-CAGF,vibration,all,macro_f1,0.9159093926870155,214
cooler,101,RO-CAGF,vibration,all,macro_auroc,0.9656963732667959,214
cooler,101,RO-CAGF,vibration,all,macro_auprc,0.9308440871603731,214
cooler,101,RO-CAGF,vibration,all,nll,0.7558980135605242,214
cooler,101,RO-CAGF,vibration,all,brier,0.13781798184861885,214
cooler,101,RO-CAGF,vibration,all,ece15,0.07093605956184534,214
cooler,101,RO-CAGF,vibration,affected,accuracy,0.9120879120879121,91
cooler,101,RO-CAGF,vibration,affected,macro_f1,0.9089430894308942,91
cooler,101,RO-CAGF,vibration,affected,macro_auroc,0.9750164365548981,91
cooler,101,RO-CAGF,vibration,affected,macro_auprc,0.9473364877165041,91
cooler,101,RO-CAGF,vibration,affected,nll,0.49636681065869787,91
cooler,101,RO-CAGF,vibration,affected,brier,0.13135573712200332,91
cooler,101,RO-CAGF,vibration,affected,ece15,0.07603958347341513,91
cooler,101,RO-CAGF,vibration,unaffected,accuracy,0.9186991869918699,123
cooler,101,RO-CAGF,vibration,unaffected,macro_f1,0.9219338036698135,123
cooler,101,RO-CAGF,vibration,unaffected,macro_auroc,0.9600189933523268,123
cooler,101,RO-CAGF,vibration,unaffected,macro_auprc,0.924699120657641,123
cooler,101,RO-CAGF,vibration,unaffected,nll,0.9479089035122822,123
cooler,101,RO-CAGF,vibration,unaffected,brier,0.14259899217481406,123
cooler,101,RO-CAGF,vibration,unaffected,ece15,0.07908979857840184,123
cooler,101,RO-PDRF,pressure,all,accuracy,0.9953271028037384,214
cooler,101,RO-PDRF,pressure,all,macro_f1,0.9953049314751442,214
cooler,101,RO-PDRF,pressure,all,macro_auroc,0.9963721724285105,214
cooler,101,RO-PDRF,pressure,all,macro_auprc,0.9919705620631337,214
cooler,101,RO-PDRF,pressure,all,nll,0.07450208377989008,214
cooler,101,RO-PDRF,pressure,all,brier,0.009345804266152759,214
cooler,101,RO-PDRF,pressure,all,ece15,0.004668069220034821,214
cooler,101,RO-PDRF,pressure,affected,accuracy,0.9875,80
cooler,101,RO-PDRF,pressure,affected,macro_f1,0.9859587538394031,80
cooler,101,RO-PDRF,pressure,affected,macro_auroc,0.9902493444759727,80
cooler,101,RO-PDRF,pressure,affected,macro_auprc,0.974512384255492,80
cooler,101,RO-PDRF,pressure,affected,nll,0.19929287294551767,80
cooler,101,RO-PDRF,pressure,affected,brier,0.025000026411957227,80
cooler,101,RO-PDRF,pressure,affected,ece15,0.01248700618743892,80
cooler,101,RO-PDRF,pressure,unaffected,accuracy,1.0,134
cooler,101,RO-PDRF,pressure,unaffected,macro_f1,1.0,134
cooler,101,RO-PDRF,pressure,unaffected,macro_auroc,1.0,134
cooler,101,RO-PDRF,pressure,unaffected,macro_auprc,1.0,134
cooler,101,RO-PDRF,pressure,unaffected,nll,1.2009891837909768e-07,134
cooler,101,RO-PDRF,pressure,unaffected,brier,8.362596713987563e-16,134
cooler,101,RO-PDRF,pressure,unaffected,ece15,0.0,134
cooler,101,RO-PDRF,vibration,all,accuracy,0.9906542056074766,214
cooler,101,RO-PDRF,vibration,all,macro_f1,0.9906755346896192,214
cooler,101,RO-PDRF,vibration,all,macro_auroc,1.0,214
cooler,101,RO-PDRF,vibration,all,macro_auprc,1.0,214
cooler,101,RO-PDRF,vibration,all,nll,0.044409431381380315,214
cooler,101,RO-PDRF,vibration,all,brier,0.018348974716084175,214
cooler,101,RO-PDRF,vibration,all,ece15,0.009259665680822926,214
cooler,101,RO-PDRF,vibration,affected,accuracy,0.978021978021978,91
cooler,101,RO-PDRF,vibration,affected,macro_f1,0.978882391163093,91
cooler,101,RO-PDRF,vibration,affected,macro_auroc,1.0,91
cooler,101,RO-PDRF,vibration,affected,macro_auprc,1.0,91
cooler,101,RO-PDRF,vibration,affected,nll,0.10443520497661428,91
cooler,101,RO-PDRF,vibration,affected,brier,0.04315033614551663,91
cooler,101,RO-PDRF,vibration,affected,ece15,0.02177554499972001,91
cooler,101,RO-PDRF,vibration,unaffected,accuracy,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,macro_f1,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,macro_auroc,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,macro_auprc,1.0,123
cooler,101,RO-PDRF,vibration,unaffected,nll,1.192092966562092e-07,123
cooler,101,RO-PDRF,vibration,unaffected,brier,2.0072300125974275e-24,123
cooler,101,RO-PDRF,vibration,unaffected,ece15,0.0,123
cooler,102,RO-CAGF,pressure,all,accuracy,0.9299065420560748,214
cooler,102,RO-CAGF,pressure,all,macro_f1,0.930903709249208,214
cooler,102,RO-CAGF,pressure,all,macro_auroc,0.953410162477064,214
cooler,102,RO-CAGF,pressure,all,macro_auprc,0.9073985109294219,214
cooler,102,RO-CAGF,pressure,all,nll,1.0322744611360253,214
cooler,102,RO-CAGF,pressure,all,brier,0.13990860742809735,214
cooler,102,RO-CAGF,pressure,all,ece15,0.07001799846363954,214
cooler,102,RO-CAGF,pressure,affected,accuracy,0.925,80
cooler,102,RO-CAGF,pressure,affected,macro_f1,0.9234257876108577,80
cooler,102,RO-CAGF,pressure,affected,macro_auroc,0.9599520449328655,80
cooler,102,RO-CAGF,pressure,affected,macro_auprc,0.9035862417972867,80
cooler,102,RO-CAGF,pressure,affected,nll,1.1145276122286387,80
cooler,102,RO-CAGF,pressure,affected,brier,0.14999606972809826,80
cooler,102,RO-CAGF,pressure,affected,ece15,0.07499129772186275,80
cooler,102,RO-CAGF,pressure,unaffected,accuracy,0.9328358208955224,134
cooler,102,RO-CAGF,pressure,unaffected,macro_f1,0.9343818261249455,134
cooler,102,RO-CAGF,pressure,unaffected,macro_auroc,0.9479142104939977,134
cooler,102,RO-CAGF,pressure,unaffected,macro_auprc,0.9079370596597078,134
cooler,102,RO-CAGF,pressure,unaffected,nll,0.9831681022747637,134
cooler,102,RO-CAGF,pressure,unaffected,brier,0.13388624187585801,134
cooler,102,RO-CAGF,pressure,unaffected,ece15,0.0670488441168372,134
