method,coverage,risk,n
RO-CAGF,0.2,0.09348441926345608,353
RO-CAGF,0.30000000000000004,0.16635160680529304,529
RO-CAGF,0.4,0.23229461756373937,706
RO-CAGF,0.5,0.300453514739229,882
RO-CAGF,0.6000000000000001,0.3465533522190746,1059
RO-CAGF,0.7,0.3894736842105263,1235
RO-CAGF,0.8,0.4192634560906515,1412
RO-CAGF,0.9000000000000001,0.4552896725440806,1588
RO-CAGF,1.0,0.48951841359773374,1765
RO-PDRF,0.2,0.12464589235127477,353
RO-PDRF,0.30000000000000004,0.1701323251417769,529
RO-PDRF,0.4,0.23937677053824358,706
RO-PDRF,0.5,0.30952380952380953,882
RO-PDRF,0.6000000000000001,0.3597733711048159,1059
RO-PDRF,0.7,0.40161943319838056,1235
RO-PDRF,0.8,0.44263456090651554,1412
RO-PDRF,0.9000000000000001,0.47166246851385385,1588
RO-PDRF,1.0,0.5008498583569405,1765
