method,seed,subset,metric,value,n
RO-PDRF-EMA,101,all,accuracy,0.555224564619615,4364
RO-PDRF-EMA,101,all,macro_f1,0.5339440831430315,4364
RO-PDRF-EMA,101,all,macro_auroc,0.8429663655774994,4364
RO-PDRF-EMA,101,all,macro_auprc,0.5926193567935015,4364
RO-PDRF-EMA,101,all,nll,1.7696158476470738,4364
RO-PDRF-EMA,101,all,brier,0.6775218770990715,4364
RO-PDRF-EMA,101,all,ece15,0.23687515186536867,4364
RO-PDRF-EMA,101,affected,accuracy,0.4934844192634561,1765
RO-PDRF-EMA,101,affected,macro_f1,0.4774110933986964,1765
RO-PDRF-EMA,101,affected,macro_auroc,0.8114157494917382,1765
RO-PDRF-EMA,101,affected,macro_auprc,0.5353131024660602,1765
RO-PDRF-EMA,101,affected,nll,2.0813621296216613,1765
RO-PDRF-EMA,101,affected,brier,0.7727820044775077,1765
RO-PDRF-EMA,101,affected,ece15,0.290504171135743,1765
RO-PDRF-EMA,101,unaffected,accuracy,0.5971527510580993,2599
RO-PDRF-EMA,101,unaffected,macro_f1,0.5675947745215714,2599
RO-PDRF-EMA,101,unaffected,macro_auroc,0.8652072829738277,2599
RO-PDRF-EMA,101,unaffected,macro_auprc,0.6355953170086653,2599
RO-PDRF-EMA,101,unaffected,nll,1.5579066565408224,2599
RO-PDRF-EMA,101,unaffected,brier,0.6128300245315687,2599
RO-PDRF-EMA,101,unaffected,ece15,0.20074622517092588,2599
RO-PDRF-EMA,102,all,accuracy,0.5650779101741522,4364
RO-PDRF-EMA,102,all,macro_f1,0.5386125493199201,4364
RO-PDRF-EMA,102,all,macro_auroc,0.8440429411442882,4364
RO-PDRF-EMA,102,all,macro_auprc,0.5771650382218946,4364
RO-PDRF-EMA,102,all,nll,1.8139845584607375,4364
RO-PDRF-EMA,102,all,brier,0.6601947360799948,4364
RO-PDRF-EMA,102,all,ece15,0.2478102170320195,4364
RO-PDRF-EMA,102,affected,accuracy,0.5104815864022663,1765
RO-PDRF-EMA,102,affected,macro_f1,0.5028458763954321,1765
RO-PDRF-EMA,102,affected,macro_auroc,0.8078301280793067,1765
RO-PDRF-EMA,102,affected,macro_auprc,0.5188914115277455,1765
RO-PDRF-EMA,102,affected,nll,2.1595563888546394,1765
RO-PDRF-EMA,102,affected,brier,0.7536180308894751,1765
RO-PDRF-EMA,102,affected,ece15,0.2904305640090964,1765
RO-PDRF-EMA,102,unaffected,accuracy,0.6021546748749519,2599
RO-PDRF-EMA,102,unaffected,macro_f1,0.5586365344381173,2599
RO-PDRF-EMA,102,unaffected,macro_auroc,0.8708018992340633,2599
RO-PDRF-EMA,102,unaffected,macro_auprc,0.6243088359525953,2599
RO-PDRF-EMA,102,unaffected,nll,1.579304188839638,2599
RO-PDRF-EMA,102,unaffected,brier,0.5967502900089163,2599
RO-PDRF-EMA,102,unaffected,ece15,0.21886640308957325,2599
RO-PDRF-EMA,103,all,accuracy,0.5646196150320807,4364
RO-PDRF-EMA,103,all,macro_f1,0.5317889302078989,4364
RO-PDRF-EMA,103,all,macro_auroc,0.8422324900270407,4364
RO-PDRF-EMA,103,all,macro_auprc,0.5841506584383538,4364
RO-PDRF-EMA,103,all,nll,1.964272918480929,4364
RO-PDRF-EMA,103,all,brier,0.6798646112644272,4364
RO-PDRF-EMA,103,all,ece15,0.25895477810876283,4364
RO-PDRF-EMA,103,affected,accuracy,0.4934844192634561,1765
RO-PDRF-EMA,103,affected,macro_f1,0.4722574136701807,1765
RO-PDRF-EMA,103,affected,macro_auroc,0.7990172483700285,1765
RO-PDRF-EMA,103,affected,macro_auprc,0.5110690167001474,1765
RO-PDRF-EMA,103,affected,nll,2.4916338760910106,1765
RO-PDRF-EMA,103,affected,brier,0.8097667116769467,1765
RO-PDRF-EMA,103,affected,ece15,0.3271763811536957,1765
