method,seed,temperature,inference_ms_per_observation,parameters,train_seconds,epochs
PDRF+CD,101,1.158079876235701,0.0008210357432027444,19740,11.024253299983684,29
PDRF+EMA-CD,101,1.0415442901659788,0.0007314390476087089,19740,11.602184000017587,29
PDRF+Soft-CD,101,1.1244348072192687,0.0005747937690381279,19740,10.727163300005486,29
RO-AT-GATE,101,0.9545753582805745,0.002012511456106114,26809,9.35503519998747,17
RO-PDRF-CAL,101,1.1454900145795162,0.0011987626011266547,19740,12.477006100001745,29
PDRF+CD,102,0.7447062043640343,0.0008532538969286544,19740,7.345645800000057,20
PDRF+EMA-CD,102,0.7679623312756388,0.0005832263971717326,19740,11.760616800020216,30
PDRF+Soft-CD,102,0.7365343049302934,0.0008835472030702579,19740,7.683302199991886,20
RO-AT-GATE,102,0.7697837511201918,0.0016053849677034541,26809,9.426034300005995,16
RO-PDRF-CAL,102,0.8363644748539291,0.0006473648038438387,19740,9.03814489999786,20
PDRF+CD,103,0.5409469878751214,0.0007441567346038797,19740,6.689715699991211,18
PDRF+EMA-CD,103,0.7150581036892038,0.0008583638866583106,19740,9.999944000010146,24
PDRF+Soft-CD,103,0.5286570047751573,0.0006543308896939659,19740,6.913914000004297,18
RO-AT-GATE,103,0.7967061845994672,0.0015775435392345336,26809,10.866562200011685,18
RO-PDRF-CAL,103,0.5136292433363694,0.0009026122794317562,19740,8.215839899989078,18
PDRF+CD,104,0.8366836973260565,0.0009048808443208082,19740,9.70230570001877,26
PDRF+EMA-CD,104,0.8503789766182727,0.0010346012783478383,19740,10.221259999991162,24
PDRF+Soft-CD,104,0.8422259620965701,0.000970623282865919,19740,10.514383300003828,26
RO-AT-GATE,104,1.2015750180146638,0.0019829055912430737,26809,7.969147899973905,13
RO-PDRF-CAL,104,0.7613521115691942,0.0010780476618538536,19740,11.450961299997289,26
PDRF+CD,105,0.7813513265963302,0.0009109532545080816,19740,6.559194200002821,18
PDRF+EMA-CD,105,0.6690644354367481,0.0008303849685998628,19740,9.819722099986393,23
PDRF+Soft-CD,105,0.9059295113834493,0.0008706232816907966,19740,11.885365699999966,29
RO-AT-GATE,105,1.4807615102546756,0.0017970898248405494,26809,13.379886900016572,23
RO-PDRF-CAL,105,0.9369807094389875,0.0013478918421580726,19740,13.737607099988963,29
PDRF+CD,106,0.5718699170683427,0.0009600595794327892,19740,7.8361366000026464,19
PDRF+EMA-CD,106,0.6938758043999671,0.0007053391406023201,19740,14.059795999986818,30
PDRF+Soft-CD,106,0.5543921718374623,0.0009258478466659532,19740,8.194970399985323,19
RO-AT-GATE,106,1.4293319915167613,0.0017346471097677994,26809,20.27576260000933,30
RO-PDRF-CAL,106,0.5980419858916827,0.0009063015567411102,19740,8.485319600004004,19
PDRF+CD,107,0.783994295112939,0.0005456003662745966,19740,6.380438699998194,19
PDRF+EMA-CD,107,0.902077591078721,0.0011158340972721044,19740,9.420029800006887,25
PDRF+Soft-CD,107,0.7788971968904878,0.0012901466547154696,19740,7.037221099977614,19
RO-AT-GATE,107,1.0743248518888686,0.001977910176171357,26809,10.813487800012808,18
RO-PDRF-CAL,107,0.8246998411332797,0.0007925297883868484,19740,7.975902300007874,19
PDRF+CD,108,0.9272013001511805,0.0007798121013916777,19740,14.583725200005574,41
PDRF+EMA-CD,108,0.9411438529221362,0.0012656049497189097,19740,17.57823450001888,41
PDRF+Soft-CD,108,0.9827370327295007,0.000568927593235145,19740,14.58966500000679,41
RO-AT-GATE,108,1.3826072435278054,0.0016114573778907276,26809,9.606632499984698,17
RO-PDRF-CAL,108,0.8965047156564548,0.0009151008237801206,19740,16.5158162000007,41
PDRF+CD,109,0.6980217268692663,0.0008286663620689189,19740,9.794774500012863,28
PDRF+EMA-CD,109,0.6834717824998124,0.0007954399580222159,19740,10.907177900022361,28
PDRF+Soft-CD,109,0.6783895236522423,0.0006772914710800367,19740,9.821901999996044,28
RO-AT-GATE,109,1.5801382460725515,0.001488084326560953,26809,8.753427299991017,15
RO-PDRF-CAL,109,0.6979362882199217,0.0006608386769123362,19740,11.783435399993323,28
PDRF+CD,110,0.9228405285147329,0.0010627864374596486,19740,11.71830070001306,33
PDRF+EMA-CD,110,0.8666849434045096,0.0007203712223497186,19740,10.847502999997232,27
PDRF+Soft-CD,110,0.8162735230590162,0.000952681024814081,19740,9.655259999999544,27
RO-AT-GATE,110,0.7536620340281591,0.0021550412501928104,26809,8.846365100005642,15
RO-PDRF-CAL,110,0.8868905838441195,0.0008278185162692408,19740,13.829907100007404,33
