method,seed,subset,metric,value,n
PDRF+CD,101,all,accuracy,0.553391384051329,4364
PDRF+CD,101,all,macro_f1,0.5352878560866389,4364
PDRF+CD,101,all,macro_auroc,0.8454189033119582,4364
PDRF+CD,101,all,macro_auprc,0.5963495744058038,4364
PDRF+CD,101,all,nll,1.8275698284874624,4364
PDRF+CD,101,all,brier,0.6780256527476317,4364
PDRF+CD,101,all,ece15,0.24800346533603126,4364
PDRF+CD,101,affected,accuracy,0.49575070821529743,1765
PDRF+CD,101,affected,macro_f1,0.4825679730971986,1765
PDRF+CD,101,affected,macro_auroc,0.8112240039834853,1765
PDRF+CD,101,affected,macro_auprc,0.5282021613726582,1765
PDRF+CD,101,affected,nll,2.1697712536001657,1765
PDRF+CD,101,affected,brier,0.7686707151996117,1765
PDRF+CD,101,affected,ece15,0.30089629608240753,1765
PDRF+CD,101,unaffected,accuracy,0.5925355906117737,2599
PDRF+CD,101,unaffected,macro_f1,0.5675080748839484,2599
PDRF+CD,101,unaffected,macro_auroc,0.8693333228325925,2599
PDRF+CD,101,unaffected,macro_auprc,0.6508536041196445,2599
PDRF+CD,101,unaffected,nll,1.5951783258618677,2599
PDRF+CD,101,unaffected,brier,0.6164679246877068,2599
PDRF+CD,101,unaffected,ece15,0.21292391781762915,2599
PDRF+EMA-CD,101,all,accuracy,0.5458295142071494,4364
PDRF+EMA-CD,101,all,macro_f1,0.5256341674916442,4364
PDRF+EMA-CD,101,all,macro_auroc,0.8394015337134646,4364
PDRF+EMA-CD,101,all,macro_auprc,0.5921467546045931,4364
PDRF+EMA-CD,101,all,nll,1.8199783230783324,4364
PDRF+EMA-CD,101,all,brier,0.6863598745266298,4364
PDRF+EMA-CD,101,all,ece15,0.250975304082596,4364
PDRF+EMA-CD,101,affected,accuracy,0.4776203966005666,1765
PDRF+EMA-CD,101,affected,macro_f1,0.46300800355443766,1765
PDRF+EMA-CD,101,affected,macro_auroc,0.8077204941867157,1765
PDRF+EMA-CD,101,affected,macro_auprc,0.5335953125744702,1765
PDRF+EMA-CD,101,affected,nll,2.147062281294028,1765
PDRF+EMA-CD,101,affected,brier,0.7890704632817703,1765
PDRF+EMA-CD,101,affected,ece15,0.31392458533767936,1765
PDRF+EMA-CD,101,unaffected,accuracy,0.5921508272412467,2599
PDRF+EMA-CD,101,unaffected,macro_f1,0.5621321627881216,2599
PDRF+EMA-CD,101,unaffected,macro_auroc,0.8619305004501703,2599
PDRF+EMA-CD,101,unaffected,macro_auprc,0.6358180611467329,2599
PDRF+EMA-CD,101,unaffected,nll,1.5978532033204633,2599
PDRF+EMA-CD,101,unaffected,brier,0.6166083588849127,2599
PDRF+EMA-CD,101,unaffected,ece15,0.20863122781133045,2599
PDRF+Soft-CD,101,all,accuracy,0.5545371219065078,4364
PDRF+Soft-CD,101,all,macro_f1,0.5361987564492933,4364
PDRF+Soft-CD,101,all,macro_auroc,0.8465205424653641,4364
PDRF+Soft-CD,101,all,macro_auprc,0.5979147808457127,4364
PDRF+Soft-CD,101,all,nll,1.855072773346486,4364
PDRF+Soft-CD,101,all,brier,0.6794820317213591,4364
PDRF+Soft-CD,101,all,ece15,0.25239981874809914,4364
PDRF+Soft-CD,101,affected,accuracy,0.4963172804532578,1765
PDRF+Soft-CD,101,affected,macro_f1,0.48298571299234466,1765
PDRF+Soft-CD,101,affected,macro_auroc,0.8117834917702488,1765
PDRF+Soft-CD,101,affected,macro_auprc,0.5293865445226861,1765
PDRF+Soft-CD,101,affected,nll,2.2249010933235867,1765
