method,seed,temperature,parameters,train_seconds,epochs
RO-CAGF,101,1.1145335589867211,26588,17.664643099997193,25
RO-PDRF,101,1.1624636387731861,19740,24.338949600001797,29
RO-PDRF-EMA95,101,0.7688872041376338,19740,17.37614969999413,19
RO-PDRF-EMA99,101,1.0545409359126812,19740,25.5988362999924,29
RO-PDRF-EMA995,101,0.7835315358133862,19740,27.77791150001576,29
RO-CAGF,102,0.7423498144666183,26588,11.474795999994967,15
RO-PDRF,102,0.7856289370106155,19740,18.55026540000108,20
RO-PDRF-EMA95,102,0.7281121734895856,19740,19.02642619999824,20
RO-PDRF-EMA99,102,0.740232701629732,19740,23.521461099997396,25
RO-PDRF-EMA995,102,0.6688857672225287,19740,27.313333400001284,29
RO-CAGF,103,0.8584264055463096,26588,12.901207599992631,18
RO-PDRF,103,0.5467774752063312,19740,15.728717399993911,18
RO-PDRF-EMA95,103,0.6043187162744093,19740,17.28013919998193,18
RO-PDRF-EMA99,103,0.7243787965079561,19740,22.41667679999955,24
RO-PDRF-EMA995,103,0.8986068647351801,19740,31.090311199979624,33
RO-CAGF,104,0.9201833565206756,26588,17.159112399996957,24
RO-PDRF,104,0.7881896257061171,19740,22.42754950001836,26
RO-PDRF-EMA95,104,0.8604242004909374,19740,24.48076070001116,26
RO-PDRF-EMA99,104,0.7992723786710464,19740,22.536001100001158,24
RO-PDRF-EMA995,104,0.767337560470509,19740,25.295148400007747,27
RO-CAGF,105,0.8636919933925408,26588,11.462899899983313,16
RO-PDRF,105,0.9396864593290633,19740,23.887390799995046,29
RO-PDRF-EMA95,105,0.9537594116829035,19740,31.912065499986056,36
RO-PDRF-EMA99,105,0.6751433220137637,19740,20.238998300017556,23
RO-PDRF-EMA995,105,0.8999641662839953,19740,35.15120399999432,40
