method,seed,fault_type,fault_realization,subset,metric,value,n,inference_ms_per_observation
RO-CAGF,101,gaussian,70001,all,accuracy,0.5710357470210816,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,all,macro_f1,0.541821027382933,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,all,macro_auroc,0.8470074496887005,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,all,macro_auprc,0.6106325762980511,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,all,nll,1.5504575963870202,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,all,brier,0.6155059434048342,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,all,ece15,0.16366851361217466,4364,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,accuracy,0.545042492917847,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,macro_f1,0.517576032466374,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,macro_auroc,0.8367709467837088,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,macro_auprc,0.585010200100919,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,nll,1.676327824784973,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,brier,0.6491661491652344,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,affected,ece15,0.16988150337262464,1765,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,accuracy,0.5886879569065026,2599,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,macro_f1,0.5573154585602011,2599,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,macro_auroc,0.8552172808029216,2599,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,macro_auprc,0.6289295206669775,2599,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,nll,1.4649781992641315,2599,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,brier,0.5926470503047551,2599,0.001823648030478695
RO-CAGF,101,gaussian,70001,unaffected,ece15,0.15944928192275906,2599,0.001823648030478695
RO-CAGF,101,gaussian,70002,all,accuracy,0.5653070577451879,4364,0.0013855407879867965
RO-CAGF,101,gaussian,70002,all,macro_f1,0.5373081040893789,4364,0.0013855407879867965
RO-CAGF,101,gaussian,70002,all,macro_auroc,0.8493527820910227,4364,0.0013855407879867965
