fault_type,method,metric,mean,std
drift,RO-CAGF,ece15,0.28347888579792163,0.06532916209941357
drift,RO-CAGF,macro_auroc,0.7909484225260142,0.03143738893224845
drift,RO-CAGF,nll,2.1562848707878697,0.4216328599074021
drift,RO-PDRF,ece15,0.3054767580163249,0.05872989389257076
drift,RO-PDRF,macro_auroc,0.8260248636589799,0.017048596064391783
drift,RO-PDRF,nll,2.3872588541876736,0.5511699765247557
drift,RO-PDRF-EMA95,ece15,0.304986521771381,0.050636459023093355
drift,RO-PDRF-EMA95,macro_auroc,0.8282975510053457,0.01906425936025021
drift,RO-PDRF-EMA95,nll,2.3847992376513094,0.4582271041298017
drift,RO-PDRF-EMA99,ece15,0.2845679269260243,0.05653141688695706
drift,RO-PDRF-EMA99,macro_auroc,0.8288859946815608,0.01579854749027665
drift,RO-PDRF-EMA99,nll,2.1386319644821596,0.37576036051737316
drift,RO-PDRF-EMA995,ece15,0.29713110569803736,0.058200666820127055
drift,RO-PDRF-EMA995,macro_auroc,0.822597808204715,0.01712746657207355
drift,RO-PDRF-EMA995,nll,2.148266787030086,0.3706055450256768
gaussian,RO-CAGF,ece15,0.2725911201429114,0.052933497144279314
gaussian,RO-CAGF,macro_auroc,0.7921342913896051,0.02528932086490945
gaussian,RO-CAGF,nll,2.0675635980943,0.23923376619229805
gaussian,RO-PDRF,ece15,0.3281730842519786,0.03284625950994998
gaussian,RO-PDRF,macro_auroc,0.8033842728223402,0.010686057264948222
gaussian,RO-PDRF,nll,2.5407620953157437,0.3740497652562767
gaussian,RO-PDRF-EMA95,ece15,0.3262353810333021,0.02246505007962316
gaussian,RO-PDRF-EMA95,macro_auroc,0.8071688728713772,0.012132048858003524
gaussian,RO-PDRF-EMA95,nll,2.532567598082057,0.21181895719768368
gaussian,RO-PDRF-EMA99,ece15,0.29872076429188515,0.020248814950594083
gaussian,RO-PDRF-EMA99,macro_auroc,0.8080647962714409,0.009465496631410282
gaussian,RO-PDRF-EMA99,nll,2.230801563028439,0.15757262866068786
gaussian,RO-PDRF-EMA995,ece15,0.30303500571696895,0.02424320419253805
gaussian,RO-PDRF-EMA995,macro_auroc,0.8094821395343299,0.010981601710788972
gaussian,RO-PDRF-EMA995,nll,2.1754387275502762,0.09312389435124004
offset,RO-CAGF,ece15,0.29074325996803674,0.07692309088240974
offset,RO-CAGF,macro_auroc,0.7856515023615579,0.03607865325841514
offset,RO-CAGF,nll,2.2439913361922725,0.5066233219943677
offset,RO-PDRF,ece15,0.33588711128558574,0.059751927813852045
offset,RO-PDRF,macro_auroc,0.815561372769974,0.018162233704744776
offset,RO-PDRF,nll,2.674904188894728,0.6468484666238989
offset,RO-PDRF-EMA95,ece15,0.33786298501435613,0.05671331899697095
offset,RO-PDRF-EMA95,macro_auroc,0.8177386253877501,0.022212229838824805
offset,RO-PDRF-EMA95,nll,2.684138327425949,0.6077309162966018
offset,RO-PDRF-EMA99,ece15,0.3186562301805792,0.06369016735418688
offset,RO-PDRF-EMA99,macro_auroc,0.8188759630006549,0.017591592611803996
offset,RO-PDRF-EMA99,nll,2.3817179308312286,0.47989797733379297
offset,RO-PDRF-EMA995,ece15,0.32962735519289804,0.06746691372438816
offset,RO-PDRF-EMA995,macro_auroc,0.8144802362712223,0.01867560592170572
offset,RO-PDRF-EMA995,nll,2.369151169663728,0.4724274545131461
stuck_at,RO-CAGF,ece15,0.29957993275990347,0.08573850118207768
stuck_at,RO-CAGF,macro_auroc,0.7776659385312004,0.039523965549803274
stuck_at,RO-CAGF,nll,2.3014703763538287,0.5674962388403053
stuck_at,RO-PDRF,ece15,0.3214938163856056,0.05481172963623401
stuck_at,RO-PDRF,macro_auroc,0.8112186504823209,0.015695418907732434
stuck_at,RO-PDRF,nll,2.525837275176897,0.5017102173178036
stuck_at,RO-PDRF-EMA95,ece15,0.32111114070971253,0.05687784635167419
stuck_at,RO-PDRF-EMA95,macro_auroc,0.8139235321019411,0.02061900857686983
stuck_at,RO-PDRF-EMA95,nll,2.5284934175696288,0.5420139026346372
stuck_at,RO-PDRF-EMA99,ece15,0.2977213625373414,0.05959259774476495
stuck_at,RO-PDRF-EMA99,macro_auroc,0.8156025888343589,0.01648661741820943
stuck_at,RO-PDRF-EMA99,nll,2.2474075407121923,0.38669000472069637
stuck_at,RO-PDRF-EMA995,ece15,0.3169006384496351,0.06179647838898149
stuck_at,RO-PDRF-EMA995,macro_auroc,0.8119174586810814,0.017472331662813527
stuck_at,RO-PDRF-EMA995,nll,2.2623419349789473,0.3736193823152965
