fault_type,metric,contrast,mean_difference,ci_low,ci_high
drift,macro_auroc,RO-PDRF-EMA99 - RO-PDRF,0.0028611310225810705,-0.002764950428510834,0.010435285759442508
gaussian,macro_auroc,RO-PDRF-EMA99 - RO-PDRF,0.004680523449100607,0.00226877131836728,0.007778318708546007
offset,macro_auroc,RO-PDRF-EMA99 - RO-PDRF,0.0033145902306811028,-0.002990922960261192,0.01102086849733081
stuck_at,macro_auroc,RO-PDRF-EMA99 - RO-PDRF,0.004383938352038014,-0.0019858948487878805,0.011746965244582932
drift,nll,RO-PDRF-EMA99 - RO-PDRF,-0.24862688970551408,-0.5726004694934267,-0.034533895901362154
gaussian,nll,RO-PDRF-EMA99 - RO-PDRF,-0.3099605322873047,-0.5371954671075198,-0.11637978027660992
offset,nll,RO-PDRF-EMA99 - RO-PDRF,-0.29318625806349913,-0.6496295547642867,-0.061287324891954015
stuck_at,nll,RO-PDRF-EMA99 - RO-PDRF,-0.2784297344647046,-0.5734983121363788,-0.08198241826262447
drift,ece15,RO-PDRF-EMA99 - RO-PDRF,-0.020908831090300655,-0.04442018157784132,-0.004436990625824338
gaussian,ece15,RO-PDRF-EMA99 - RO-PDRF,-0.029452319960093447,-0.04425362413390928,-0.014390473199719166
offset,ece15,RO-PDRF-EMA99 - RO-PDRF,-0.017230881105006556,-0.04281518156294398,0.0025229363406381903
stuck_at,ece15,RO-PDRF-EMA99 - RO-PDRF,-0.02377245384826421,-0.050565853133054485,-0.00218157615227312
all four types,macro_auroc,RO-PDRF-EMA99 - RO-PDRF,0.0038100457636001984,-0.0007439251408443714,0.009125735555256698
all four types,nll,RO-PDRF-EMA99 - RO-PDRF,-0.2825508536302556,-0.5346811819742547,-0.09417287549402815
all four types,ece15,RO-PDRF-EMA99 - RO-PDRF,-0.022841121500916217,-0.03955631705991456,-0.00854899929796516
