method,seed,subset,metric,value,n
QMF-PD,101,all,accuracy,0.5238313473877176,4364
QMF-PD,101,all,macro_f1,0.5025797360527978,4364
QMF-PD,101,all,macro_auroc,0.8063641010826369,4364
QMF-PD,101,all,macro_auprc,0.5204816816161333,4364
QMF-PD,101,all,nll,2.3042089464411797,4364
QMF-PD,101,all,brier,0.7291799226852447,4364
QMF-PD,101,all,ece15,0.2628743689025792,4364
QMF-PD,101,affected,accuracy,0.4424929178470255,1765
QMF-PD,101,affected,macro_f1,0.4263894769762529,1765
QMF-PD,101,affected,macro_auroc,0.7487572248722588,1765
QMF-PD,101,affected,macro_auprc,0.4206689720611186,1765
QMF-PD,101,affected,nll,3.2899558667106006,1765
QMF-PD,101,affected,brier,0.8929925712961946,1765
QMF-PD,101,affected,ece15,0.3673765750343333,1765
QMF-PD,101,unaffected,accuracy,0.5790688726433244,2599
QMF-PD,101,unaffected,macro_f1,0.5554177030599433,2599
QMF-PD,101,unaffected,macro_auroc,0.8520695274143675,2599
QMF-PD,101,unaffected,macro_auprc,0.6359974135390005,2599
QMF-PD,101,unaffected,nll,1.6347809686514427,2599
QMF-PD,101,unaffected,brier,0.6179335491576082,2599
QMF-PD,101,unaffected,ece15,0.19190614211554707,2599
QMF-PD,102,all,accuracy,0.5222273143904674,4364
QMF-PD,102,all,macro_f1,0.5078812822255275,4364
QMF-PD,102,all,macro_auroc,0.7974314191762016,4364
QMF-PD,102,all,macro_auprc,0.5084741576756112,4364
QMF-PD,102,all,nll,2.9752570326042656,4364
QMF-PD,102,all,brier,0.7579686940253489,4364
QMF-PD,102,all,ece15,0.3116994228634017,4364
QMF-PD,102,affected,accuracy,0.4441926345609065,1765
QMF-PD,102,affected,macro_f1,0.43494786663395574,1765
QMF-PD,102,affected,macro_auroc,0.7374038407204752,1765
QMF-PD,102,affected,macro_auprc,0.4140327249167128,1765
QMF-PD,102,affected,nll,4.31533998635101,1765
QMF-PD,102,affected,brier,0.9409704522620643,1765
QMF-PD,102,affected,ece15,0.4168693459911994,1765
QMF-PD,102,unaffected,accuracy,0.5752212389380531,2599
QMF-PD,102,unaffected,macro_f1,0.5550279175507209,2599
QMF-PD,102,unaffected,macro_auroc,0.846321378072151,2599
QMF-PD,102,unaffected,macro_auprc,0.6053722923870668,2599
QMF-PD,102,unaffected,nll,2.0651968504715206,2599
QMF-PD,102,unaffected,brier,0.6336908551304654,2599
QMF-PD,102,unaffected,ece15,0.24113579558243703,2599
QMF-PD,103,all,accuracy,0.5346012832263978,4364
QMF-PD,103,all,macro_f1,0.5194729123777378,4364
QMF-PD,103,all,macro_auroc,0.8100935416696151,4364
QMF-PD,103,all,macro_auprc,0.5541458465828791,4364
QMF-PD,103,all,nll,2.0579189934063087,4364
QMF-PD,103,all,brier,0.7034659113613158,4364
QMF-PD,103,all,ece15,0.24345650207712274,4364
QMF-PD,103,affected,accuracy,0.46118980169971674,1765
QMF-PD,103,affected,macro_f1,0.4501716874910318,1765
QMF-PD,103,affected,macro_auroc,0.7661732824732795,1765
QMF-PD,103,affected,macro_auprc,0.4689963659904131,1765
QMF-PD,103,affected,nll,2.624442365068742,1765
QMF-PD,103,affected,brier,0.8225790448430728,1765
QMF-PD,103,affected,ece15,0.31635929788476014,1765
QMF-PD,103,unaffected,accuracy,0.5844555598307041,2599
QMF-PD,103,unaffected,macro_f1,0.5643271988039895,2599
QMF-PD,103,unaffected,macro_auroc,0.8415407356728865,2599
QMF-PD,103,unaffected,macro_auprc,0.627936301948174,2599
QMF-PD,103,unaffected,nll,1.673188808341209,2599
QMF-PD,103,unaffected,brier,0.622575307053774,2599
QMF-PD,103,unaffected,ece15,0.19556460048245117,2599
QMF-PD,104,all,accuracy,0.47777268560953257,4364
QMF-PD,104,all,macro_f1,0.4765744271756973,4364
QMF-PD,104,all,macro_auroc,0.7706027048856213,4364
QMF-PD,104,all,macro_auprc,0.4713064751648544,4364
QMF-PD,104,all,nll,3.2271355919434943,4364
QMF-PD,104,all,brier,0.8161753798218454,4364
QMF-PD,104,all,ece15,0.3405352265708059,4364
QMF-PD,104,affected,accuracy,0.38470254957507083,1765
QMF-PD,104,affected,macro_f1,0.38630608804281313,1765
QMF-PD,104,affected,macro_auroc,0.7046664008236982,1765
QMF-PD,104,affected,macro_auprc,0.3663973769098477,1765
QMF-PD,104,affected,nll,4.966194665223358,1765
QMF-PD,104,affected,brier,1.047841527997993,1765
QMF-PD,104,affected,ece15,0.47591588631398957,1765
QMF-PD,104,unaffected,accuracy,0.5409772989611389,2599
QMF-PD,104,unaffected,macro_f1,0.531903184045008,2599
QMF-PD,104,unaffected,macro_auroc,0.8310205947975918,2599
QMF-PD,104,unaffected,macro_auprc,0.587064715385856,2599
QMF-PD,104,unaffected,nll,2.046127794968134,2599
QMF-PD,104,unaffected,brier,0.6588491960854467,2599
QMF-PD,104,unaffected,ece15,0.24880785730399732,2599
QMF-PD,105,all,accuracy,0.5286434463794684,4364
QMF-PD,105,all,macro_f1,0.5089827064500025,4364
QMF-PD,105,all,macro_auroc,0.8044983166601981,4364
QMF-PD,105,all,macro_auprc,0.5379194911751076,4364
QMF-PD,105,all,nll,2.439392696132713,4364
QMF-PD,105,all,brier,0.7293413337117138,4364
QMF-PD,105,all,ece15,0.2722622192405868,4364
QMF-PD,105,affected,accuracy,0.44192634560906513,1765
QMF-PD,105,affected,macro_f1,0.4259221105136704,1765
QMF-PD,105,affected,macro_auroc,0.7513536168238772,1765
QMF-PD,105,affected,macro_auprc,0.4418823674061832,1765
QMF-PD,105,affected,nll,3.444616209879446,1765
QMF-PD,105,affected,brier,0.8950497955067364,1765
