method,seed,temperature,inference_ms_per_observation,parameters,train_seconds,epochs
RO-PDRF-CRA,101,1.0014485220071032,0.001891223643543617,19740,25.774097699992126,32
RO-PDRF-ECA,101,1.1897695612395494,0.001848327225064782,19740,27.149248000001535,29
RO-PDRF-CRA,102,0.7966655245649776,0.0018818973397471584,19740,17.05225249999785,20
RO-PDRF-ECA,102,0.7462822606329805,0.0018495417031007934,19740,23.539847899985034,25
RO-PDRF-CRA,103,0.5496417971785655,0.0017581805644435664,19740,15.289537900011055,18
RO-PDRF-ECA,103,0.7271928223378635,0.0018722044037143665,19740,18.62571549997665,20
RO-PDRF-CRA,104,0.798709293388381,0.001869431716999454,19740,22.254455399990547,26
RO-PDRF-ECA,104,0.8319074064869924,0.0016104491342390068,19740,24.088011099986034,26
RO-PDRF-CRA,105,0.8602131724836751,0.0018196379441271112,19740,24.08268859999953,29
RO-PDRF-ECA,105,0.9116383206441826,0.0011020852383554808,19740,21.05582130001858,29
RO-PDRF-CRA,106,0.5943915161260801,0.000834074245909217,19740,10.321263399993768,19
RO-PDRF-ECA,106,0.5923319514434439,0.0011802703980548525,19740,11.339516199979698,19
RO-PDRF-CRA,107,0.929150558569304,0.0007231209874639712,19740,12.946614399988903,25
RO-PDRF-ECA,107,0.96524722718356,0.0012861594832954736,19740,14.538428900006693,25
RO-PDRF-CRA,108,0.9242282457367552,0.0010300183320447024,19740,20.004362900013803,41
RO-PDRF-ECA,108,0.8691681408416176,0.0010759853313490918,19740,22.7806658000045,41
RO-PDRF-CRA,109,0.7121097522365998,0.0007983959641898312,19740,14.141604600008577,28
RO-PDRF-ECA,109,0.6608563440464497,0.0010973189725996422,19740,15.508938899991335,28
RO-PDRF-CRA,110,0.8418274256822309,0.001047341886943669,19740,13.880178999999771,27
RO-PDRF-ECA,110,0.8258851937459813,0.0007412007351053364,19740,14.65383809999912,27
