method,seed,subset,metric,value,n
RO-PDRF-CRA,101,all,accuracy,0.5641613198900092,4364
RO-PDRF-CRA,101,all,macro_f1,0.5418835406383826,4364
RO-PDRF-CRA,101,all,macro_auroc,0.8400677980801946,4364
RO-PDRF-CRA,101,all,macro_auprc,0.5819835472287651,4364
RO-PDRF-CRA,101,all,nll,2.0092978603072393,4364
RO-PDRF-CRA,101,all,brier,0.6811312387003006,4364
RO-PDRF-CRA,101,all,ece15,0.264379257802347,4364
RO-PDRF-CRA,101,affected,accuracy,0.4991501416430595,1765
RO-PDRF-CRA,101,affected,macro_f1,0.4867337875588271,1765
RO-PDRF-CRA,101,affected,macro_auroc,0.8060458555208662,1765
RO-PDRF-CRA,101,affected,macro_auprc,0.5200637660925632,1765
RO-PDRF-CRA,101,affected,nll,2.4048660162050357,1765
RO-PDRF-CRA,101,affected,brier,0.7808298547948288,1765
RO-PDRF-CRA,101,affected,ece15,0.31961945724217145,1765
RO-PDRF-CRA,101,unaffected,accuracy,0.6083108888033859,2599
RO-PDRF-CRA,101,unaffected,macro_f1,0.5758280477752774,2599
RO-PDRF-CRA,101,unaffected,macro_auroc,0.8642120083823558,2599
RO-PDRF-CRA,101,unaffected,macro_auprc,0.6336686454298679,2599
RO-PDRF-CRA,101,unaffected,nll,1.7406646186144303,2599
RO-PDRF-CRA,101,unaffected,brier,0.6134251758273334,2599
RO-PDRF-CRA,101,unaffected,ece15,0.2270941019700371,2599
RO-PDRF-ECA,101,all,accuracy,0.5549954170485792,4364
RO-PDRF-ECA,101,all,macro_f1,0.5351288945716456,4364
RO-PDRF-ECA,101,all,macro_auroc,0.8452895095428992,4364
RO-PDRF-ECA,101,all,macro_auprc,0.5891377334867491,4364
RO-PDRF-ECA,101,all,nll,1.7239622886813681,4364
RO-PDRF-ECA,101,all,brier,0.6763973506902982,4364
RO-PDRF-ECA,101,all,ece15,0.23451579287033578,4364
RO-PDRF-ECA,101,affected,accuracy,0.4940509915014164,1765
RO-PDRF-ECA,101,affected,macro_f1,0.4802068970500916,1765
RO-PDRF-ECA,101,affected,macro_auroc,0.8153097369842769,1765
RO-PDRF-ECA,101,affected,macro_auprc,0.5326222606771943,1765
RO-PDRF-ECA,101,affected,nll,1.99601818134254,1765
RO-PDRF-ECA,101,affected,brier,0.7595759844844501,1765
RO-PDRF-ECA,101,affected,ece15,0.28557238132183677,1765
RO-PDRF-ECA,101,unaffected,accuracy,0.596383224317045,2599
RO-PDRF-ECA,101,unaffected,macro_f1,0.5687467706715164,2599
RO-PDRF-ECA,101,unaffected,macro_auroc,0.8662005751656673,2599
RO-PDRF-ECA,101,unaffected,macro_auprc,0.6334152994433142,2599
RO-PDRF-ECA,101,unaffected,nll,1.5392071326417496,2599
RO-PDRF-ECA,101,unaffected,brier,0.6199101292025421,2599
RO-PDRF-ECA,101,unaffected,ece15,0.20243542873891512,2599
RO-PDRF-CRA,102,all,accuracy,0.5478918423464711,4364
RO-PDRF-CRA,102,all,macro_f1,0.5262533516381317,4364
RO-PDRF-CRA,102,all,macro_auroc,0.8426461236047421,4364
RO-PDRF-CRA,102,all,macro_auprc,0.5964520033421752,4364
RO-PDRF-CRA,102,all,nll,1.9205806615480596,4364
RO-PDRF-CRA,102,all,brier,0.6649830562043401,4364
RO-PDRF-CRA,102,all,ece15,0.248468516986923,4364
RO-PDRF-CRA,102,affected,accuracy,0.488385269121813,1765
RO-PDRF-CRA,102,affected,macro_f1,0.4803205206592398,1765
RO-PDRF-CRA,102,affected,macro_auroc,0.8044275796049266,1765
RO-PDRF-CRA,102,affected,macro_auprc,0.5331054250847331,1765
RO-PDRF-CRA,102,affected,nll,2.4052799163665135,1765
RO-PDRF-CRA,102,affected,brier,0.7776306197835591,1765
RO-PDRF-CRA,102,affected,ece15,0.3115901500577629,1765
RO-PDRF-CRA,102,unaffected,accuracy,0.5883031935359754,2599
RO-PDRF-CRA,102,unaffected,macro_f1,0.5520102216206931,2599
RO-PDRF-CRA,102,unaffected,macro_auroc,0.8711862594402976,2599
RO-PDRF-CRA,102,unaffected,macro_auprc,0.6465601472000378,2599
RO-PDRF-CRA,102,unaffected,nll,1.5914178355555344,2599
RO-PDRF-CRA,102,unaffected,brier,0.5884832679329582,2599
RO-PDRF-CRA,102,unaffected,ece15,0.2056021729126578,2599
RO-PDRF-ECA,102,all,accuracy,0.5627864344637947,4364
RO-PDRF-ECA,102,all,macro_f1,0.5382625330020753,4364
RO-PDRF-ECA,102,all,macro_auroc,0.838291194970085,4364
RO-PDRF-ECA,102,all,macro_auprc,0.5733805241697753,4364
RO-PDRF-ECA,102,all,nll,2.0532817790641067,4364
