method,seed,subset,metric,value,n
RO-PDRF-CEG,101,all,accuracy,0.5456003666361137,4364
RO-PDRF-CEG,101,all,macro_f1,0.5244775097211987,4364
RO-PDRF-CEG,101,all,macro_auroc,0.8421526104020639,4364
RO-PDRF-CEG,101,all,macro_auprc,0.5795502180539874,4364
RO-PDRF-CEG,101,all,nll,1.7656899431130122,4364
RO-PDRF-CEG,101,all,brier,0.6783428072469186,4364
RO-PDRF-CEG,101,all,ece15,0.2452033024236874,4364
RO-PDRF-CEG,101,affected,accuracy,0.4855524079320113,1765
RO-PDRF-CEG,101,affected,macro_f1,0.46828746271272315,1765
RO-PDRF-CEG,101,affected,macro_auroc,0.8095041150009301,1765
RO-PDRF-CEG,101,affected,macro_auprc,0.5180973274551012,1765
RO-PDRF-CEG,101,affected,nll,2.0799332695964545,1765
RO-PDRF-CEG,101,affected,brier,0.7680913242079204,1765
RO-PDRF-CEG,101,affected,ece15,0.30045728006376426,1765
RO-PDRF-CEG,101,unaffected,accuracy,0.5863793766833397,2599
RO-PDRF-CEG,101,unaffected,macro_f1,0.5597587390476649,2599
RO-PDRF-CEG,101,unaffected,macro_auroc,0.8651659702769962,2599
RO-PDRF-CEG,101,unaffected,macro_auprc,0.629575962324047,2599
RO-PDRF-CEG,101,unaffected,nll,1.5522849907300662,2599
RO-PDRF-CEG,101,unaffected,brier,0.6173939298186124,2599
RO-PDRF-CEG,101,unaffected,ece15,0.2079672503466788,2599
RO-PDRF-CEG,102,all,accuracy,0.5517873510540788,4364
RO-PDRF-CEG,102,all,macro_f1,0.5282296964059434,4364
RO-PDRF-CEG,102,all,macro_auroc,0.8436851224441896,4364
RO-PDRF-CEG,102,all,macro_auprc,0.5976006915561767,4364
RO-PDRF-CEG,102,all,nll,1.8105270621260656,4364
RO-PDRF-CEG,102,all,brier,0.6492087636127927,4364
RO-PDRF-CEG,102,all,ece15,0.23059618977725674,4364
RO-PDRF-CEG,102,affected,accuracy,0.4951841359773371,1765
RO-PDRF-CEG,102,affected,macro_f1,0.4863827069197613,1765
RO-PDRF-CEG,102,affected,macro_auroc,0.8071085235651786,1765
RO-PDRF-CEG,102,affected,macro_auprc,0.5368430489819985,1765
RO-PDRF-CEG,102,affected,nll,2.2285383881032694,1765
RO-PDRF-CEG,102,affected,brier,0.7539901096235162,1765
RO-PDRF-CEG,102,affected,ece15,0.2912456372135422,1765
RO-PDRF-CEG,102,unaffected,accuracy,0.590227010388611,2599
RO-PDRF-CEG,102,unaffected,macro_f1,0.5517080529492174,2599
RO-PDRF-CEG,102,unaffected,macro_auroc,0.8706617670137154,2599
RO-PDRF-CEG,102,unaffected,macro_auprc,0.6457781756678008,2599
RO-PDRF-CEG,102,unaffected,nll,1.5266524986979142,2599
RO-PDRF-CEG,102,unaffected,brier,0.5780509815008544,2599
RO-PDRF-CEG,102,unaffected,ece15,0.18940871449423186,2599
RO-PDRF-CEG,103,all,accuracy,0.5439963336388635,4364
RO-PDRF-CEG,103,all,macro_f1,0.5350078822761385,4364
RO-PDRF-CEG,103,all,macro_auroc,0.8338829844701133,4364
RO-PDRF-CEG,103,all,macro_auprc,0.573999704860984,4364
RO-PDRF-CEG,103,all,nll,2.3960930425432654,4364
RO-PDRF-CEG,103,all,brier,0.7158602365153449,4364
RO-PDRF-CEG,103,all,ece15,0.30114111653934583,4364
RO-PDRF-CEG,103,affected,accuracy,0.48441926345609065,1765
RO-PDRF-CEG,103,affected,macro_f1,0.48119274378114035,1765
RO-PDRF-CEG,103,affected,macro_auroc,0.7938876745001999,1765
RO-PDRF-CEG,103,affected,macro_auprc,0.5144085519239826,1765
RO-PDRF-CEG,103,affected,nll,3.1714553681997177,1765
RO-PDRF-CEG,103,affected,brier,0.851948730900527,1765
RO-PDRF-CEG,103,affected,ece15,0.37802154249577613,1765
RO-PDRF-CEG,103,unaffected,accuracy,0.5844555598307041,2599
RO-PDRF-CEG,103,unaffected,macro_f1,0.5699347139134702,2599
RO-PDRF-CEG,103,unaffected,macro_auroc,0.864032930757236,2599
RO-PDRF-CEG,103,unaffected,macro_auprc,0.6227509010757762,2599
RO-PDRF-CEG,103,unaffected,nll,1.869538789067452,2599
RO-PDRF-CEG,103,unaffected,brier,0.623441539866693,2599
RO-PDRF-CEG,103,unaffected,ece15,0.25048100338297746,2599
RO-PDRF-CEG,104,all,accuracy,0.5453712190650779,4364
RO-PDRF-CEG,104,all,macro_f1,0.5276116207687815,4364
RO-PDRF-CEG,104,all,macro_auroc,0.8346264863399799,4364
RO-PDRF-CEG,104,all,macro_auprc,0.573153547522126,4364
RO-PDRF-CEG,104,all,nll,2.2079063755914214,4364
