method,seed,subset,metric,value,n
QMF-PD-faithful,106,clean_matched_mask,accuracy,0.5946379468377635,4364
QMF-PD-faithful,106,clean_matched_mask,macro_f1,0.5694691147706811,4364
QMF-PD-faithful,106,clean_matched_mask,macro_auroc,0.8483464445118255,4364
QMF-PD-faithful,106,clean_matched_mask,macro_auprc,0.6411224014904491,4364
QMF-PD-faithful,106,clean_matched_mask,nll,1.630999231595969,4364
QMF-PD-faithful,106,clean_matched_mask,brier,0.6150580901578799,4364
QMF-PD-faithful,106,clean_matched_mask,ece15,0.1878025873430162,4364
QMF-PD-faithful,106,fault_all,accuracy,0.5733272227314391,4364
QMF-PD-faithful,106,fault_all,macro_f1,0.5503490591166239,4364
QMF-PD-faithful,106,fault_all,macro_auroc,0.8346253222627166,4364
QMF-PD-faithful,106,fault_all,macro_auprc,0.6109135571423034,4364
QMF-PD-faithful,106,fault_all,nll,1.7501766320575374,4364
QMF-PD-faithful,106,fault_all,brier,0.6485716364868049,4364
QMF-PD-faithful,106,fault_all,ece15,0.20201683604080778,4364
QMF-PD-faithful,106,fault_affected,accuracy,0.5303116147308782,1765
QMF-PD-faithful,106,fault_affected,macro_f1,0.5136499740912237,1765
QMF-PD-faithful,106,fault_affected,macro_auroc,0.8067156766925566,1765
QMF-PD-faithful,106,fault_affected,macro_auprc,0.5602063302175945,1765
QMF-PD-faithful,106,fault_affected,nll,1.9944890744156953,1765
QMF-PD-faithful,106,fault_affected,brier,0.718493813470854,1765
QMF-PD-faithful,106,fault_affected,ece15,0.23903891297305274,1765
QMF-PD-faithful,106,fault_unaffected,accuracy,0.6025394382454791,2599
QMF-PD-faithful,106,fault_unaffected,macro_f1,0.5742547936578164,2599
QMF-PD-faithful,106,fault_unaffected,macro_auroc,0.8531884269267862,2599
QMF-PD-faithful,106,fault_unaffected,macro_auprc,0.6494413332597503,2599
QMF-PD-faithful,106,fault_unaffected,nll,1.5842622570047673,2599
QMF-PD-faithful,106,fault_unaffected,brier,0.6010869722402307,2599
QMF-PD-faithful,106,fault_unaffected,ece15,0.18221492633057262,2599
QMF-PD-faithful,107,clean_matched_mask,accuracy,0.5634738771769019,4364
QMF-PD-faithful,107,clean_matched_mask,macro_f1,0.5373923313904532,4364
QMF-PD-faithful,107,clean_matched_mask,macro_auroc,0.8397810717418338,4364
QMF-PD-faithful,107,clean_matched_mask,macro_auprc,0.6123327183615844,4364
QMF-PD-faithful,107,clean_matched_mask,nll,1.5990895696749274,4364
QMF-PD-faithful,107,clean_matched_mask,brier,0.6312116928590478,4364
