method,seed,temperature,clean_inference_ms_per_observation,fault_inference_ms_per_observation,parameters,train_seconds,epochs
QMF-PD-current,101,0.9012906715460401,0.0014047433606068937,0.0010600595739388397,17560,14.38691839997773,26
QMF-PD-scale003,101,0.9723399364301233,0.0017048808470527164,0.0011820806576430757,17560,28.83920639997814,52
QMF-PD-scale030,101,1.214750030402867,0.0013748166800325516,0.001122456465817486,17560,13.533395800011931,26
QMF-PD-normalized,101,0.8992805164408965,0.0013367323505036588,0.0012298350082731726,17560,14.157322100014426,26
QMF-PD-rank0,101,0.9046302095767832,0.0013692713132717985,0.0012740834077156903,17560,14.882315299997572,26
QMF-PD-rank1,101,0.8885680306670317,0.0015089825841113345,0.0011704399657634613,17560,14.71061660000123,26
QMF-PD-faithful,101,0.9215159782980424,0.0012224793752551243,0.0010161319902076238,17560,19.850958199996967,36
QMF-PD-current,102,0.5330563678890688,0.0009450962424801541,0.000878551787998541,17560,12.093313099991065,22
QMF-PD-scale003,102,0.8081159166498115,0.0012425068720742399,0.0010164527992498535,17560,17.044378899998264,31
QMF-PD-scale030,102,0.7326457411728333,0.0014033684713806954,0.0013670485782459221,17560,12.565135799988639,22
QMF-PD-normalized,102,0.5633474782942006,0.0014921860659698164,0.0013729605905811527,17560,13.455653500015615,22
QMF-PD-rank0,102,0.5346493898099882,0.0015826535289641896,0.0013503208048991674,17560,13.31856549999793,22
QMF-PD-rank1,102,0.5653897591899885,0.0013984647160353299,0.0013637259398419734,17560,13.270380299974931,22
QMF-PD-faithful,102,0.8766194266764075,0.0013382447293193841,0.0012685380409549372,17560,18.15481129998807,30
QMF-PD-current,103,0.9809431465107683,0.0014768560967808478,0.0012451420691996253,17560,18.539475800003856,32
QMF-PD-scale003,103,0.8948412288423598,0.0012274289604636654,0.0012638175983932024,17560,26.30365640000673,46
QMF-PD-scale030,103,0.7436678110929855,0.0014513519713266708,0.0012327451912466842,17560,10.210132799984422,18
QMF-PD-normalized,103,0.912056157698262,0.0012518331758706984,0.0011869614980568534,17560,18.50589800000307,32
QMF-PD-rank0,103,0.9897321434953767,0.0012446379473737648,0.001235082494261428,17560,18.401526000001468,32
QMF-PD-rank1,103,0.9412282424684678,0.0012865032072692912,0.001229789185079069,17560,18.302046199998586,32
QMF-PD-faithful,103,0.7367057191804565,0.001285403303891219,0.0012158111835156391,17560,18.419681400002446,32
QMF-PD-current,104,0.6230715714933807,0.0013208753445572421,0.0011831118228954563,17560,9.220245900010923,16
QMF-PD-scale003,104,0.7663224025021326,0.0012415215433541067,0.0014411319851982865,17560,21.34894220001297,38
QMF-PD-scale030,104,0.8369605358801273,0.0012715169553850682,0.0012663153059290608,17560,9.209706499997992,16
QMF-PD-normalized,104,0.8717655266866846,0.001298510544723383,0.0012406507759537687,17560,9.831831500021508,17
QMF-PD-rank0,104,0.6305387701225548,0.0012450962393364495,0.0012597158589843392,17560,9.170465299976058,16
QMF-PD-rank1,104,0.7899912880408424,0.00126042621519449,0.0011983272240955578,17560,10.29445570000098,18
QMF-PD-faithful,104,0.9283711731476547,0.0012582493100317894,0.0012220439982240274,17560,21.017330900009256,38
QMF-PD-current,105,0.8327318956757469,0.0012630384907192157,0.001160815761187289,17560,13.088494199997513,24
QMF-PD-scale003,105,0.6372129077615026,0.0012273373074063862,0.0011480522443289424,17560,13.31272839999292,24
QMF-PD-scale030,105,1.1804364812138497,0.0012492667302091483,0.0011631530708711044,17560,13.176846199989086,24
QMF-PD-normalized,105,0.8272896852751214,0.0013071723155037942,0.0011807745198807128,17560,13.77674199998728,24
QMF-PD-rank0,105,0.8334788071799829,0.0012457378574209092,0.0010957607705898132,17560,12.776850700000068,24
QMF-PD-rank1,105,0.8335078558160164,0.0013446608568114032,0.001087671859760954,17560,12.639747399982298,24
QMF-PD-faithful,105,0.7223045873256803,0.0012137259380792897,0.0011302016526725277,17560,12.938477899995632,24
