method,seed,subset,metric,value,n
QMF-PD-current,101,clean_matched_mask,accuracy,0.5701191567369386,4364
QMF-PD-current,101,clean_matched_mask,macro_f1,0.5496689650387517,4364
QMF-PD-current,101,clean_matched_mask,macro_auroc,0.8480132681650091,4364
QMF-PD-current,101,clean_matched_mask,macro_auprc,0.6268154555038261,4364
QMF-PD-current,101,clean_matched_mask,nll,1.6727973184862506,4364
QMF-PD-current,101,clean_matched_mask,brier,0.6302627065992906,4364
QMF-PD-current,101,clean_matched_mask,ece15,0.19606847287344342,4364
QMF-PD-current,101,fault_all,accuracy,0.5238313473877176,4364
QMF-PD-current,101,fault_all,macro_f1,0.5025797360527978,4364
QMF-PD-current,101,fault_all,macro_auroc,0.8063641010826369,4364
QMF-PD-current,101,fault_all,macro_auprc,0.5204816816161333,4364
QMF-PD-current,101,fault_all,nll,2.3042089464411797,4364
QMF-PD-current,101,fault_all,brier,0.7291799226852447,4364
QMF-PD-current,101,fault_all,ece15,0.2628743689025792,4364
QMF-PD-current,101,fault_affected,accuracy,0.4424929178470255,1765
QMF-PD-current,101,fault_affected,macro_f1,0.4263894769762529,1765
QMF-PD-current,101,fault_affected,macro_auroc,0.7487572248722588,1765
QMF-PD-current,101,fault_affected,macro_auprc,0.4206689720611186,1765
QMF-PD-current,101,fault_affected,nll,3.2899558667106006,1765
QMF-PD-current,101,fault_affected,brier,0.8929925712961946,1765
QMF-PD-current,101,fault_affected,ece15,0.3673765750343333,1765
QMF-PD-current,101,fault_unaffected,accuracy,0.5790688726433244,2599
QMF-PD-current,101,fault_unaffected,macro_f1,0.5554177030599433,2599
QMF-PD-current,101,fault_unaffected,macro_auroc,0.8520695274143675,2599
QMF-PD-current,101,fault_unaffected,macro_auprc,0.6359974135390005,2599
QMF-PD-current,101,fault_unaffected,nll,1.6347809686514427,2599
QMF-PD-current,101,fault_unaffected,brier,0.6179335491576082,2599
QMF-PD-current,101,fault_unaffected,ece15,0.19190614211554707,2599
QMF-PD-scale003,101,clean_matched_mask,accuracy,0.5985334555453712,4364
QMF-PD-scale003,101,clean_matched_mask,macro_f1,0.5834003527827045,4364
QMF-PD-scale003,101,clean_matched_mask,macro_auroc,0.8489884351048183,4364
QMF-PD-scale003,101,clean_matched_mask,macro_auprc,0.6516926913307421,4364
QMF-PD-scale003,101,clean_matched_mask,nll,1.6408612072375344,4364
QMF-PD-scale003,101,clean_matched_mask,brier,0.6084127999585683,4364
QMF-PD-scale003,101,clean_matched_mask,ece15,0.1904083156837005,4364
QMF-PD-scale003,101,fault_all,accuracy,0.5602658111824015,4364
QMF-PD-scale003,101,fault_all,macro_f1,0.5482088043797758,4364
QMF-PD-scale003,101,fault_all,macro_auroc,0.822753572129422,4364
QMF-PD-scale003,101,fault_all,macro_auprc,0.588980652541177,4364
QMF-PD-scale003,101,fault_all,nll,1.937735132441756,4364
QMF-PD-scale003,101,fault_all,brier,0.6780823475561326,4364
QMF-PD-scale003,101,fault_all,ece15,0.23020808189752232,4364
QMF-PD-scale003,101,fault_affected,accuracy,0.4912181303116147,1765
QMF-PD-scale003,101,fault_affected,macro_f1,0.4854390078321875,1765
QMF-PD-scale003,101,fault_affected,macro_auroc,0.7798017288751659,1765
