seed,method,subset,metric,value,n
101,CAGF,assigned,accuracy,0.48441926345609065,1765
101,CAGF,assigned,macro_f1,0.45229004200037376,1765
101,CAGF,assigned,macro_auroc,0.80904398227299,1765
101,CAGF,assigned,macro_auprc,0.5244906118297095,1765
101,CAGF,assigned,nll,1.9496570241700382,1765
101,CAGF,assigned,brier,0.7260889501424443,1765
101,CAGF,assigned,ece15,0.24569507145604458,1765
101,PDRF,assigned,accuracy,0.48158640226628896,1765
101,PDRF,assigned,macro_f1,0.4685800229206705,1765
101,PDRF,assigned,macro_auroc,0.8010969830549426,1765
101,PDRF,assigned,macro_auprc,0.5127421587524036,1765
101,PDRF,assigned,nll,2.71400787964337,1765
101,PDRF,assigned,brier,0.8200947462679777,1765
101,PDRF,assigned,ece15,0.3456191015193048,1765
101,RO-CAGF,assigned,accuracy,0.5371104815864023,1765
101,RO-CAGF,assigned,macro_f1,0.5094449975035596,1765
101,RO-CAGF,assigned,macro_auroc,0.8388475956691687,1765
101,RO-CAGF,assigned,macro_auprc,0.5919225946056222,1765
101,RO-CAGF,assigned,nll,1.644431956084695,1765
101,RO-CAGF,assigned,brier,0.6467650619645993,1765
101,RO-CAGF,assigned,ece15,0.17841460808152138,1765
101,RO-PDRF,assigned,accuracy,0.48441926345609065,1765
101,RO-PDRF,assigned,macro_f1,0.4686924543667839,1765
101,RO-PDRF,assigned,macro_auroc,0.8081818944253868,1765
101,RO-PDRF,assigned,macro_auprc,0.5191156610727691,1765
101,RO-PDRF,assigned,nll,2.1651958283120543,1765
101,RO-PDRF,assigned,brier,0.775917424201396,1765
101,RO-PDRF,assigned,ece15,0.30557937618979747,1765
102,CAGF,assigned,accuracy,0.46572237960339946,1765
102,CAGF,assigned,macro_f1,0.44934865088128556,1765
102,CAGF,assigned,macro_auroc,0.7798230041446148,1765
102,CAGF,assigned,macro_auprc,0.49188588593782406,1765
102,CAGF,assigned,nll,2.225594986118723,1765
102,CAGF,assigned,brier,0.7949250522063228,1765
102,CAGF,assigned,ece15,0.29773269639253686,1765
102,PDRF,assigned,accuracy,0.4730878186968839,1765
102,PDRF,assigned,macro_f1,0.4701063658425862,1765
102,PDRF,assigned,macro_auroc,0.7913996017925671,1765
102,PDRF,assigned,macro_auprc,0.5168851110057221,1765
102,PDRF,assigned,nll,3.182822177466398,1765
102,PDRF,assigned,brier,0.8330197874389769,1765
102,PDRF,assigned,ece15,0.3550136483051297,1765
102,RO-CAGF,assigned,accuracy,0.46118980169971674,1765
102,RO-CAGF,assigned,macro_f1,0.4461317029405331,1765
102,RO-CAGF,assigned,macro_auroc,0.7753293511941529,1765
102,RO-CAGF,assigned,macro_auprc,0.5090766410268932,1765
102,RO-CAGF,assigned,nll,2.211162015714859,1765
102,RO-CAGF,assigned,brier,0.7845687635749417,1765
102,RO-CAGF,assigned,ece15,0.29750035844828204,1765
102,RO-PDRF,assigned,accuracy,0.49291784702549574,1765
102,RO-PDRF,assigned,macro_f1,0.48680054499021636,1765
102,RO-PDRF,assigned,macro_auroc,0.8052104276891029,1765
102,RO-PDRF,assigned,macro_auprc,0.5333117106885719,1765
102,RO-PDRF,assigned,nll,2.4842579994663794,1765
102,RO-PDRF,assigned,brier,0.7730742606861386,1765
102,RO-PDRF,assigned,ece15,0.3091215274950255,1765
103,CAGF,assigned,accuracy,0.41246458923512747,1765
103,CAGF,assigned,macro_f1,0.38864364885823677,1765
103,CAGF,assigned,macro_auroc,0.7552592971186017,1765
