seed,method,fault_type,subset,metric,value,n,inference_ms_per_observation
101,RO-CAGF,gaussian,fault_applied_available,accuracy,0.5494428969359332,1436,0.001666131991176848
101,RO-CAGF,gaussian,fault_applied_available,macro_f1,0.5256754615306766,1436,0.001666131991176848
101,RO-CAGF,gaussian,fault_applied_available,macro_auroc,0.8344506012912022,1436,0.001666131991176848
101,RO-CAGF,gaussian,fault_applied_available,macro_auprc,0.5873214358133767,1436,0.001666131991176848
101,RO-CAGF,gaussian,fault_applied_available,nll,1.7072879650375894,1436,0.001666131991176848
101,RO-CAGF,gaussian,fault_applied_available,brier,0.6510040890589839,1436,0.001666131991176848
101,RO-CAGF,gaussian,fault_applied_available,ece15,0.16592801876967994,1436,0.001666131991176848
101,RO-CAGF,gaussian,assigned,accuracy,0.545042492917847,1765,0.001666131991176848
101,RO-CAGF,gaussian,assigned,macro_f1,0.517576032466374,1765,0.001666131991176848
101,RO-CAGF,gaussian,assigned,macro_auroc,0.8367709467837088,1765,0.001666131991176848
101,RO-CAGF,gaussian,assigned,macro_auprc,0.585010200100919,1765,0.001666131991176848
101,RO-CAGF,gaussian,assigned,nll,1.676327824784973,1765,0.001666131991176848
101,RO-CAGF,gaussian,assigned,brier,0.6491661491652344,1765,0.001666131991176848
101,RO-CAGF,gaussian,assigned,ece15,0.16988150337262464,1765,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,accuracy,0.5886879569065026,2599,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,macro_f1,0.5573154585602011,2599,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,macro_auroc,0.8552172808029216,2599,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,macro_auprc,0.6289295206669775,2599,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,nll,1.4649781992641315,2599,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,brier,0.5926470503047551,2599,0.001666131991176848
101,RO-CAGF,gaussian,unaffected,ece15,0.15944928192275906,2599,0.001666131991176848
101,RO-CAGF,gaussian,all,accuracy,0.5710357470210816,4364,0.001666131991176848
101,RO-CAGF,gaussian,all,macro_f1,0.541821027382933,4364,0.001666131991176848
101,RO-CAGF,gaussian,all,macro_auroc,0.8470074496887005,4364,0.001666131991176848
101,RO-CAGF,gaussian,all,macro_auprc,0.6106325762980511,4364,0.001666131991176848
101,RO-CAGF,gaussian,all,nll,1.5504575963870202,4364,0.001666131991176848
101,RO-CAGF,gaussian,all,brier,0.6155059434048342,4364,0.001666131991176848
101,RO-CAGF,gaussian,all,ece15,0.16366851361217466,4364,0.001666131991176848
101,RO-CAGF,offset,fault_applied_available,accuracy,0.5410863509749304,1436,0.0011661778151644112
101,RO-CAGF,offset,fault_applied_available,macro_f1,0.5165878384705206,1436,0.0011661778151644112
101,RO-CAGF,offset,fault_applied_available,macro_auroc,0.8378746102523283,1436,0.0011661778151644112
101,RO-CAGF,offset,fault_applied_available,macro_auprc,0.6118634603736408,1436,0.0011661778151644112
101,RO-CAGF,offset,fault_applied_available,nll,1.6418832839688708,1436,0.0011661778151644112
101,RO-CAGF,offset,fault_applied_available,brier,0.638679328235666,1436,0.0011661778151644112
101,RO-CAGF,offset,fault_applied_available,ece15,0.18237256964352133,1436,0.0011661778151644112
101,RO-CAGF,offset,assigned,accuracy,0.5382436260623229,1765,0.0011661778151644112
101,RO-CAGF,offset,assigned,macro_f1,0.5098684879102625,1765,0.0011661778151644112
101,RO-CAGF,offset,assigned,macro_auroc,0.839785188647579,1765,0.0011661778151644112
101,RO-CAGF,offset,assigned,macro_auprc,0.6042152958372032,1765,0.0011661778151644112
101,RO-CAGF,offset,assigned,nll,1.62311472449337,1765,0.0011661778151644112
101,RO-CAGF,offset,assigned,brier,0.6391387516908521,1765,0.0011661778151644112
101,RO-CAGF,offset,assigned,ece15,0.1832607104319013,1765,0.0011661778151644112
101,RO-CAGF,offset,unaffected,accuracy,0.5886879569065026,2599,0.0011661778151644112
101,RO-CAGF,offset,unaffected,macro_f1,0.5573154585602011,2599,0.0011661778151644112
101,RO-CAGF,offset,unaffected,macro_auroc,0.8552172808029216,2599,0.0011661778151644112
101,RO-CAGF,offset,unaffected,macro_auprc,0.6289295206669775,2599,0.0011661778151644112
101,RO-CAGF,offset,unaffected,nll,1.4649781992641315,2599,0.0011661778151644112
101,RO-CAGF,offset,unaffected,brier,0.5926470503047551,2599,0.0011661778151644112
101,RO-CAGF,offset,unaffected,ece15,0.15944928192275906,2599,0.0011661778151644112
101,RO-CAGF,offset,all,accuracy,0.5682859761686526,4364,0.0011661778151644112
101,RO-CAGF,offset,all,macro_f1,0.5394094160360484,4364,0.0011661778151644112
101,RO-CAGF,offset,all,macro_auroc,0.8481294185843448,4364,0.0011661778151644112
101,RO-CAGF,offset,all,macro_auprc,0.6186702242466863,4364,0.0011661778151644112
101,RO-CAGF,offset,all,nll,1.528935799408404,4364,0.0011661778151644112
101,RO-CAGF,offset,all,brier,0.6114504079918451,4364,0.0011661778151644112
101,RO-CAGF,offset,all,ece15,0.16899223911800482,4364,0.0011661778151644112
101,RO-CAGF,drift,fault_applied_available,accuracy,0.5487465181058496,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,macro_f1,0.5197394778625163,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,macro_auroc,0.8387132599862487,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,macro_auprc,0.6136447599890267,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,nll,1.6254288996663182,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,brier,0.6398125954311642,1436,0.0012756416097255193
101,RO-CAGF,drift,fault_applied_available,ece15,0.17831613777158653,1436,0.0012756416097255193
101,RO-CAGF,drift,assigned,accuracy,0.5444759206798867,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,macro_f1,0.5130758732840847,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,macro_auroc,0.8404697207625818,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,macro_auprc,0.6064847541562296,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,nll,1.6097274747152022,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,brier,0.6400607753127986,1765,0.0012756416097255193
101,RO-CAGF,drift,assigned,ece15,0.1799604134248944,1765,0.0012756416097255193
101,RO-CAGF,drift,unaffected,accuracy,0.5886879569065026,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,macro_f1,0.5573154585602011,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,macro_auroc,0.8552172808029216,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,macro_auprc,0.6289295206669775,2599,0.0012756416097255193
101,RO-CAGF,drift,unaffected,nll,1.4649781992641315,2599,0.0012756416097255193
