seed,fault_type,method,subset,metric,value,n
101,gaussian,PDRF,fault_applied_available,accuracy,0.4763231197771588,1436
101,gaussian,PDRF,fault_applied_available,macro_f1,0.46350638061252186,1436
101,gaussian,PDRF,fault_applied_available,macro_auroc,0.7984990987025734,1436
101,gaussian,PDRF,fault_applied_available,macro_auprc,0.4957581894361034,1436
101,gaussian,PDRF,fault_applied_available,nll,2.71239551474535,1436
101,gaussian,PDRF,fault_applied_available,brier,0.8296374873761505,1436
101,gaussian,PDRF,fault_applied_available,ece15,0.3505170717005278,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,accuracy,0.4972144846796657,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,macro_f1,0.4793654166266597,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,macro_auroc,0.8061229523642254,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,macro_auprc,0.5054364958136788,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,nll,2.2900703217389426,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,brier,0.7833656507283713,1436
101,gaussian,RO-PDRF-Full,fault_applied_available,ece15,0.3075610562785422,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,accuracy,0.4881615598885794,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,macro_f1,0.4739835953499007,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,macro_auroc,0.805278650561279,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,macro_auprc,0.5013737181588512,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,nll,2.350884992908303,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,brier,0.7978658156289525,1436
101,gaussian,SR-PDRF-Balanced,fault_applied_available,ece15,0.3242656122426137,1436
101,gaussian,SR-PDRF-Safe,fault_applied_available,accuracy,0.48467966573816157,1436
101,gaussian,SR-PDRF-Safe,fault_applied_available,macro_f1,0.4710471415441131,1436
101,gaussian,SR-PDRF-Safe,fault_applied_available,macro_auroc,0.8047163127149332,1436
