seed,fault_type,variant,n,recovery_opportunities,recovery_preserved,recovery_preservation_rate,transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,recovery_usage
101,drift,Balanced,1436,21,1,0.047619047619047616,26,7,0.2692307692307692,0.6267409470752089
101,drift,Safe,1436,21,0,0.0,26,4,0.15384615384615385,0.431058495821727
101,gaussian,Balanced,1436,63,22,0.3492063492063492,33,5,0.15151515151515152,0.6942896935933147
101,gaussian,Safe,1436,63,17,0.2698412698412698,33,5,0.15151515151515152,0.557799442896936
101,offset,Balanced,1436,21,1,0.047619047619047616,30,5,0.16666666666666666,0.6364902506963789
101,offset,Safe,1436,21,1,0.047619047619047616,30,4,0.13333333333333333,0.42409470752089135
101,stuck_at,Balanced,1436,31,2,0.06451612903225806,21,1,0.047619047619047616,0.5898328690807799
101,stuck_at,Safe,1436,31,1,0.03225806451612903,21,0,0.0,0.40668523676880225
102,drift,Balanced,1436,7,6,0.8571428571428571,7,2,0.2857142857142857,0.8328690807799443
102,drift,Safe,1436,7,5,0.7142857142857143,7,1,0.14285714285714285,0.7374651810584958
102,gaussian,Balanced,1436,49,19,0.3877551020408163,15,5,0.3333333333333333,0.7694986072423399
102,gaussian,Safe,1436,49,16,0.32653061224489793,15,3,0.2,0.685933147632312
102,offset,Balanced,1436,11,3,0.2727272727272727,2,2,1.0,0.8440111420612814
102,offset,Safe,1436,11,2,0.18181818181818182,2,1,0.5,0.754874651810585
102,stuck_at,Balanced,1436,17,5,0.29411764705882354,4,2,0.5,0.7103064066852368
102,stuck_at,Safe,1436,17,4,0.23529411764705882,4,0,0.0,0.5954038997214485
103,drift,Balanced,1436,18,3,0.16666666666666666,4,1,0.25,0.947075208913649
103,drift,Safe,1436,18,0,0.0,4,0,0.0,0.866991643454039
103,gaussian,Balanced,1436,50,24,0.48,17,4,0.23529411764705882,0.8899721448467967
103,gaussian,Safe,1436,50,12,0.24,17,1,0.058823529411764705,0.7520891364902507
103,offset,Balanced,1436,26,17,0.6538461538461539,5,0,0.0,0.9596100278551533
103,offset,Safe,1436,26,5,0.19230769230769232,5,0,0.0,0.866991643454039
103,stuck_at,Balanced,1436,31,4,0.12903225806451613,4,2,0.5,0.9282729805013927
103,stuck_at,Safe,1436,31,2,0.06451612903225806,4,0,0.0,0.791782729805014
104,drift,Balanced,1436,19,0,0.0,18,4,0.2222222222222222,0.8516713091922006
104,drift,Safe,1436,19,0,0.0,18,4,0.2222222222222222,0.8516713091922006
104,gaussian,Balanced,1436,42,19,0.4523809523809524,20,9,0.45,0.8704735376044568
104,gaussian,Safe,1436,42,19,0.4523809523809524,20,9,0.45,0.8704735376044568
104,offset,Balanced,1436,35,7,0.2,29,3,0.10344827586206896,0.8426183844011143
104,offset,Safe,1436,35,7,0.2,29,3,0.10344827586206896,0.8426183844011143
104,stuck_at,Balanced,1436,43,7,0.16279069767441862,23,4,0.17391304347826086,0.8015320334261838
104,stuck_at,Safe,1436,43,7,0.16279069767441862,23,4,0.17391304347826086,0.8015320334261838
