seed,method,fault,subset,metric,value
101,EF,natural,all,accuracy,0.5483501374885427
101,EF,natural,all,macro_f1,0.5500840480823604
101,EF,natural,all,macro_auroc,0.8339791628960382
101,EF,natural,all,macro_auprc,0.5975326804725346
101,EF,natural,all,nll,1.596286319826158
101,EF,natural,all,class_1_precision,0.3857008466603951
101,EF,natural,all,class_1_recall,0.5933429811866859
101,EF,natural,all,class_1_f1,0.467502850627138
101,EF,natural,all,class_1_auroc,0.8013973758521822
101,EF,natural,all,class_1_auprc,0.5764107119430922
101,EF,natural,all,class_2_precision,0.9184466019417475
101,EF,natural,all,class_2_recall,0.6905109489051094
101,EF,natural,all,class_2_f1,0.7883333333333333
101,EF,natural,all,class_2_auroc,0.9190759151864103
101,EF,natural,all,class_2_auprc,0.8480796457878745
101,EF,natural,all,class_3_precision,0.8582554517133957
101,EF,natural,all,class_3_recall,0.7445945945945946
101,EF,natural,all,class_3_f1,0.7973950795947902
101,EF,natural,all,class_3_auroc,0.9290812749835928
101,EF,natural,all,class_3_auprc,0.8633504025080431
101,EF,natural,all,class_4_precision,0.3217391304347826
101,EF,natural,all,class_4_recall,0.15677966101694915
101,EF,natural,all,class_4_f1,0.21082621082621084
101,EF,natural,all,class_4_auroc,0.7148882264584802
101,EF,natural,all,class_4_auprc,0.2617280972686419
101,EF,natural,all,class_5_precision,0.6898222940226171
101,EF,natural,all,class_5_recall,0.5200974421437271
101,EF,natural,all,class_5_f1,0.5930555555555556
101,EF,natural,all,class_5_auroc,0.8410817095554425
101,EF,natural,all,class_5_auprc,0.6569629060015738
101,EF,natural,all,class_6_precision,0.35677966101694913
101,EF,natural,all,class_6_recall,0.5855354659248957
101,EF,natural,all,class_6_f1,0.44339125855713535
101,EF,natural,all,class_6_auroc,0.7983504753401216
101,EF,natural,all,class_6_auprc,0.3786643193259822
101,EF,silent,all,accuracy,0.49358386801099907
101,EF,silent,all,macro_f1,0.4915084833208039
101,EF,silent,all,macro_auroc,0.7875284469594405
101,EF,silent,all,macro_auprc,0.5063117558864243
101,EF,silent,all,nll,2.26515040331624
101,EF,silent,all,class_1_precision,0.36113837095191365
101,EF,silent,all,class_1_recall,0.532561505065123
101,EF,silent,all,class_1_f1,0.4304093567251462
101,EF,silent,all,class_1_auroc,0.7685153482427208
101,EF,silent,all,class_1_auprc,0.4737031039547546
101,EF,silent,all,class_2_precision,0.7572992700729927
101,EF,silent,all,class_2_recall,0.6058394160583942
101,EF,silent,all,class_2_f1,0.6731549067315491
101,EF,silent,all,class_2_auroc,0.8667596518412851
101,EF,silent,all,class_2_auprc,0.6519463626483797
101,EF,silent,all,class_3_precision,0.7554585152838428
101,EF,silent,all,class_3_recall,0.7013513513513514
101,EF,silent,all,class_3_f1,0.7274001401541695
101,EF,silent,all,class_3_auroc,0.8850005220452241
101,EF,silent,all,class_3_auprc,0.7640421419571818
101,EF,silent,all,class_4_precision,0.2571428571428571
101,EF,silent,all,class_4_recall,0.13983050847457626
101,EF,silent,all,class_4_f1,0.18115279048490393
101,EF,silent,all,class_4_auroc,0.6625615040363955
101,EF,silent,all,class_4_auprc,0.23173571392694262
101,EF,silent,all,class_5_precision,0.6169590643274854
