index,method,metric,mean,std
0,CAGF,accuracy,0.5159486709440879,0.0334411028178552
1,CAGF,macro_auprc,0.5424172938352311,0.03704342197084166
2,CAGF,macro_auroc,0.8171237820529267,0.021104190945711462
3,CAGF,macro_f1,0.4930083709592517,0.029619508689189496
4,CAGF,nll,1.8284365082844043,0.28558644765825475
5,DWR,accuracy,0.5149404216315306,0.0316053494311942
6,DWR,macro_auprc,0.5375474405218074,0.0305186332528395
7,DWR,macro_auroc,0.8147082252384816,0.021396885904352472
8,DWR,macro_f1,0.4936475803722444,0.027962547281810385
9,DWR,nll,1.8994143307075095,0.2891430200925582
10,EF,accuracy,0.5113428047662695,0.00894637950881029
11,EF,macro_auprc,0.49624563846127073,0.012440172977982509
12,EF,macro_auroc,0.7847119031780639,0.005053578355319443
13,EF,macro_f1,0.5020256761127524,0.012890308814105992
14,EF,nll,2.73648661566071,0.2621554545090418
15,EF_PD,accuracy,0.5244271310724107,0.012351883063554895
16,EF_PD,macro_auprc,0.5493970104257164,0.010912986823226918
17,EF_PD,macro_auroc,0.8051020868363585,0.004545050945515344
18,EF_PD,macro_f1,0.5179464339390092,0.009959914951967701
19,EF_PD,nll,2.4179807508776485,0.25959062109965525
20,LSCORE_NO_LRANK,accuracy,0.5465857011915674,0.01879011634982803
21,LSCORE_NO_LRANK,macro_auprc,0.5553397614134662,0.017758121730940594
22,LSCORE_NO_LRANK,macro_auroc,0.8218289012800002,0.0096668034776834
23,LSCORE_NO_LRANK,macro_f1,0.5298797894463511,0.016612589819992238
24,LSCORE_NO_LRANK,nll,2.441469475547,0.2852596670890959
25,NO_LSCORE,accuracy,0.5137259395050412,0.01195255930451621
26,NO_LSCORE,macro_auprc,0.5453672736321727,0.012564103528249293
27,NO_LSCORE,macro_auroc,0.8110202441536817,0.007674462352784001
28,NO_LSCORE,macro_f1,0.5069875414224442,0.011481621653348395
29,NO_LSCORE,nll,2.312006087076825,0.20669384603665775
30,PDRF,accuracy,0.5499541704857929,0.013748005541241372
31,PDRF,macro_auprc,0.5797540416084183,0.015232868313130123
32,PDRF,macro_auroc,0.8338315102710038,0.006340700976819085
33,PDRF,macro_f1,0.5347683054904953,0.011398424831748718
34,PDRF,nll,2.344823449889065,0.25125446287836123
35,PDRF_NOQ,accuracy,0.5478689275893676,0.011125895284340135
36,PDRF_NOQ,macro_auprc,0.582862039540284,0.013844768655785416
37,PDRF_NOQ,macro_auroc,0.8348754069874282,0.006827186856065676
38,PDRF_NOQ,macro_f1,0.5331675138082596,0.007764302149617197
39,PDRF_NOQ,nll,2.232621483287101,0.24473124736918386
40,PD_MONO,accuracy,0.5367552703941338,0.016384434127441665
41,PD_MONO,macro_auprc,0.5625199514571962,0.022193511335124236
42,PD_MONO,macro_auroc,0.820645039246339,0.014151231731066341
43,PD_MONO,macro_f1,0.5235240750763139,0.015961327786477204
44,PD_MONO,nll,2.070769401050452,0.21902300442780162
45,PD_ONLY,accuracy,0.5305453712190651,0.0168090325671853
46,PD_ONLY,macro_auprc,0.5562820423928293,0.021973030513930233
47,PD_ONLY,macro_auroc,0.8170321545242236,0.01331372636868324
48,PD_ONLY,macro_f1,0.5181021048367348,0.016826023395655455
49,PD_ONLY,nll,2.138254927537795,0.2028513348963065
50,PD_RANK,accuracy,0.5144362969752521,0.010473601058939568
51,PD_RANK,macro_auprc,0.547246086683109,0.010946980066990101
52,PD_RANK,macro_auroc,0.8121691434155771,0.007528996073476503
53,PD_RANK,macro_f1,0.5070142383736366,0.009667665962949011
54,PD_RANK,nll,2.308570864019963,0.2083247857177513
55,Q_ONLY,accuracy,0.5218835930339139,0.01630556680889308
56,Q_ONLY,macro_auprc,0.5423598483854496,0.011089829075370478
57,Q_ONLY,macro_auroc,0.809698522839291,0.005522087626157814
58,Q_ONLY,macro_f1,0.5132533967839958,0.0191585586329703
59,Q_ONLY,nll,2.3808449143055044,0.25006835997061283
60,UF,accuracy,0.5067827681026581,0.01382426614509559
61,UF,macro_auprc,0.5216426976898197,0.016617451457929745
62,UF,macro_auroc,0.7971315243824855,0.006882278050848131
63,UF,macro_f1,0.4954242841494252,0.013053958707099089
64,UF,nll,2.4819836535971875,0.27185136723724795
65,UF_PD,accuracy,0.5272914757103575,0.017962223794146137
66,UF_PD,macro_auprc,0.5490462682100867,0.01419480270010941
67,UF_PD,macro_auroc,0.8140343398517211,0.0069162814171750435
68,UF_PD,macro_f1,0.5183928265866398,0.0201158122021569
69,UF_PD,nll,2.2510798838550636,0.26749554536631504
