contrast,metric,design,reps,aligned_difference,ci_low,ci_high
PDRF-CAGF,macro_auroc,sample,5000,-0.005954206222412162,-0.010032029872684664,-0.0017917218737507744
PDRF-CAGF,macro_auroc,batch_stratified,5000,-0.005954206222412162,-0.010050605601575691,-0.0019286024139914706
PDRF-CAGF,accuracy,sample,5000,-0.004582951420714965,-0.01489459211732358,0.00595783684692941
PDRF-CAGF,accuracy,batch_stratified,5000,-0.004582951420714965,-0.015129468377635229,0.006186984417965169
PDRF-CAGF,macro_f1,sample,5000,0.0035548199101747002,-0.006871789263150989,0.014396476067185898
PDRF-CAGF,macro_f1,batch_stratified,5000,0.0035548199101747002,-0.007141416421034421,0.014161339305576816
PDRF-CAGF,macro_auprc,sample,5000,-0.01072126016776509,-0.018491209564866464,-0.0023271045418523373
PDRF-CAGF,macro_auprc,batch_stratified,5000,-0.01072126016776509,-0.018643147665157057,-0.0022793481913925755
PDRF-CAGF,nll,sample,5000,-0.5362787909164268,-0.5923062985610278,-0.4808970110929612
PDRF-CAGF,nll,batch_stratified,5000,-0.5362787909164268,-0.5938636977691241,-0.4791785489460233
