seed,method,prevalence,scale,modality,subset,macro_auroc
101,CAGF,0.1,1.0,1,all,0.7724316269888557
101,CAGF,0.1,1.0,1,affected,0.7677186323422202
101,CAGF,0.1,1.0,1,unaffected,0.7731114876573387
101,CAGF,0.1,1.0,2,all,0.7727180540526998
101,CAGF,0.1,1.0,2,affected,0.7402477376341702
101,CAGF,0.1,1.0,2,unaffected,0.7765207866794914
101,CAGF,0.1,1.0,3,all,0.7747929139717966
101,CAGF,0.1,1.0,3,affected,0.7402630595243961
101,CAGF,0.1,1.0,3,unaffected,0.7788226446761747
101,CAGF,0.1,1.0,4,all,0.7692767901299665
101,CAGF,0.1,1.0,4,affected,0.7212758536632006
101,CAGF,0.1,1.0,4,unaffected,0.7753173143449527
101,CAGF,0.1,3.0,1,all,0.7673885272730563
101,CAGF,0.1,3.0,1,affected,0.7247161390519263
101,CAGF,0.1,3.0,1,unaffected,0.7731114876573387
101,CAGF,0.1,3.0,2,all,0.7682025840557981
101,CAGF,0.1,3.0,2,affected,0.70732717698658
101,CAGF,0.1,3.0,2,unaffected,0.7765207866794914
101,CAGF,0.1,3.0,3,all,0.7684550317757374
101,CAGF,0.1,3.0,3,affected,0.6936321932533622
101,CAGF,0.1,3.0,3,unaffected,0.7788226446761747
101,CAGF,0.1,3.0,4,all,0.7619127136875911
101,CAGF,0.1,3.0,4,affected,0.6602677397183302
101,CAGF,0.1,3.0,4,unaffected,0.7753173143449527
101,CAGF,0.1,5.0,1,all,0.7646766613890849
101,CAGF,0.1,5.0,1,affected,0.7021193165181564
101,CAGF,0.1,5.0,1,unaffected,0.7731114876573387
101,CAGF,0.1,5.0,2,all,0.7664923941259336
101,CAGF,0.1,5.0,2,affected,0.6950748695993195
101,CAGF,0.1,5.0,2,unaffected,0.7765207866794914
101,CAGF,0.1,5.0,3,all,0.7621968777520651
101,CAGF,0.1,5.0,3,affected,0.6491622370467811
101,CAGF,0.1,5.0,3,unaffected,0.7788226446761747
101,CAGF,0.1,5.0,4,all,0.7590297608640256
101,CAGF,0.1,5.0,4,affected,0.6362529386289758
101,CAGF,0.1,5.0,4,unaffected,0.7753173143449527
101,CAGF,0.4,1.0,1,all,0.7643986876352179
101,CAGF,0.4,1.0,1,affected,0.754587759090488
101,CAGF,0.4,1.0,1,unaffected,0.7714234173134974
101,CAGF,0.4,1.0,2,all,0.7692415045165705
101,CAGF,0.4,1.0,2,affected,0.7537762303009247
101,CAGF,0.4,1.0,2,unaffected,0.7797981969454626
101,CAGF,0.4,1.0,3,all,0.769853010942624
101,CAGF,0.4,1.0,3,affected,0.7504951335770836
101,CAGF,0.4,1.0,3,unaffected,0.7835005995575056
101,CAGF,0.4,1.0,4,all,0.759219650063062
101,CAGF,0.4,1.0,4,affected,0.7258365095544749
101,CAGF,0.4,1.0,4,unaffected,0.7823989495149739
