grouping,groups,n_groups,seed,method,macro_auroc,accuracy
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,101,CAGF,0.8286085438445197,0.522685609532539
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,101,PDRF,0.8282076746915847,0.5442254812098992
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,102,CAGF,0.7959317771856881,0.481897341888176
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,102,PDRF,0.8304691197124622,0.535288725939505
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,103,CAGF,0.8151264017377972,0.5245187901008249
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,103,PDRF,0.8147335878231491,0.5270394133822182
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,104,CAGF,0.7574282027209862,0.4399633363886343
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,104,PDRF,0.8244664005214313,0.5384967919340055
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,105,CAGF,0.8188478578953396,0.5036663611365719
consecutive,"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]",4,105,PDRF,0.8325683904713475,0.5602658111824015
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,101,CAGF,0.8305207264123874,0.5485792850595783
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,101,PDRF,0.8542061122863406,0.5449129239230064
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,102,CAGF,0.8123475523401514,0.5174152153987168
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,102,PDRF,0.8048031706852768,0.4851054078826764
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,103,CAGF,0.8355111133692034,0.5364344637946837
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,103,PDRF,0.823018810558427,0.5093950504124656
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,104,CAGF,0.8006513039813177,0.48075160403299727
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,104,PDRF,0.832486992484914,0.5252062328139322
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,105,CAGF,0.8393116522352418,0.5277268560953254
interleaved,"[[0, 4, 8, 12], [1, 5, 9, 13], [2, 6, 10, 14], [3, 7, 11, 15]]",4,105,PDRF,0.8320823420683361,0.5265811182401466
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,101,CAGF,0.7933856124649052,0.5
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,101,PDRF,0.8130484551358558,0.5057286892758937
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,102,CAGF,0.7566667717530379,0.46906507791017416
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,102,PDRF,0.8026463992896778,0.4940421631530706
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,103,CAGF,0.7975580289789027,0.4887717690192484
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,103,PDRF,0.8164958477261687,0.5011457378551787
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,104,CAGF,0.7872660476084805,0.47341888175985336
independent_16,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9], [10], [11], [12], [13], [14], [15]]",16,104,PDRF,0.8207488119318552,0.501833180568286
