seed,training,test_q,metric,value
101,PDRF,silent,accuracy,0.5132905591200734
101,PDRF,silent,macro_f1,0.5102082485279807
101,PDRF,silent,macro_auroc,0.8052650138794045
101,PDRF,silent,macro_auprc,0.5233382453498949
101,PDRF,silent,nll,1.964992288584532
101,PDRF,silent,class_1_precision,0.6337760910815939
101,PDRF,silent,class_1_recall,0.4833574529667149
101,PDRF,silent,class_1_f1,0.548440065681445
101,PDRF,silent,class_1_auroc,0.8210207628475956
101,PDRF,silent,class_1_auprc,0.500603885784989
101,PDRF,silent,class_2_precision,0.7438162544169611
101,PDRF,silent,class_2_recall,0.6145985401459854
101,PDRF,silent,class_2_f1,0.6730615507593924
101,PDRF,silent,class_2_auroc,0.8574938048462074
101,PDRF,silent,class_2_auprc,0.6725543102554229
101,PDRF,silent,class_3_precision,0.6968876860622463
101,PDRF,silent,class_3_recall,0.6959459459459459
101,PDRF,silent,class_3_f1,0.6964164976335362
101,PDRF,silent,class_3_auroc,0.8779495555157807
101,PDRF,silent,class_3_auprc,0.7817823364088522
101,PDRF,silent,class_4_precision,0.2796833773087071
101,PDRF,silent,class_4_recall,0.1497175141242938
101,PDRF,silent,class_4_f1,0.19503219871205152
101,PDRF,silent,class_4_auroc,0.7078693487371583
101,PDRF,silent,class_4_auprc,0.25167507566065506
101,PDRF,silent,class_5_precision,0.5303398058252428
101,PDRF,silent,class_5_recall,0.5322777101096224
101,PDRF,silent,class_5_f1,0.5313069908814589
101,PDRF,silent,class_5_auroc,0.7916888837092095
101,PDRF,silent,class_5_auprc,0.5749480600815118
101,PDRF,silent,class_6_precision,0.32129420617005267
101,PDRF,silent,class_6_recall,0.5938803894297635
101,PDRF,silent,class_6_f1,0.4169921875
101,PDRF,silent,class_6_auroc,0.7755677276204758
101,PDRF,silent,class_6_auprc,0.3584658039079388
101,PDRF,reported,accuracy,0.5412465627864345
101,PDRF,reported,macro_f1,0.5383881426216061
101,PDRF,reported,macro_auroc,0.8332836622003629
101,PDRF,reported,macro_auprc,0.5610302820882598
101,PDRF,reported,nll,1.6362158635383592
101,PDRF,reported,class_1_precision,0.6759443339960238
101,PDRF,reported,class_1_recall,0.492040520984081
101,PDRF,reported,class_1_f1,0.5695142378559463
101,PDRF,reported,class_1_auroc,0.8685132600196294
101,PDRF,reported,class_1_auprc,0.5501104886662866
101,PDRF,reported,class_2_precision,0.798941798941799
101,PDRF,reported,class_2_recall,0.6613138686131387
101,PDRF,reported,class_2_f1,0.7236421725239617
101,PDRF,reported,class_2_auroc,0.8943829944268418
101,PDRF,reported,class_2_auprc,0.7426396196543998
101,PDRF,reported,class_3_precision,0.7667597765363129
101,PDRF,reported,class_3_recall,0.7418918918918919
101,PDRF,reported,class_3_f1,0.7541208791208791
101,PDRF,reported,class_3_auroc,0.9002144114312988
101,PDRF,reported,class_3_auprc,0.8323946365809537
101,PDRF,reported,class_4_precision,0.3089171974522293
101,PDRF,reported,class_4_recall,0.1370056497175141
101,PDRF,reported,class_4_f1,0.1898238747553816
101,PDRF,reported,class_4_auroc,0.7256325025652437
101,PDRF,reported,class_4_auprc,0.2629815906133372
101,PDRF,reported,class_5_precision,0.6031746031746031
101,PDRF,reported,class_5_recall,0.5091352009744214
101,PDRF,reported,class_5_f1,0.5521796565389696
101,PDRF,reported,class_5_auroc,0.808721663172102
101,PDRF,reported,class_5_auprc,0.6025137911437677
101,PDRF,reported,class_6_precision,0.3214513049013367
101,PDRF,reported,class_6_recall,0.7023643949930459
