method,class,affected_recall,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6
PDRF_RCIA_R30,1,0.6021505376344086,168,8,6,31,32,34
PDRF_RCIA_R30,2,0.5431654676258992,46,151,19,9,29,24
PDRF_RCIA_R30,3,0.6296296296296297,32,26,187,2,13,37
PDRF_RCIA_R30,4,0.10855263157894737,98,14,18,33,25,116
PDRF_RCIA_R30,5,0.6476190476190476,16,0,26,3,204,66
PDRF_RCIA_R30,6,0.4794520547945205,85,24,11,22,10,140
CAGF,1,0.5340501792114696,149,3,0,26,46,55
CAGF,2,0.6906474820143885,10,192,9,2,29,36
CAGF,3,0.569023569023569,24,51,169,0,13,40
CAGF,4,0.05921052631578947,46,11,3,18,47,179
CAGF,5,0.6317460317460317,37,4,3,1,199,71
CAGF,6,0.7191780821917808,48,12,7,2,13,210
