method,bin_low,n,mean_confidence,error_rate
PDRF_RCIA_R30,0.2,14,0.27830311017377035,0.5
PDRF_RCIA_R30,0.30000000000000004,127,0.3621775231023473,0.8346456692913385
PDRF_RCIA_R30,0.4,361,0.4551742440940931,0.7617728531855956
PDRF_RCIA_R30,0.5,469,0.5490091065608108,0.6780383795309168
PDRF_RCIA_R30,0.6000000000000001,487,0.6526718532525049,0.7043121149897331
PDRF_RCIA_R30,0.7000000000000001,470,0.751588597576669,0.5553191489361702
PDRF_RCIA_R30,0.8,592,0.8504904630417759,0.4679054054054054
PDRF_RCIA_R30,0.9,1844,0.9748627764219318,0.16540130151843813
CAGF,0.2,66,0.27677362073551526,0.803030303030303
CAGF,0.30000000000000004,459,0.3580553730978166,0.7145969498910676
CAGF,0.4,775,0.45325909560726535,0.6748387096774193
CAGF,0.5,724,0.546181953414369,0.5856353591160222
CAGF,0.6000000000000001,622,0.6461644166918813,0.49196141479099675
CAGF,0.7000000000000001,475,0.7511190263848556,0.29894736842105263
CAGF,0.8,567,0.8537968973213613,0.14462081128747795
CAGF,0.9,676,0.9559864949368866,0.050295857988165715
