seed,subset,rci_only_correct,cagf_only_correct,both_correct,n
101,affected,240,239,616,1765
101,unaffected,212,190,1296,2599
102,affected,204,161,661,1765
102,unaffected,249,116,1287,2599
103,affected,310,195,533,1765
103,unaffected,269,142,1252,2599
104,affected,244,160,608,1765
104,unaffected,374,70,1156,2599
105,affected,220,207,626,1765
105,unaffected,328,150,1237,2599
106,affected,148,244,715,1765
106,unaffected,193,185,1342,2599
107,affected,254,146,627,1765
107,unaffected,299,77,1319,2599
108,affected,140,137,770,1765
108,unaffected,174,98,1425,2599
109,affected,256,181,652,1765
109,unaffected,359,116,1266,2599
110,affected,167,191,703,1765
110,unaffected,268,84,1336,2599
