method,pool,subset,metric,value
CAGF,log_probability_mean,affected,accuracy,0.534844192634561
CAGF,log_probability_mean,affected,brier,0.6590069299883767
CAGF,log_probability_mean,affected,ece15,0.2072365612044888
CAGF,log_probability_mean,affected,macro_auprc,0.5861782628917852
CAGF,log_probability_mean,affected,macro_auroc,0.8345364849235334
CAGF,log_probability_mean,affected,macro_f1,0.5166723388597431
CAGF,log_probability_mean,affected,nll,1.5960727047632826
CAGF,log_probability_mean,all,accuracy,0.5669110907424382
CAGF,log_probability_mean,all,brier,0.6073643542586689
CAGF,log_probability_mean,all,ece15,0.1780314562751764
CAGF,log_probability_mean,all,macro_auprc,0.6149795662675525
CAGF,log_probability_mean,all,macro_auroc,0.851709488304918
CAGF,log_probability_mean,all,macro_f1,0.5434762375905458
CAGF,log_probability_mean,all,nll,1.4434213537464775
CAGF,log_probability_mean,unaffected,accuracy,0.5886879569065026
CAGF,log_probability_mean,unaffected,brier,0.5722935015603484
CAGF,log_probability_mean,unaffected,ece15,0.1585896890087281
CAGF,log_probability_mean,unaffected,macro_auprc,0.6389925301316182
CAGF,log_probability_mean,unaffected,macro_auroc,0.8643089385612258
CAGF,log_probability_mean,unaffected,macro_f1,0.5619373971498315
CAGF,log_probability_mean,unaffected,nll,1.3397546994391825
CAGF,majority_vote,affected,accuracy,0.5331444759206799
CAGF,majority_vote,affected,brier,0.670719546740711
CAGF,majority_vote,affected,ece15,0.1822096317253917
CAGF,majority_vote,affected,macro_auprc,0.5654254022853956
CAGF,majority_vote,affected,macro_auroc,0.7785782477431034
CAGF,majority_vote,affected,macro_f1,0.5120851031101171
CAGF,majority_vote,affected,nll,6.943167323413958
CAGF,majority_vote,all,accuracy,0.5664527956003667
CAGF,majority_vote,all,brier,0.6421035747004705
CAGF,majority_vote,all,ece15,0.1904445462848201
CAGF,majority_vote,all,macro_auprc,0.5859893784560731
CAGF,majority_vote,all,macro_auroc,0.7825675425618525
CAGF,majority_vote,all,macro_f1,0.5404794723577943
CAGF,majority_vote,all,nll,6.827397407260485
CAGF,majority_vote,unaffected,accuracy,0.5890727202770296
CAGF,majority_vote,unaffected,brier,0.6226702577897263
CAGF,majority_vote,unaffected,ece15,0.1960369372803534
CAGF,majority_vote,unaffected,macro_auprc,0.6023265072683942
CAGF,majority_vote,unaffected,macro_auroc,0.7855291655313633
CAGF,majority_vote,unaffected,macro_f1,0.5593847590332671
CAGF,majority_vote,unaffected,nll,6.74877720640982
CAGF,probability_mean,affected,accuracy,0.5308781869688385
CAGF,probability_mean,affected,brier,0.6129897537379455
CAGF,probability_mean,affected,ece15,0.09492288866732
CAGF,probability_mean,affected,macro_auprc,0.6055338375727003
CAGF,probability_mean,affected,macro_auroc,0.8375350757152719
CAGF,probability_mean,affected,macro_f1,0.5118183022501145
CAGF,probability_mean,affected,nll,1.359335254664868
CAGF,probability_mean,all,accuracy,0.5664527956003667
CAGF,probability_mean,all,brier,0.5725055948544508
CAGF,probability_mean,all,ece15,0.0793701997154847
CAGF,probability_mean,all,macro_auprc,0.6333484497665484
CAGF,probability_mean,all,macro_auroc,0.8537388015241892
CAGF,probability_mean,all,macro_f1,0.5407050709213815
CAGF,probability_mean,all,nll,1.2605508138542163
CAGF,probability_mean,unaffected,accuracy,0.5906117737591381
CAGF,probability_mean,unaffected,brier,0.5450125050393804
CAGF,probability_mean,unaffected,ece15,0.0728311711616266
CAGF,probability_mean,unaffected,macro_auprc,0.6525215007000861
CAGF,probability_mean,unaffected,macro_auroc,0.8649225201902423
CAGF,probability_mean,unaffected,macro_f1,0.5601500862790042
CAGF,probability_mean,unaffected,nll,1.1934655741347862
CAGF,validation_selected,affected,accuracy,0.543342776203966
CAGF,validation_selected,affected,brier,0.6437158333274776
CAGF,validation_selected,affected,ece15,0.1827160410266422
CAGF,validation_selected,affected,macro_auprc,0.5681631142815394
CAGF,validation_selected,affected,macro_auroc,0.8360167532053234
CAGF,validation_selected,affected,macro_f1,0.5147936875085862
CAGF,validation_selected,affected,nll,1.6098698210313258
CAGF,validation_selected,all,accuracy,0.5696608615948671
CAGF,validation_selected,all,brier,0.6061220060887816
CAGF,validation_selected,all,ece15,0.1620274837906485
CAGF,validation_selected,all,macro_auprc,0.593773275490649
CAGF,validation_selected,all,macro_auroc,0.849101935738064
CAGF,validation_selected,all,macro_f1,0.5373030136187682
CAGF,validation_selected,all,nll,1.4819214989118934
CAGF,validation_selected,unaffected,accuracy,0.5875336667949211
CAGF,validation_selected,unaffected,brier,0.5805917617346847
CAGF,validation_selected,unaffected,ece15,0.1479777461315586
CAGF,validation_selected,unaffected,macro_auprc,0.6134697082552599
CAGF,validation_selected,unaffected,macro_auroc,0.8590374936469317
CAGF,validation_selected,unaffected,macro_f1,0.5536261521427595
CAGF,validation_selected,unaffected,nll,1.3950308530708782
PDRF,log_probability_mean,affected,accuracy,0.4804532577903683
PDRF,log_probability_mean,affected,brier,0.8349879197835015
PDRF,log_probability_mean,affected,ece15,0.3673763126557001
PDRF,log_probability_mean,affected,macro_auprc,0.5284724079795039
PDRF,log_probability_mean,affected,macro_auroc,0.8009499563984958
PDRF,log_probability_mean,affected,macro_f1,0.4765561835412165
PDRF,log_probability_mean,affected,nll,2.8798555794726424
PDRF,log_probability_mean,all,accuracy,0.5577451879010082
PDRF,log_probability_mean,all,brier,0.6898674916405386
PDRF,log_probability_mean,all,ece15,0.2855704304455727
PDRF,log_probability_mean,all,macro_auprc,0.6012437424708702
PDRF,log_probability_mean,all,macro_auroc,0.8427179333513023
PDRF,log_probability_mean,all,macro_f1,0.5413912327892558
PDRF,log_probability_mean,all,nll,2.201216101926964
PDRF,log_probability_mean,unaffected,accuracy,0.6102347056560216
PDRF,log_probability_mean,unaffected,brier,0.5913151424014738
PDRF,log_probability_mean,unaffected,ece15,0.2300154940354544
PDRF,log_probability_mean,unaffected,macro_auprc,0.6627750989692509
PDRF,log_probability_mean,unaffected,macro_auroc,0.8740429976331616
PDRF,log_probability_mean,unaffected,macro_f1,0.580779412306907
PDRF,log_probability_mean,unaffected,nll,1.740347045417489
PDRF,majority_vote,affected,accuracy,0.4855524079320113
PDRF,majority_vote,affected,brier,0.8182889518381635
PDRF,majority_vote,affected,ece15,0.3417563739340652
PDRF,majority_vote,affected,macro_auprc,0.4754643506212466
PDRF,majority_vote,affected,macro_auroc,0.7418546381534575
PDRF,majority_vote,affected,macro_f1,0.479505722129609
PDRF,majority_vote,affected,nll,9.492717310333298
PDRF,majority_vote,all,accuracy,0.5593492208982584
PDRF,majority_vote,all,brier,0.7118515123710865
PDRF,majority_vote,all,ece15,0.299289642525927
PDRF,majority_vote,all,macro_auprc,0.5405315712643777
PDRF,majority_vote,all,macro_auroc,0.7664235326355645
PDRF,majority_vote,all,macro_f1,0.541660337349475
PDRF,majority_vote,all,nll,8.615394696426893
PDRF,majority_vote,unaffected,accuracy,0.6094651789149673
PDRF,majority_vote,unaffected,brier,0.6395690650223403
PDRF,majority_vote,unaffected,ece15,0.2712966525546411
PDRF,majority_vote,unaffected,macro_auprc,0.5807656967813672
PDRF,majority_vote,unaffected,macro_auroc,0.780585181684152
PDRF,majority_vote,unaffected,macro_f1,0.5795130082073723
PDRF,majority_vote,unaffected,nll,8.01959846189638
PDRF,probability_mean,affected,accuracy,0.4861189801699717
PDRF,probability_mean,affected,brier,0.7448346891443739
PDRF,probability_mean,affected,ece15,0.2776941363264413
PDRF,probability_mean,affected,macro_auprc,0.5535587203777138
PDRF,probability_mean,affected,macro_auroc,0.8091040443377507
PDRF,probability_mean,affected,macro_f1,0.4804187162062144
PDRF,probability_mean,affected,nll,2.191633040811196
PDRF,probability_mean,all,accuracy,0.5618698441796517
PDRF,probability_mean,all,brier,0.6325457317686527
PDRF,probability_mean,all,ece15,0.219956265682206
PDRF,probability_mean,all,macro_auprc,0.6226270663721271
PDRF,probability_mean,all,macro_auroc,0.8477843153707322
PDRF,probability_mean,all,macro_f1,0.5442598908315562
PDRF,probability_mean,all,nll,1.7796796639665209
PDRF,probability_mean,unaffected,accuracy,0.6133128126202385
PDRF,probability_mean,unaffected,brier,0.5562894756054559
PDRF,probability_mean,unaffected,ece15,0.1809449514410687
PDRF,probability_mean,unaffected,macro_auprc,0.671068793684857
PDRF,probability_mean,unaffected,macro_auroc,0.874913779773991
PDRF,probability_mean,unaffected,macro_f1,0.5831246136995916
PDRF,probability_mean,unaffected,nll,1.4999190983140194
PDRF,validation_selected,affected,accuracy,0.5042492917847026
PDRF,validation_selected,affected,brier,0.812961185418894
PDRF,validation_selected,affected,ece15,0.3457793304501444
PDRF,validation_selected,affected,macro_auprc,0.5222365217545895
PDRF,validation_selected,affected,macro_auroc,0.8012141292202712
PDRF,validation_selected,affected,macro_f1,0.5028899716976313
PDRF,validation_selected,affected,nll,2.8289582250511374
PDRF,validation_selected,all,accuracy,0.574243813015582
PDRF,validation_selected,all,brier,0.6889164930163899
PDRF,validation_selected,all,ece15,0.2809327457076251
PDRF,validation_selected,all,macro_auprc,0.5850818556091174
PDRF,validation_selected,all,macro_auroc,0.8383006847236599
PDRF,validation_selected,all,macro_f1,0.5549080766663433
PDRF,validation_selected,all,nll,2.299457163485164
PDRF,validation_selected,unaffected,accuracy,0.6217776067718354
PDRF,validation_selected,unaffected,brier,0.6046768308038393
PDRF,validation_selected,unaffected,ece15,0.2368950704947578
PDRF,validation_selected,unaffected,macro_auprc,0.6411033819035818
PDRF,validation_selected,unaffected,macro_auroc,0.8655812574026651
PDRF,validation_selected,unaffected,macro_f1,0.5866527074782611
PDRF,validation_selected,unaffected,nll,1.9398691012827995
PDRF_RC,log_probability_mean,affected,accuracy,0.4844192634560906
PDRF_RC,log_probability_mean,affected,brier,0.8201199885435506
PDRF_RC,log_probability_mean,affected,ece15,0.360406353048157
PDRF_RC,log_probability_mean,affected,macro_auprc,0.5359509582195704
PDRF_RC,log_probability_mean,affected,macro_auroc,0.8070356327011284
PDRF_RC,log_probability_mean,affected,macro_f1,0.4775139541662865
PDRF_RC,log_probability_mean,affected,nll,2.703361897832796
PDRF_RC,log_probability_mean,all,accuracy,0.557974335472044
PDRF_RC,log_probability_mean,all,brier,0.6883191266599383
PDRF_RC,log_probability_mean,all,ece15,0.2844504034513732
PDRF_RC,log_probability_mean,all,macro_auprc,0.6021017392185023
PDRF_RC,log_probability_mean,all,macro_auroc,0.8445588466334123
PDRF_RC,log_probability_mean,all,macro_f1,0.539148828980451
PDRF_RC,log_probability_mean,all,nll,2.132719846840008
PDRF_RC,log_probability_mean,unaffected,accuracy,0.6079261254328588
PDRF_RC,log_probability_mean,unaffected,brier,0.5988121927528297
PDRF_RC,log_probability_mean,unaffected,ece15,0.2328681745245714
PDRF_RC,log_probability_mean,unaffected,macro_auprc,0.6575803804787708
PDRF_RC,log_probability_mean,unaffected,macro_auroc,0.8724322460699073
PDRF_RC,log_probability_mean,unaffected,macro_f1,0.5777671622364849
PDRF_RC,log_probability_mean,unaffected,nll,1.7451926363735708
PDRF_RC,majority_vote,affected,accuracy,0.491784702549575
PDRF_RC,majority_vote,affected,brier,0.8161473087786075
PDRF_RC,majority_vote,affected,ece15,0.3496317280416359
PDRF_RC,majority_vote,affected,macro_auprc,0.4810106234911506
PDRF_RC,majority_vote,affected,macro_auroc,0.744993399538675
PDRF_RC,majority_vote,affected,macro_f1,0.4842831924592068
PDRF_RC,majority_vote,affected,nll,9.480538645866092
PDRF_RC,majority_vote,all,accuracy,0.5618698441796517
PDRF_RC,majority_vote,all,brier,0.7189046746074522
PDRF_RC,majority_vote,all,ece15,0.3111594867054948
PDRF_RC,majority_vote,all,macro_auprc,0.5382105258072728
PDRF_RC,majority_vote,all,macro_auroc,0.7649631359836633
PDRF_RC,majority_vote,all,macro_f1,0.5420958278244679
PDRF_RC,majority_vote,all,nll,8.688496554194883
PDRF_RC,majority_vote,unaffected,accuracy,0.6094651789149673
PDRF_RC,majority_vote,unaffected,brier,0.6528664871076104
PDRF_RC,majority_vote,unaffected,ece15,0.2850327048823747
PDRF_RC,majority_vote,unaffected,macro_auprc,0.57365469070002
PDRF_RC,majority_vote,unaffected,macro_auroc,0.7767743772317521
PDRF_RC,majority_vote,unaffected,macro_f1,0.5779849367036242
PDRF_RC,majority_vote,unaffected,nll,8.150614949039175
PDRF_RC,probability_mean,affected,accuracy,0.4895184135977337
PDRF_RC,probability_mean,affected,brier,0.7412527038831366
PDRF_RC,probability_mean,affected,ece15,0.2837898226871707
PDRF_RC,probability_mean,affected,macro_auprc,0.5625203040244652
PDRF_RC,probability_mean,affected,macro_auroc,0.81445425756633
PDRF_RC,probability_mean,affected,macro_f1,0.4815774342416029
PDRF_RC,probability_mean,affected,nll,2.1190858500635885
PDRF_RC,probability_mean,all,accuracy,0.5609532538955087
PDRF_RC,probability_mean,all,brier,0.6379676953484499
PDRF_RC,probability_mean,all,ece15,0.2289940444402581
PDRF_RC,probability_mean,all,macro_auprc,0.625541800427391
PDRF_RC,probability_mean,all,macro_auroc,0.8491062507281851
PDRF_RC,probability_mean,all,macro_f1,0.5414791937241575
PDRF_RC,probability_mean,all,nll,1.7649719621503506
PDRF_RC,probability_mean,unaffected,accuracy,0.6094651789149673
PDRF_RC,probability_mean,unaffected,brier,0.5678260870130432
PDRF_RC,probability_mean,unaffected,ece15,0.1923278929316663
PDRF_RC,probability_mean,unaffected,macro_auprc,0.66992915642468
PDRF_RC,probability_mean,unaffected,macro_auroc,0.873581073399956
PDRF_RC,probability_mean,unaffected,macro_f1,0.5789132817621393
PDRF_RC,probability_mean,unaffected,nll,1.5244906184924572
PDRF_RC,validation_selected,affected,accuracy,0.5110481586402267
PDRF_RC,validation_selected,affected,brier,0.7925328703116203
PDRF_RC,validation_selected,affected,ece15,0.3342117597209157
PDRF_RC,validation_selected,affected,macro_auprc,0.5294570288113751
PDRF_RC,validation_selected,affected,macro_auroc,0.8089341401592623
PDRF_RC,validation_selected,affected,macro_f1,0.5055375028516159
PDRF_RC,validation_selected,affected,nll,2.6056519916649616
PDRF_RC,validation_selected,all,accuracy,0.5751604032997251
PDRF_RC,validation_selected,all,brier,0.6837462098923405
PDRF_RC,validation_selected,all,ece15,0.2745774402142281
PDRF_RC,validation_selected,all,macro_auprc,0.587210535562586
PDRF_RC,validation_selected,all,macro_auroc,0.8419094028324351
PDRF_RC,validation_selected,all,macro_f1,0.55382834924042
PDRF_RC,validation_selected,all,nll,2.1733780398404177
PDRF_RC,validation_selected,unaffected,accuracy,0.6186994998076183
PDRF_RC,validation_selected,unaffected,brier,0.6098683893305749
PDRF_RC,validation_selected,unaffected,ece15,0.2349743926442555
PDRF_RC,validation_selected,unaffected,macro_auprc,0.634703831179083
PDRF_RC,validation_selected,unaffected,macro_auroc,0.8655270415631561
PDRF_RC,validation_selected,unaffected,macro_f1,0.5841572700870354
PDRF_RC,validation_selected,unaffected,nll,1.8798176223835803
PDRF_RCI,log_probability_mean,affected,accuracy,0.4872521246458923
PDRF_RCI,log_probability_mean,affected,brier,0.8130384546884365
PDRF_RCI,log_probability_mean,affected,ece15,0.3549095406410714
PDRF_RCI,log_probability_mean,affected,macro_auprc,0.5387273888972205
PDRF_RCI,log_probability_mean,affected,macro_auroc,0.8074870443022437
PDRF_RCI,log_probability_mean,affected,macro_f1,0.4816291213907103
PDRF_RCI,log_probability_mean,affected,nll,2.6608958278590946
PDRF_RCI,log_probability_mean,all,accuracy,0.5584326306141155
PDRF_RCI,log_probability_mean,all,brier,0.6808859690529668
PDRF_RCI,log_probability_mean,all,ece15,0.2779389942776819
PDRF_RCI,log_probability_mean,all,macro_auprc,0.6060632382951033
PDRF_RCI,log_probability_mean,all,macro_auroc,0.8452936501110079
PDRF_RCI,log_probability_mean,all,macro_f1,0.540990859336873
PDRF_RCI,log_probability_mean,all,nll,2.0868408364562665
PDRF_RCI,log_probability_mean,unaffected,accuracy,0.6067718353212774
PDRF_RCI,log_probability_mean,unaffected,brier,0.5911402448718958
PDRF_RCI,log_probability_mean,unaffected,ece15,0.2266654040479531
PDRF_RCI,log_probability_mean,unaffected,macro_auprc,0.6616461294403811
PDRF_RCI,log_probability_mean,unaffected,macro_auroc,0.8733632980626925
PDRF_RCI,log_probability_mean,unaffected,macro_f1,0.5776874654296055
PDRF_RCI,log_probability_mean,unaffected,nll,1.696995873075739
PDRF_RCI,majority_vote,affected,accuracy,0.4929178470254957
PDRF_RCI,majority_vote,affected,brier,0.8120113314415277
PDRF_RCI,majority_vote,affected,ece15,0.3455524079283313
PDRF_RCI,majority_vote,affected,macro_auprc,0.482489255303358
PDRF_RCI,majority_vote,affected,macro_auroc,0.744795437200923
PDRF_RCI,majority_vote,affected,macro_f1,0.4860673130907424
PDRF_RCI,majority_vote,affected,nll,9.421044718079925
PDRF_RCI,majority_vote,all,accuracy,0.5600366636113657
PDRF_RCI,majority_vote,all,brier,0.7126535288696757
PDRF_RCI,majority_vote,all,ece15,0.3046516956881185
PDRF_RCI,majority_vote,all,macro_auprc,0.5421535887123996
PDRF_RCI,majority_vote,all,macro_auroc,0.763897378796948
PDRF_RCI,majority_vote,all,macro_f1,0.5422470144321455
PDRF_RCI,majority_vote,all,nll,8.58782900862215
PDRF_RCI,majority_vote,unaffected,accuracy,0.605617545209696
PDRF_RCI,majority_vote,unaffected,brier,0.6451789149645898
PDRF_RCI,majority_vote,unaffected,ece15,0.2774143901460006
PDRF_RCI,majority_vote,unaffected,macro_auprc,0.5802771220816172
PDRF_RCI,majority_vote,unaffected,macro_auroc,0.7749530148539615
PDRF_RCI,majority_vote,unaffected,macro_f1,0.5774315022622839
PDRF_RCI,majority_vote,unaffected,nll,8.021986097043477
PDRF_RCI,probability_mean,affected,accuracy,0.4906515580736544
PDRF_RCI,probability_mean,affected,brier,0.7340525745722338
PDRF_RCI,probability_mean,affected,ece15,0.2755508736577993
PDRF_RCI,probability_mean,affected,macro_auprc,0.5627129499044575
PDRF_RCI,probability_mean,affected,macro_auroc,0.8151965133556031
PDRF_RCI,probability_mean,affected,macro_f1,0.4834481694427898
PDRF_RCI,probability_mean,affected,nll,2.0668989149374166
PDRF_RCI,probability_mean,all,accuracy,0.5611824014665444
PDRF_RCI,probability_mean,all,brier,0.6299438287297076
PDRF_RCI,probability_mean,all,ece15,0.2195096824567433
PDRF_RCI,probability_mean,all,macro_auprc,0.625194749905683
PDRF_RCI,probability_mean,all,macro_auroc,0.8497633924646747
PDRF_RCI,probability_mean,all,macro_f1,0.5422882329558548
PDRF_RCI,probability_mean,all,nll,1.7143088850746564
PDRF_RCI,probability_mean,unaffected,accuracy,0.6090804155444401
PDRF_RCI,probability_mean,unaffected,brier,0.5592428143349177
PDRF_RCI,probability_mean,unaffected,ece15,0.1814516619128784
PDRF_RCI,probability_mean,unaffected,macro_auprc,0.6688721290505196
PDRF_RCI,probability_mean,unaffected,macro_auroc,0.8739266206972517
PDRF_RCI,probability_mean,unaffected,macro_f1,0.5788994294860987
PDRF_RCI,probability_mean,unaffected,nll,1.4748624046176455
PDRF_RCI,validation_selected,affected,accuracy,0.5121813031161473
PDRF_RCI,validation_selected,affected,brier,0.7943890926017346
PDRF_RCI,validation_selected,affected,ece15,0.335048051317758
PDRF_RCI,validation_selected,affected,macro_auprc,0.531639823941772
PDRF_RCI,validation_selected,affected,macro_auroc,0.8112451341697845
PDRF_RCI,validation_selected,affected,macro_f1,0.5072646856173263
PDRF_RCI,validation_selected,affected,nll,2.6287878268454925
PDRF_RCI,validation_selected,all,accuracy,0.5753895508707608
PDRF_RCI,validation_selected,all,brier,0.683061614808182
PDRF_RCI,validation_selected,all,ece15,0.2774246647974474
PDRF_RCI,validation_selected,all,macro_auprc,0.5922544278749035
PDRF_RCI,validation_selected,all,macro_auroc,0.8444334094914954
PDRF_RCI,validation_selected,all,macro_f1,0.5553586067146935
PDRF_RCI,validation_selected,all,nll,2.1748370432694184
PDRF_RCI,validation_selected,unaffected,accuracy,0.6183147364370912
PDRF_RCI,validation_selected,unaffected,brier,0.6074583064951304
PDRF_RCI,validation_selected,unaffected,ece15,0.2382921123330342
PDRF_RCI,validation_selected,unaffected,macro_auprc,0.6424215144699243
PDRF_RCI,validation_selected,unaffected,macro_auroc,0.8681769320916216
PDRF_RCI,validation_selected,unaffected,macro_f1,0.5860733738161382
PDRF_RCI,validation_selected,unaffected,nll,1.866555730067506
PDRF_RCIA_R30,log_probability_mean,affected,accuracy,0.4980169971671388
PDRF_RCIA_R30,log_probability_mean,affected,brier,0.795413182198472
PDRF_RCIA_R30,log_probability_mean,affected,ece15,0.3381664649454121
PDRF_RCIA_R30,log_probability_mean,affected,macro_auprc,0.5452631984135429
PDRF_RCIA_R30,log_probability_mean,affected,macro_auroc,0.8129706173182791
PDRF_RCIA_R30,log_probability_mean,affected,macro_f1,0.4882277120925014
PDRF_RCIA_R30,log_probability_mean,affected,nll,2.506165415071667
PDRF_RCIA_R30,log_probability_mean,all,accuracy,0.5650779101741522
PDRF_RCIA_R30,log_probability_mean,all,brier,0.6764909279754585
PDRF_RCIA_R30,log_probability_mean,all,ece15,0.2736239119899808
PDRF_RCIA_R30,log_probability_mean,all,macro_auprc,0.6077991241546002
PDRF_RCIA_R30,log_probability_mean,all,macro_auroc,0.847520204232624
PDRF_RCIA_R30,log_probability_mean,all,macro_f1,0.543818097520892
PDRF_RCIA_R30,log_probability_mean,all,nll,2.0250181892339283
PDRF_RCIA_R30,log_probability_mean,unaffected,accuracy,0.6106194690265486
PDRF_RCIA_R30,log_probability_mean,unaffected,brier,0.5957299511752971
PDRF_RCIA_R30,log_probability_mean,unaffected,ece15,0.2299873002816641
PDRF_RCIA_R30,log_probability_mean,unaffected,macro_auprc,0.6582378951838336
PDRF_RCIA_R30,log_probability_mean,unaffected,macro_auroc,0.8728705598464565
PDRF_RCIA_R30,log_probability_mean,unaffected,macro_f1,0.5789990506275643
PDRF_RCIA_R30,log_probability_mean,unaffected,nll,1.6982675722259988
PDRF_RCIA_R30,majority_vote,affected,accuracy,0.4985835694050991
PDRF_RCIA_R30,majority_vote,affected,brier,0.8024702549543019
PDRF_RCIA_R30,majority_vote,affected,ece15,0.3431728045288668
PDRF_RCIA_R30,majority_vote,affected,macro_auprc,0.4874752505412367
PDRF_RCIA_R30,majority_vote,affected,macro_auroc,0.7431152056535678
PDRF_RCIA_R30,majority_vote,affected,macro_f1,0.4881946480115748
PDRF_RCIA_R30,majority_vote,affected,nll,9.534837999473002
PDRF_RCIA_R30,majority_vote,all,accuracy,0.5666819431714024
PDRF_RCIA_R30,majority_vote,all,brier,0.7179789184204326
PDRF_RCIA_R30,majority_vote,all,ece15,0.3108615948631119
PDRF_RCIA_R30,majority_vote,all,macro_auprc,0.5416850836446719
PDRF_RCIA_R30,majority_vote,all,macro_auroc,0.7601630076984284
PDRF_RCIA_R30,majority_vote,all,macro_f1,0.5438483001665237
PDRF_RCIA_R30,majority_vote,all,nll,8.886666135593746
PDRF_RCIA_R30,majority_vote,unaffected,accuracy,0.6129280492497114
PDRF_RCIA_R30,majority_vote,unaffected,brier,0.6606002308551078
PDRF_RCIA_R30,majority_vote,unaffected,ece15,0.2889188149246519
PDRF_RCIA_R30,majority_vote,unaffected,macro_auprc,0.5751348038773038
PDRF_RCIA_R30,majority_vote,unaffected,macro_auroc,0.7698014844693565
PDRF_RCIA_R30,majority_vote,unaffected,macro_f1,0.5787356809323402
PDRF_RCIA_R30,majority_vote,unaffected,nll,8.446487859431036
PDRF_RCIA_R30,probability_mean,affected,accuracy,0.5002832861189802
PDRF_RCIA_R30,probability_mean,affected,brier,0.7239206357632075
PDRF_RCIA_R30,probability_mean,affected,ece15,0.267436782496509
PDRF_RCIA_R30,probability_mean,affected,macro_auprc,0.5698964712752893
PDRF_RCIA_R30,probability_mean,affected,macro_auroc,0.8183720693153881
PDRF_RCIA_R30,probability_mean,affected,macro_f1,0.4896622779319525
PDRF_RCIA_R30,probability_mean,affected,nll,2.0107039557657806
PDRF_RCIA_R30,probability_mean,all,accuracy,0.5664527956003667
PDRF_RCIA_R30,probability_mean,all,brier,0.6308563690017911
PDRF_RCIA_R30,probability_mean,all,ece15,0.2235935416028218
PDRF_RCIA_R30,probability_mean,all,macro_auprc,0.6304979633408926
PDRF_RCIA_R30,probability_mean,all,macro_auroc,0.8509203296254517
PDRF_RCIA_R30,probability_mean,all,macro_f1,0.5449937476137129
PDRF_RCIA_R30,probability_mean,all,nll,1.7086510058078392
PDRF_RCIA_R30,probability_mean,unaffected,accuracy,0.611388995767603
PDRF_RCIA_R30,probability_mean,unaffected,brier,0.567655741516643
PDRF_RCIA_R30,probability_mean,unaffected,ece15,0.1938192424245778
PDRF_RCIA_R30,probability_mean,unaffected,macro_auprc,0.6722616315025881
PDRF_RCIA_R30,probability_mean,unaffected,macro_auroc,0.8736302743403442
PDRF_RCIA_R30,probability_mean,unaffected,macro_f1,0.580149062074658
PDRF_RCIA_R30,probability_mean,unaffected,nll,1.5035246277101992
PDRF_RCIA_R30,validation_selected,affected,accuracy,0.5155807365439093
PDRF_RCIA_R30,validation_selected,affected,brier,0.7884795923826778
PDRF_RCIA_R30,validation_selected,affected,ece15,0.3363162595388234
PDRF_RCIA_R30,validation_selected,affected,macro_auprc,0.5375993935693278
PDRF_RCIA_R30,validation_selected,affected,macro_auroc,0.8130247080473362
PDRF_RCIA_R30,validation_selected,affected,macro_f1,0.509486583004497
PDRF_RCIA_R30,validation_selected,affected,nll,2.6165337902520838
PDRF_RCIA_R30,validation_selected,all,accuracy,0.5749312557286893
PDRF_RCIA_R30,validation_selected,all,brier,0.6841018345439464
PDRF_RCIA_R30,validation_selected,all,ece15,0.2801788893385724
PDRF_RCIA_R30,validation_selected,all,macro_auprc,0.5941083537382784
PDRF_RCIA_R30,validation_selected,all,macro_auroc,0.8444447050928127
PDRF_RCIA_R30,validation_selected,all,macro_f1,0.55413762343899
PDRF_RCIA_R30,validation_selected,all,nll,2.191568981571385
PDRF_RCIA_R30,validation_selected,unaffected,accuracy,0.6152366294728742
PDRF_RCIA_R30,validation_selected,unaffected,brier,0.6132181321255695
PDRF_RCIA_R30,validation_selected,unaffected,ece15,0.2426609957319078
PDRF_RCIA_R30,validation_selected,unaffected,macro_auprc,0.6390853240115202
PDRF_RCIA_R30,validation_selected,unaffected,macro_auroc,0.8668294336751573
PDRF_RCIA_R30,validation_selected,unaffected,macro_f1,0.5822948836724763
PDRF_RCIA_R30,validation_selected,unaffected,nll,1.9029722569382816
PDRF_REC,log_probability_mean,affected,accuracy,0.486685552407932
PDRF_REC,log_probability_mean,affected,brier,0.8149204213666221
PDRF_REC,log_probability_mean,affected,ece15,0.3554782976509829
PDRF_REC,log_probability_mean,affected,macro_auprc,0.5374740910117966
PDRF_REC,log_probability_mean,affected,macro_auroc,0.807016946754498
PDRF_REC,log_probability_mean,affected,macro_f1,0.4813395897069766
PDRF_REC,log_probability_mean,affected,nll,2.6828954544837518
PDRF_REC,log_probability_mean,all,accuracy,0.5591200733272227
PDRF_REC,log_probability_mean,all,brier,0.6816606774341846
PDRF_REC,log_probability_mean,all,ece15,0.2785056655719453
PDRF_REC,log_probability_mean,all,macro_auprc,0.6054570955267843
PDRF_REC,log_probability_mean,all,macro_auroc,0.8452456616279385
