method,pool,subset,metric,value
CAGF,probability_mean,all,accuracy,0.5510999083409716
CAGF,probability_mean,all,macro_f1,0.5291210857468163
CAGF,probability_mean,all,macro_auroc,0.8365376222388615
CAGF,probability_mean,all,macro_auprc,0.5962931159272338
CAGF,probability_mean,all,nll,1.4162522949943661
CAGF,probability_mean,all,brier,0.6012667134857872
CAGF,probability_mean,all,ece15,0.10717378997548692
CAGF,probability_mean,affected,accuracy,0.5087818696883852
CAGF,probability_mean,affected,macro_f1,0.489568712689135
CAGF,probability_mean,affected,macro_auroc,0.8124191060891133
CAGF,probability_mean,affected,macro_auprc,0.5489678645344374
CAGF,probability_mean,affected,nll,1.5591809815349718
CAGF,probability_mean,affected,brier,0.6519703822899671
CAGF,probability_mean,affected,ece15,0.11005555996644933
CAGF,probability_mean,unaffected,accuracy,0.5798383993843786
CAGF,probability_mean,unaffected,macro_f1,0.5559108457796959
CAGF,probability_mean,unaffected,macro_auroc,0.8531226861126332
CAGF,probability_mean,unaffected,macro_auprc,0.6265249211869005
CAGF,probability_mean,unaffected,nll,1.3191883735845278
CAGF,probability_mean,unaffected,brier,0.5668334793806016
CAGF,probability_mean,unaffected,ece15,0.10521673836837417
CAGF,log_probability_mean,all,accuracy,0.5520164986251146
CAGF,log_probability_mean,all,macro_f1,0.5307098222373147
CAGF,log_probability_mean,all,macro_auroc,0.8394338398598457
CAGF,log_probability_mean,all,macro_auprc,0.5861012243225023
CAGF,log_probability_mean,all,nll,1.5174665117522816
CAGF,log_probability_mean,all,brier,0.6204381918218943
CAGF,log_probability_mean,all,ece15,0.17885839423176678
CAGF,log_probability_mean,affected,accuracy,0.5042492917847026
CAGF,log_probability_mean,affected,macro_f1,0.4855812498832022
CAGF,log_probability_mean,affected,macro_auroc,0.8151520371445842
CAGF,log_probability_mean,affected,macro_auprc,0.5389038726271845
CAGF,log_probability_mean,affected,nll,1.6839522438024916
CAGF,log_probability_mean,affected,brier,0.6774502498223782
CAGF,log_probability_mean,affected,ece15,0.2041535611362025
CAGF,log_probability_mean,unaffected,accuracy,0.5844555598307041
CAGF,log_probability_mean,unaffected,macro_f1,0.5611383776243485
CAGF,log_probability_mean,unaffected,macro_auroc,0.8555329583284301
CAGF,log_probability_mean,unaffected,macro_auprc,0.6209430193495596
CAGF,log_probability_mean,unaffected,nll,1.4044048276166061
CAGF,log_probability_mean,unaffected,brier,0.5817208842532702
CAGF,log_probability_mean,unaffected,ece15,0.16195149437057466
CAGF,majority_vote,all,accuracy,0.5288725939505041
CAGF,majority_vote,all,macro_f1,0.5066334521603201
CAGF,majority_vote,all,macro_auroc,0.7581066761742364
CAGF,majority_vote,all,macro_auprc,0.49575677278856595
CAGF,majority_vote,all,nll,9.247639105863964
CAGF,majority_vote,all,brier,0.7258376616735422
CAGF,majority_vote,all,ece15,0.2669569202530152
CAGF,majority_vote,affected,accuracy,0.48158640226628896
CAGF,majority_vote,affected,macro_f1,0.4626689928205702
CAGF,majority_vote,affected,macro_auroc,0.7420778174758694
CAGF,majority_vote,affected,macro_auprc,0.4517276406617969
CAGF,majority_vote,affected,nll,9.405025618507016
CAGF,majority_vote,affected,brier,0.763361661942662
CAGF,majority_vote,affected,ece15,0.2498583569373004
CAGF,majority_vote,unaffected,accuracy,0.5609849942285494
CAGF,majority_vote,unaffected,macro_f1,0.5369191542329362
CAGF,majority_vote,unaffected,macro_auroc,0.7673093990188079
