representation,task,seed,method,fault,subset,metric,value
linear_resampling,cooler,101,CAGF,pressure,all,accuracy,0.963302752293578
linear_resampling,cooler,101,CAGF,pressure,all,macro_f1,0.9632034194521113
linear_resampling,cooler,101,CAGF,pressure,all,macro_auroc,0.9865691890520658
linear_resampling,cooler,101,CAGF,pressure,all,macro_auprc,0.9705817576238278
linear_resampling,cooler,101,CAGF,pressure,all,nll,0.3350519381547672
linear_resampling,cooler,101,CAGF,pressure,affected,accuracy,0.9620253164556962
linear_resampling,cooler,101,CAGF,pressure,affected,macro_f1,0.9628329064419289
linear_resampling,cooler,101,CAGF,pressure,affected,macro_auroc,0.9859402801060219
linear_resampling,cooler,101,CAGF,pressure,affected,macro_auprc,0.9755383949363937
linear_resampling,cooler,101,CAGF,pressure,affected,nll,0.2589855281938982
linear_resampling,cooler,101,CAGF,pressure,unaffected,accuracy,0.9640287769784173
linear_resampling,cooler,101,CAGF,pressure,unaffected,macro_f1,0.963370786516854
linear_resampling,cooler,101,CAGF,pressure,unaffected,macro_auroc,0.9869285980048511
linear_resampling,cooler,101,CAGF,pressure,unaffected,macro_auprc,0.9671201551819948
linear_resampling,cooler,101,CAGF,pressure,unaffected,nll,0.37828392654979354
linear_resampling,cooler,101,CAGF,vibration,all,accuracy,0.944954128440367
linear_resampling,cooler,101,CAGF,vibration,all,macro_f1,0.9448366013071897
linear_resampling,cooler,101,CAGF,vibration,all,macro_auroc,0.9774269132145844
linear_resampling,cooler,101,CAGF,vibration,all,macro_auprc,0.9462235322439495
linear_resampling,cooler,101,CAGF,vibration,all,nll,0.6969899222238595
linear_resampling,cooler,101,CAGF,vibration,affected,accuracy,0.9506172839506173
linear_resampling,cooler,101,CAGF,vibration,affected,macro_f1,0.947864747864748
linear_resampling,cooler,101,CAGF,vibration,affected,macro_auroc,0.9677549464152596
linear_resampling,cooler,101,CAGF,vibration,affected,macro_auprc,0.9436559239577309
linear_resampling,cooler,101,CAGF,vibration,affected,nll,0.6390248666493246
linear_resampling,cooler,101,CAGF,vibration,unaffected,accuracy,0.9416058394160584
linear_resampling,cooler,101,CAGF,vibration,unaffected,macro_f1,0.9393053340421762
linear_resampling,cooler,101,CAGF,vibration,unaffected,macro_auroc,0.980257687770368
linear_resampling,cooler,101,CAGF,vibration,unaffected,macro_auprc,0.9413762471168513
linear_resampling,cooler,101,CAGF,vibration,unaffected,nll,0.731261232454059
linear_resampling,cooler,101,PDRF_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,101,PDRF_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,affected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,affected,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,affected,nll,1.192092966562091e-07
linear_resampling,cooler,101,PDRF_NOQ,pressure,unaffected,accuracy,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,unaffected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,unaffected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,unaffected,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_NOQ,pressure,unaffected,nll,1.1920929665620914e-07
linear_resampling,cooler,101,PDRF_NOQ,vibration,all,accuracy,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,all,macro_f1,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,all,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,all,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,all,nll,1.192092966562092e-07
linear_resampling,cooler,101,PDRF_NOQ,vibration,affected,accuracy,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,affected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,affected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,affected,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,affected,nll,1.1920929665620916e-07
linear_resampling,cooler,101,PDRF_NOQ,vibration,unaffected,accuracy,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,unaffected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,unaffected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,unaffected,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_NOQ,vibration,unaffected,nll,1.1920929665620916e-07
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,all,accuracy,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,all,macro_f1,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,all,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,all,macro_auprc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,all,nll,1.192092966562092e-07
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,affected,accuracy,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,affected,macro_f1,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,affected,macro_auroc,1.0
linear_resampling,cooler,101,PDRF_RCIA_R30_NOQ,pressure,affected,macro_auprc,1.0
