representation,task,fault,subset,metric,CAGF,PDRF_NOQ,PDRF_RCIA_R30_NOQ,final_minus_cagf
linear_resampling,accumulator,pressure,affected,accuracy,0.30886075949367087,0.4075949367088607,0.4177215189873418,0.10886075949367091
linear_resampling,accumulator,pressure,affected,macro_auprc,0.37689460739474573,0.43452257656094656,0.4633608601941134,0.08646625279936765
linear_resampling,accumulator,pressure,affected,macro_auroc,0.607837851884462,0.6659815889396064,0.6932710608538553,0.08543320896939322
linear_resampling,accumulator,pressure,affected,macro_f1,0.3054729832552591,0.412953839931444,0.42136592682322505,0.11589294356796592
linear_resampling,accumulator,pressure,affected,nll,5.182644087394681,5.585068287490388,4.611095431293992,-0.5715486561006884
linear_resampling,accumulator,pressure,all,accuracy,0.5568807339449541,0.710091743119266,0.7036697247706422,0.14678899082568808
linear_resampling,accumulator,pressure,all,macro_auprc,0.5396240752947763,0.6731785340061203,0.6971758146432818,0.15755173934850553
linear_resampling,accumulator,pressure,all,macro_auroc,0.7501270325203252,0.8443492708736612,0.8634965667613026,0.1133695342409774
linear_resampling,accumulator,pressure,all,macro_f1,0.5546400911670499,0.7111695230719828,0.7034492179358052,0.14880912676875524
linear_resampling,accumulator,pressure,all,nll,3.098241805438012,2.249894173693154,1.8997028893188137,-1.1985389161191984
linear_resampling,accumulator,pressure,unaffected,accuracy,0.6978417266187049,0.8820143884892087,0.8661870503597122,0.1683453237410073
linear_resampling,accumulator,pressure,unaffected,macro_auprc,0.7104568104666356,0.9480666803332932,0.9456384110493252,0.23518160058268966
linear_resampling,accumulator,pressure,unaffected,macro_auroc,0.8489886166831452,0.9795036203918451,0.9783096338714609,0.12932101718831568
linear_resampling,accumulator,pressure,unaffected,macro_f1,0.6935875432645875,0.8816987631793041,0.8648592631267995,0.171271719862212
linear_resampling,accumulator,pressure,unaffected,nll,1.9135815156928557,0.35436356225443744,0.35869561726097804,-1.5548858984318776
linear_resampling,accumulator,vibration,affected,accuracy,0.6148148148148148,0.8098765432098766,0.8320987654320987,0.2172839506172839
linear_resampling,accumulator,vibration,affected,macro_auprc,0.6178107010444356,0.938426624755615,0.9487611547979441,0.3309504537535085
linear_resampling,accumulator,vibration,affected,macro_auroc,0.7979581408420842,0.9709657954235732,0.9765205254739368,0.1785623846318526
linear_resampling,accumulator,vibration,affected,macro_f1,0.5948929586532804,0.8073885491555493,0.8333870112648795,0.23849405261159906
linear_resampling,accumulator,vibration,affected,nll,2.1840607059185007,0.5367409867963999,0.4338353800753295,-1.750225325843171
linear_resampling,accumulator,vibration,all,accuracy,0.6431192660550458,0.8330275229357799,0.8348623853211009,0.19174311926605514
linear_resampling,accumulator,vibration,all,macro_auprc,0.6632388771296103,0.9245311733755752,0.9246664691372377,0.26142759200762744
linear_resampling,accumulator,vibration,all,macro_auroc,0.8266244031487935,0.9698060502430421,0.9705775207553662,0.1439531176065727
linear_resampling,accumulator,vibration,all,macro_f1,0.640515225816001,0.8334815636137953,0.8351731332317268,0.19465790741572586
linear_resampling,accumulator,vibration,all,nll,2.1047604938119115,0.48439817509357874,0.46072076346288265,-1.6440397303490288
linear_resampling,accumulator,vibration,unaffected,accuracy,0.6598540145985401,0.8467153284671532,0.8364963503649635,0.1766423357664234
linear_resampling,accumulator,vibration,unaffected,macro_auprc,0.6918725741631316,0.9098458217922263,0.9052170001934519,0.21334442603032022
linear_resampling,accumulator,vibration,unaffected,macro_auroc,0.8402695471197165,0.9704565349504453,0.9683529469512235,0.12808339983150707
linear_resampling,accumulator,vibration,unaffected,macro_f1,0.6507385732356084,0.839327247709478,0.8272169925372127,0.17647841930160435
linear_resampling,accumulator,vibration,unaffected,nll,2.0578749669459717,0.4534509652546844,0.4766165010861806,-1.5812584658597912
linear_resampling,cooler,pressure,affected,accuracy,0.9037974683544304,1.0,1.0,0.09620253164556958
linear_resampling,cooler,pressure,affected,macro_auprc,0.9028379555381096,1.0,1.0,0.09716204446189036
linear_resampling,cooler,pressure,affected,macro_auroc,0.9489555461597636,1.0,1.0,0.05104445384023637
linear_resampling,cooler,pressure,affected,macro_f1,0.9054147395993459,1.0,1.0,0.09458526040065407
linear_resampling,cooler,pressure,affected,nll,1.2202287730287829,1.192092966562091e-07,1.192092966562091e-07,-1.2202286538194862
linear_resampling,cooler,pressure,all,accuracy,0.9192660550458716,1.0,1.0,0.08073394495412844
linear_resampling,cooler,pressure,all,macro_auprc,0.9207803731643562,1.0,1.0,0.07921962683564376
linear_resampling,cooler,pressure,all,macro_auroc,0.9593480466768138,1.0,1.0,0.04065195332318616
linear_resampling,cooler,pressure,all,macro_f1,0.9199167754201124,1.0,1.0,0.08008322457988759
linear_resampling,cooler,pressure,all,nll,0.9963543272909163,1.192092966562092e-07,1.192092966562092e-07,-0.9963542080816197
linear_resampling,cooler,pressure,unaffected,accuracy,0.9280575539568344,1.0,1.0,0.07194244604316558
linear_resampling,cooler,pressure,unaffected,macro_auprc,0.9306498885072407,1.0,1.0,0.06935011149275927
linear_resampling,cooler,pressure,unaffected,macro_auroc,0.9641087614068453,1.0,1.0,0.035891238593154684
linear_resampling,cooler,pressure,unaffected,macro_f1,0.9282770465054652,1.0,1.0,0.07172295349453484
linear_resampling,cooler,pressure,unaffected,nll,0.8691163329506901,1.1920929665620914e-07,1.1920929665620914e-07,-0.8691162137413935
linear_resampling,cooler,vibration,affected,accuracy,0.9234567901234568,1.0,1.0,0.07654320987654317
linear_resampling,cooler,vibration,affected,macro_auprc,0.9260038921921787,1.0,1.0,0.07399610780782129
linear_resampling,cooler,vibration,affected,macro_auroc,0.9572875043953735,1.0,1.0,0.04271249560462653
linear_resampling,cooler,vibration,affected,macro_f1,0.9209659882298855,1.0,1.0,0.07903401177011449
linear_resampling,cooler,vibration,affected,nll,0.9482058922463382,1.1920929665620916e-07,1.1920929665620916e-07,-0.9482057730370416
linear_resampling,cooler,vibration,all,accuracy,0.918348623853211,1.0,1.0,0.08165137614678897
linear_resampling,cooler,vibration,all,macro_auprc,0.9206264552544876,1.0,1.0,0.07937354474551239
linear_resampling,cooler,vibration,all,macro_auroc,0.9601596459473172,1.0,1.0,0.039840354052682825
linear_resampling,cooler,vibration,all,macro_f1,0.9191181971465626,1.0,1.0,0.08088180285343738
linear_resampling,cooler,vibration,all,nll,1.064117426367431,1.192092966562092e-07,1.192092966562092e-07,-1.0641173071581342
linear_resampling,cooler,vibration,unaffected,accuracy,0.9153284671532846,1.0,1.0,0.08467153284671536
linear_resampling,cooler,vibration,unaffected,macro_auprc,0.9126304144831249,1.0,1.0,0.08736958551687513
linear_resampling,cooler,vibration,unaffected,macro_auroc,0.9610065866524599,1.0,1.0,0.03899341334754014
linear_resampling,cooler,vibration,unaffected,macro_f1,0.9140748015953489,1.0,1.0,0.08592519840465107
linear_resampling,cooler,vibration,unaffected,nll,1.1326490633295367,1.1920929665620916e-07,1.1920929665620916e-07,-1.13264894412024
linear_resampling,pump,pressure,affected,accuracy,0.7443037974683544,0.7949367088607595,0.8405063291139241,0.09620253164556969
linear_resampling,pump,pressure,affected,macro_auprc,0.786777878059986,0.8328310880663364,0.8624308529145095,0.07565297485452349
linear_resampling,pump,pressure,affected,macro_auroc,0.8713060323844637,0.9035590702442349,0.9213925436862913,0.05008651130182762
linear_resampling,pump,pressure,affected,macro_f1,0.7461081032134105,0.7912006992076991,0.8371807384608887,0.09107263524747822
linear_resampling,pump,pressure,affected,nll,1.6794339698902079,1.054566020866371,0.8926158163087408,-0.7868181535814671
linear_resampling,pump,pressure,all,accuracy,0.7908256880733945,0.9027522935779816,0.9155963302752292,0.12477064220183476
linear_resampling,pump,pressure,all,macro_auprc,0.8376510791938655,0.9317319394269941,0.942450825662082,0.10479974646821655
linear_resampling,pump,pressure,all,macro_auroc,0.9114921856788296,0.9642340114086689,0.9704780122588342,0.05898582658000462
