method,seed,n,downweight_success,failure_despite_downweight,clean_correct_retained,fault_accuracy,saturation
PDRF,101,1765,0.8022662889518414,0.42549575070821527,0.7582417582417582,0.48158640226628896,0.7546742209631728
PDRF,102,1765,0.7988668555240793,0.43796033994334277,0.7457627118644068,0.4730878186968839,0.4651558073654391
PDRF,103,1765,0.7915014164305949,0.4453257790368272,0.7178714859437751,0.46175637393767704,0.31274787535410764
PDRF,104,1765,0.8028328611898017,0.44079320113314446,0.726,0.46912181303116146,0.6441926345609065
PDRF,105,1765,0.7767705382436261,0.4288951841359773,0.7454909819639278,0.4679886685552408,0.13994334277620396
PDRF,106,1765,0.7932011331444759,0.4271954674220963,0.7529644268774703,0.4810198300283286,0.49745042492917846
PDRF,107,1765,0.7779036827195468,0.426628895184136,0.7300492610837438,0.4668555240793201,0.14674220963172804
PDRF,108,1765,0.805099150141643,0.41076487252124644,0.7908309455587392,0.5042492917847026,0.7388101983002833
PDRF,109,1765,0.8016997167138811,0.42549575070821527,0.736346516007533,0.4912181303116147,0.6759206798866856
PDRF,110,1765,0.8073654390934845,0.45042492917847027,0.7249283667621776,0.4651558073654391,0.7229461756373937
PDRF_RC,101,1765,0.805099150141643,0.4198300283286119,0.7837837837837838,0.48951841359773374,0.7518413597733711
PDRF_RC,102,1765,0.7988668555240793,0.4215297450424929,0.7723658051689861,0.4889518413597734,0.5677053824362607
PDRF_RC,103,1765,0.7898016997167139,0.43852691218130313,0.7314629258517034,0.46855524079320116,0.4011331444759207
PDRF_RC,104,1765,0.8045325779036827,0.4345609065155807,0.7425742574257426,0.47705382436260624,0.7059490084985836
PDRF_RC,105,1765,0.8045325779036827,0.43569405099150144,0.7487828627069133,0.4776203966005666,0.6906515580736544
PDRF_RC,106,1765,0.794900849858357,0.4192634560906516,0.7678571428571429,0.486685552407932,0.5733711048158641
PDRF_RC,107,1765,0.7835694050991502,0.4169971671388102,0.753411306042885,0.4810198300283286,0.1388101983002833
PDRF_RC,108,1765,0.8056657223796034,0.40226628895184136,0.8078393881453155,0.5110481586402267,0.7569405099150142
PDRF_RC,109,1765,0.8028328611898017,0.41189801699716716,0.7694497153700189,0.5053824362606232,0.739943342776204
PDRF_RC,110,1765,0.805099150141643,0.4526912181303116,0.7352056168505516,0.46118980169971674,0.7263456090651558
PDRF_RCI,101,1765,0.8062322946175637,0.4192634560906516,0.7829145728643216,0.4906515580736544,0.6810198300283287
PDRF_RCI,102,1765,0.7988668555240793,0.4209631728045326,0.7702970297029703,0.49008498583569404,0.5155807365439093
PDRF_RCI,103,1765,0.7898016997167139,0.4368271954674221,0.7337337337337337,0.4696883852691218,0.3745042492917847
PDRF_RCI,104,1765,0.8039660056657224,0.4345609065155807,0.7412935323383084,0.4764872521246459,0.6475920679886685
PDRF_RCI,105,1765,0.7881019830028329,0.4271954674220963,0.7639442231075697,0.4781869688385269,0.1954674220963173
PDRF_RCI,106,1765,0.7954674220963173,0.4209631728045326,0.7668650793650794,0.4855524079320113,0.5410764872521246
PDRF_RCI,107,1765,0.7824362606232295,0.4164305949008499,0.754863813229572,0.4827195467422096,0.13371104815864024
PDRF_RCI,108,1765,0.8062322946175637,0.4,0.8105263157894737,0.5121813031161473,0.7019830028328612
PDRF_RCI,109,1765,0.8028328611898017,0.4067988668555241,0.7765151515151515,0.5104815864022663,0.6946175637393768
PDRF_RCI,110,1765,0.805099150141643,0.45325779036827196,0.7335329341317365,0.4606232294617564,0.6827195467422096
PDRF_RCIA_R30,101,1765,0.8062322946175637,0.4237960339943343,0.785140562248996,0.484985835694051,0.6963172804532578
PDRF_RCIA_R30,102,1765,0.8005665722379603,0.42039660056657224,0.7774480712166172,0.49008498583569404,0.5495750708215298
PDRF_RCIA_R30,103,1765,0.7932011331444759,0.43286118980169974,0.7512537612838516,0.4776203966005666,0.4209631728045326
PDRF_RCIA_R30,104,1765,0.8039660056657224,0.426628895184136,0.7627627627627628,0.4827195467422096,0.6759206798866856
PDRF_RCIA_R30,105,1765,0.8011331444759207,0.43286118980169974,0.7558139534883721,0.47932011331444757,0.6781869688385269
PDRF_RCIA_R30,106,1765,0.7943342776203967,0.4186968838526912,0.7734915924826904,0.4889518413597734,0.5711048158640226
PDRF_RCIA_R30,107,1765,0.8016997167138811,0.40963172804532577,0.78055822906641,0.4991501416430595,0.6379603399433428
PDRF_RCIA_R30,108,1765,0.8073654390934845,0.39716713881019833,0.8248315688161694,0.5155807365439093,0.7121813031161474
PDRF_RCIA_R30,109,1765,0.8039660056657224,0.40226628895184136,0.7876190476190477,0.5144475920679886,0.7235127478753541
PDRF_RCIA_R30,110,1765,0.806798866855524,0.4215297450424929,0.7876447876447876,0.49291784702549574,0.7138810198300283
PDRF_REC,101,1765,0.8016997167138811,0.4164305949008499,0.7777777777777778,0.49178470254957507,0.7518413597733711
PDRF_REC,102,1765,0.8,0.42209631728045327,0.7655786350148368,0.488385269121813,0.5478753541076488
PDRF_REC,103,1765,0.7909348441926346,0.4351274787535411,0.7409274193548387,0.4702549575070821,0.40226628895184136
PDRF_REC,104,1765,0.805099150141643,0.4322946175637394,0.7452547452547452,0.47932011331444757,0.6980169971671388
PDRF_REC,105,1765,0.7852691218130312,0.426628895184136,0.7529527559055118,0.4776203966005666,0.24022662889518415
PDRF_REC,106,1765,0.7977337110481586,0.4226628895184136,0.7675568743818002,0.486685552407932,0.5739376770538244
PDRF_REC,107,1765,0.7875354107648725,0.4169971671388102,0.7502439024390244,0.48158640226628896,0.2226628895184136
PDRF_REC,108,1765,0.8073654390934845,0.403399433427762,0.8105263157894737,0.511614730878187,0.7626062322946175
PDRF_REC,109,1765,0.8022662889518414,0.41019830028328613,0.7650943396226415,0.5082152974504249,0.7354107648725212
PDRF_REC,110,1765,0.8056657223796034,0.44872521246458924,0.7362637362637363,0.46628895184135977,0.7308781869688386
