method,seed,subset,metric,value
CAGF,101,all,accuracy,0.5364344637946837
CAGF,101,all,macro_f1,0.5047938590524554
CAGF,101,all,macro_auroc,0.8305742691506267
CAGF,101,all,macro_auprc,0.5706735345872698
CAGF,101,all,nll,1.7448909369545176
CAGF,101,all,brier,0.664269846824298
CAGF,101,all,ece15,0.21837856675183193
CAGF,101,affected,accuracy,0.48441926345609065
CAGF,101,affected,macro_f1,0.45229004200037376
CAGF,101,affected,macro_auroc,0.8090436121976957
CAGF,101,affected,macro_auprc,0.5242163818999395
CAGF,101,affected,nll,1.9044783412860458
CAGF,101,affected,brier,0.7260889542934472
CAGF,101,affected,ece15,0.2456950735944526
CAGF,101,unaffected,accuracy,0.571758368603309
CAGF,101,unaffected,macro_f1,0.5422901268585648
CAGF,101,unaffected,macro_auroc,0.8448959574000882
CAGF,101,unaffected,macro_auprc,0.6043327708305833
CAGF,101,unaffected,nll,1.6365139578682737
CAGF,101,unaffected,brier,0.6222880366345912
CAGF,101,unaffected,ece15,0.19982772449797598
CAGF,102,all,accuracy,0.5098533455545371
CAGF,102,all,macro_f1,0.49438954831502274
CAGF,102,all,macro_auroc,0.8109119973526501
CAGF,102,all,macro_auprc,0.5351174820391843
CAGF,102,all,nll,1.8857220197229365
CAGF,102,all,brier,0.7149205040184936
CAGF,102,all,ece15,0.24852185802897875
CAGF,102,affected,accuracy,0.46572237960339946
CAGF,102,affected,macro_f1,0.44934865088128556
CAGF,102,affected,macro_auroc,0.7798222743507816
CAGF,102,affected,macro_auprc,0.49188534788251737
CAGF,102,affected,nll,2.2041887831569484
CAGF,102,affected,brier,0.7949250553709382
CAGF,102,affected,ece15,0.2977326886849769
CAGF,102,unaffected,accuracy,0.5398230088495575
CAGF,102,unaffected,macro_f1,0.5251943208480115
CAGF,102,unaffected,macro_auroc,0.8316782294987898
CAGF,102,unaffected,macro_auprc,0.5704706830255567
CAGF,102,unaffected,nll,1.669448900268904
CAGF,102,unaffected,brier,0.6605888252431704
CAGF,102,unaffected,ece15,0.21550747098579642
CAGF,103,all,accuracy,0.48625114573785516
CAGF,103,all,macro_f1,0.46148746712214944
CAGF,103,all,macro_auroc,0.7961947920851431
CAGF,103,all,macro_auprc,0.5192674137287853
CAGF,103,all,nll,1.7944267181531361
CAGF,103,all,brier,0.7266884713037981
CAGF,103,all,ece15,0.22206945110908022
CAGF,103,affected,accuracy,0.41246458923512747
CAGF,103,affected,macro_f1,0.38864364885823677
CAGF,103,affected,macro_auroc,0.7552592971186017
CAGF,103,affected,macro_auprc,0.46624750120141806
CAGF,103,affected,nll,2.2077726147002505
CAGF,103,affected,brier,0.8650979876041288
CAGF,103,affected,ece15,0.3210917094273878
