setting,seed,bound,beta,rank_weight,saturation,macro_auroc,affected_auroc,nll,ece15,brier
B=2,101,2.0,0.25,0.15,0.6764872521246459,0.8371507573772602,0.7997891751821005,1.8139878361649706,0.24983275362472263,0.6903801711122095
B=2,102,2.0,0.25,0.15,0.603399433427762,0.8413780416489427,0.8006402598172784,1.9624489982521476,0.2526189723828044,0.6696664585915064
B=2,103,2.0,0.25,0.15,0.5365439093484419,0.832024375539209,0.7857379645192678,2.532944792460461,0.31077057550687726,0.7272715064732284
B=3,101,3.0,0.25,0.15,0.6963172804532578,0.8407250353515572,0.807429185328396,1.8052177059401628,0.2531895537602038,0.6887301115774476
B=3,102,3.0,0.25,0.15,0.5495750708215298,0.8433037880140456,0.8052952219238945,1.9223618003461962,0.2471958312225604,0.6607192196813189
B=3,103,3.0,0.25,0.15,0.4209631728045326,0.8323280960533732,0.7902221018594302,2.429513504515198,0.3021820375267297,0.7224837541888737
B=4,101,4.0,0.25,0.15,0.7121813031161474,0.8401584777071219,0.8123319741808327,1.791891074708084,0.25569503266094584,0.6938556193620871
B=4,102,4.0,0.25,0.15,0.47195467422096316,0.8459315007824739,0.811781975313858,1.8935763037424544,0.2435957760875319,0.6548619072030489
B=4,103,4.0,0.25,0.15,0.38923512747875355,0.8364894624541064,0.798930955852542,2.281407192064752,0.28844317684580056,0.7057973941209883
B=5,101,5.0,0.25,0.15,0.6702549575070822,0.8510475947400445,0.8240895924414224,2.0161168212639082,0.2715788749716732,0.674306269193321
B=5,102,5.0,0.25,0.15,0.2719546742209632,0.8452234742130026,0.8141455820413661,1.8167545484028567,0.22910074527716007,0.6460989534049052
B=5,103,5.0,0.25,0.15,0.3189801699716714,0.8377677225910221,0.803225993599832,2.2231962224492228,0.2862027335355415,0.7011734181848811
beta=0.1,101,3.0,0.1,0.15,0.6385269121813031,0.8358409213923723,0.792269794037865,1.7986782220472666,0.24790913599358033,0.6924650676599408
beta=0.1,102,3.0,0.1,0.15,0.40963172804532577,0.8329844780768423,0.7861033537545145,2.0009245307072527,0.2543353632836851,0.6809608704462775
beta=0.1,103,3.0,0.1,0.15,0.25835694050991503,0.8235063786424274,0.7711716958334419,2.6500899701999963,0.31866473018248953,0.7465126565554512
beta=0.25,101,3.0,0.25,0.15,0.6963172804532578,0.8407250353515572,0.807429185328396,1.8052177059401628,0.2531895537602038,0.6887301115774476
beta=0.25,102,3.0,0.25,0.15,0.5495750708215298,0.8433037880140456,0.8052952219238945,1.9223618003461962,0.2471958312225604,0.6607192196813189
beta=0.25,103,3.0,0.25,0.15,0.4209631728045326,0.8323280960533732,0.7902221018594302,2.429513504515198,0.3021820375267297,0.7224837541888737
beta=0.5,101,3.0,0.5,0.15,0.45042492917847027,0.8504756415276554,0.8280740132992523,1.9272388586887108,0.24554530572142763,0.6568695088953175
beta=0.5,102,3.0,0.5,0.15,0.5790368271954675,0.8515416761441372,0.8245774084563046,1.848212055708686,0.23929972823719492,0.647798648854094
beta=0.5,103,3.0,0.5,0.15,0.5172804532577904,0.8471898527481082,0.8202110064209229,2.0198353554848127,0.2622810226790846,0.6637570292075119
beta=0.75,101,3.0,0.75,0.15,0.6708215297450425,0.8500145344847078,0.8327503351234613,1.9390545228616864,0.2712754183521411,0.6905829858242356
beta=0.75,102,3.0,0.75,0.15,0.7053824362606232,0.858535360331201,0.8346959359961614,2.0032292683822948,0.2579449841071443,0.6538816516284939
beta=0.75,103,3.0,0.75,0.15,0.45892351274787535,0.8515915811348198,0.8294158626568832,1.773622002969997,0.22897735216222043,0.6298590145077327
rank=0.05,101,3.0,0.25,0.05,0.08328611898016997,0.83389221873708,0.7902984906425226,1.9584098944332176,0.25000408881853525,0.6771835942542183
rank=0.05,102,3.0,0.25,0.05,0.635127478753541,0.8295321360485435,0.7866288692283204,2.1519090042575155,0.2747565561702337,0.7010126548408911
rank=0.05,103,3.0,0.25,0.05,0.16373937677053824,0.8337761739871442,0.7919048712118038,2.3385280286009165,0.291696656799229,0.7044546300049235
rank=0.15,101,3.0,0.25,0.15,0.6963172804532578,0.8407250353515572,0.807429185328396,1.8052177059401628,0.2531895537602038,0.6887301115774476
rank=0.15,102,3.0,0.25,0.15,0.5495750708215298,0.8433037880140456,0.8052952219238945,1.9223618003461962,0.2471958312225604,0.6607192196813189
rank=0.15,103,3.0,0.25,0.15,0.4209631728045326,0.8323280960533732,0.7902221018594302,2.429513504515198,0.3021820375267297,0.7224837541888737
rank=0.3,101,3.0,0.25,0.3,0.7342776203966006,0.8428565833854229,0.8095748080657353,1.863847131597948,0.25274509538432854,0.6867010799488971
rank=0.3,102,3.0,0.25,0.3,0.6441926345609065,0.8433648691295205,0.8072093565053052,1.9887527259018354,0.26279823415794035,0.6768870658688579
rank=0.3,103,3.0,0.25,0.3,0.5711048158640226,0.8349158521283863,0.7940576760606389,2.4850241973776916,0.30501364150334676,0.7222003429951215
