setting,bound,beta,rank_weight,saturation,macro_auroc,affected_auroc,nll,ece15
B=2,2.0,0.25,0.15,0.60547686496695,0.8368510581884706,0.7953891331728822,2.1031272089591933,0.2710741005048014
B=3,3.0,0.25,0.15,0.5556185080264401,0.8387856398063254,0.8009821697039069,2.0523643369338522,0.26752247416983127
B=4,4.0,0.25,0.15,0.5244570349386213,0.8408598136479007,0.8076816351157442,1.9889581901717637,0.2625779951980927
B=5,5.0,0.25,0.15,0.42039660056657224,0.8446795971813564,0.8138203893608735,2.018689197371996,0.2622941179281249
beta=0.1,3.0,0.1,0.15,0.4355051935788479,0.8307772593705472,0.7831816145419405,2.149897574318172,0.27363640981991827
beta=0.25,3.0,0.25,0.15,0.5556185080264401,0.8387856398063254,0.8009821697039069,2.0523643369338522,0.26752247416983127
beta=0.5,3.0,0.5,0.15,0.5155807365439093,0.8497357234733003,0.8242874760588266,1.9317620899607366,0.24904201887923572
beta=0.75,3.0,0.75,0.15,0.6117091595845137,0.8533804919835761,0.832287377925502,1.9053019314046595,0.25273258487383526
rank=0.05,3.0,0.25,0.05,0.2940509915014164,0.8324001762575892,0.7896107436942156,2.14961564243055,0.27215243392933264
rank=0.15,3.0,0.25,0.15,0.5556185080264401,0.8387856398063254,0.8009821697039069,2.0523643369338522,0.26752247416983127
rank=0.3,3.0,0.25,0.3,0.64985835694051,0.8403791015477765,0.8036139468772264,2.112541351625825,0.2735189903485385
