method,fault,batch,metric,value,n_samples
BCRF,clipping,8,macro_auroc,0.9499732727838156,294
BCRF,clipping,8,macro_auprc,0.8537008106401923,294
BCRF,clipping,8,accuracy,0.7857142857142857,294
BCRF,clipping,8,macro_f1,0.7306274563487353,294
BCRF,clipping,8,nll,0.6737659823723531,294
BCRF,clipping,9,macro_auroc,0.9308262612617856,470
BCRF,clipping,9,macro_auprc,0.8172647462918636,470
BCRF,clipping,9,accuracy,0.6468085106382979,470
BCRF,clipping,9,macro_f1,0.5906063765821581,470
BCRF,clipping,9,nll,1.030898481292767,470
BCRF,clipping,10,macro_auroc,0.8675385185185185,3600
BCRF,clipping,10,macro_auprc,0.675886924856922,3600
BCRF,clipping,10,accuracy,0.6136111111111111,3600
BCRF,clipping,10,macro_f1,0.5819318205578979,3600
BCRF,clipping,10,nll,1.3663498110171945,3600
BCRF,correlated_dual,8,macro_auroc,0.9396009783073936,294
BCRF,correlated_dual,8,macro_auprc,0.8284833519529086,294
BCRF,correlated_dual,8,accuracy,0.7380952380952381,294
BCRF,correlated_dual,8,macro_f1,0.7019456146274816,294
BCRF,correlated_dual,8,nll,0.7659613576033552,294
BCRF,correlated_dual,9,macro_auroc,0.9092629727091827,470
BCRF,correlated_dual,9,macro_auprc,0.7840476173533594,470
BCRF,correlated_dual,9,accuracy,0.6468085106382979,470
BCRF,correlated_dual,9,macro_f1,0.5888419121881941,470
BCRF,correlated_dual,9,nll,1.0618568174670822,470
BCRF,correlated_dual,10,macro_auroc,0.8527937962962963,3600
BCRF,correlated_dual,10,macro_auprc,0.6629702358401123,3600
BCRF,correlated_dual,10,accuracy,0.6113888888888889,3600
BCRF,correlated_dual,10,macro_f1,0.5791457848299156,3600
BCRF,correlated_dual,10,nll,1.3622580757659453,3600
BCRF,gain_loss,8,macro_auroc,0.9531145008117828,294
BCRF,gain_loss,8,macro_auprc,0.8796231126398895,294
BCRF,gain_loss,8,accuracy,0.7108843537414966,294
BCRF,gain_loss,8,macro_f1,0.693206970448466,294
BCRF,gain_loss,8,nll,0.631432123136216,294
BCRF,gain_loss,9,macro_auroc,0.9289371140084496,470
BCRF,gain_loss,9,macro_auprc,0.8177837492060568,470
BCRF,gain_loss,9,accuracy,0.6595744680851063,470
BCRF,gain_loss,9,macro_f1,0.6103230504689436,470
BCRF,gain_loss,9,nll,0.9533912264965307,470
BCRF,gain_loss,10,macro_auroc,0.8663534259259259,3600
BCRF,gain_loss,10,macro_auprc,0.6837150435656499,3600
BCRF,gain_loss,10,accuracy,0.615,3600
BCRF,gain_loss,10,macro_f1,0.5846790567589676,3600
BCRF,gain_loss,10,nll,1.379807217138905,3600
BCRF,linear_drift,8,macro_auroc,0.9567079227059613,294
BCRF,linear_drift,8,macro_auprc,0.8821736450566554,294
BCRF,linear_drift,8,accuracy,0.7074829931972789,294
BCRF,linear_drift,8,macro_f1,0.6934464037909981,294
BCRF,linear_drift,8,nll,0.638166489699518,294
BCRF,linear_drift,9,macro_auroc,0.9257226233974348,470
BCRF,linear_drift,9,macro_auprc,0.8096684687407651,470
BCRF,linear_drift,9,accuracy,0.6510638297872341,470
BCRF,linear_drift,9,macro_f1,0.6096041999050823,470
BCRF,linear_drift,9,nll,0.8857328421400682,470
BCRF,linear_drift,10,macro_auroc,0.8541396296296296,3600
BCRF,linear_drift,10,macro_auprc,0.6728308927274446,3600
BCRF,linear_drift,10,accuracy,0.6097222222222223,3600
BCRF,linear_drift,10,macro_f1,0.5865156774812946,3600
BCRF,linear_drift,10,nll,1.4747811624270541,3600
BCRF,natural,8,macro_auroc,0.9573172440788568,294
BCRF,natural,8,macro_auprc,0.8931078458598177,294
BCRF,natural,8,accuracy,0.7755102040816326,294
BCRF,natural,8,macro_f1,0.7308223838074585,294
BCRF,natural,8,nll,0.6063606998300085,294
BCRF,natural,9,macro_auroc,0.9413066340944335,470
BCRF,natural,9,macro_auprc,0.8156296641292679,470
BCRF,natural,9,accuracy,0.6446808510638298,470
BCRF,natural,9,macro_f1,0.5874852779554415,470
BCRF,natural,9,nll,0.9878119403700033,470
BCRF,natural,10,macro_auroc,0.876664074074074,3600
BCRF,natural,10,macro_auprc,0.6928513488130953,3600
BCRF,natural,10,accuracy,0.6169444444444444,3600
BCRF,natural,10,macro_f1,0.5852356689970463,3600
BCRF,natural,10,nll,1.512689155123693,3600
BCRF,offset,8,macro_auroc,0.9494435331758725,294
BCRF,offset,8,macro_auprc,0.8520578992667165,294
BCRF,offset,8,accuracy,0.6428571428571429,294
BCRF,offset,8,macro_f1,0.7160310846660917,294
BCRF,offset,8,nll,0.7749130812864987,294
BCRF,offset,9,macro_auroc,0.8866208086252102,470
BCRF,offset,9,macro_auprc,0.7974997924890209,470
BCRF,offset,9,accuracy,0.6361702127659574,470
BCRF,offset,9,macro_f1,0.614689943102123,470
BCRF,offset,9,nll,0.9687745785116839,470
BCRF,offset,10,macro_auroc,0.8453736111111111,3600
BCRF,offset,10,macro_auprc,0.6645189016553686,3600
BCRF,offset,10,accuracy,0.6044444444444445,3600
BCRF,offset,10,macro_f1,0.5831015668174008,3600
BCRF,offset,10,nll,1.4860238854867487,3600
BCRF,silent_gaussian,8,macro_auroc,0.9526628819048234,294
BCRF,silent_gaussian,8,macro_auprc,0.8586434090282763,294
BCRF,silent_gaussian,8,accuracy,0.7210884353741497,294
BCRF,silent_gaussian,8,macro_f1,0.6986874236874235,294
BCRF,silent_gaussian,8,nll,0.6918312724239826,294
BCRF,silent_gaussian,9,macro_auroc,0.913829260765636,470
BCRF,silent_gaussian,9,macro_auprc,0.8019839359998217,470
BCRF,silent_gaussian,9,accuracy,0.6553191489361702,470
BCRF,silent_gaussian,9,macro_f1,0.6051939959673076,470
BCRF,silent_gaussian,9,nll,0.9807471741028154,470
