seed,threshold,fraction
101,2.5,0.9621428571428572
101,2.7,0.9407142857142857
101,2.8,0.9228571428571428
101,2.9,0.8892857142857142
101,2.95,0.8421428571428572
102,2.5,0.7945392491467577
102,2.7,0.6921501706484642
102,2.8,0.6184300341296929
102,2.9,0.4737201365187713
102,2.95,0.3337883959044369
103,2.5,0.6390704429920117
103,2.7,0.5286855482933914
103,2.8,0.44371822803195354
103,2.9,0.3159041394335512
103,2.95,0.2185911401597676
104,2.5,0.8976945244956772
104,2.7,0.8580691642651297
104,2.8,0.8256484149855908
104,2.9,0.760806916426513
104,2.95,0.6801152737752162
105,2.5,0.49307075127644057
105,2.7,0.31801604668125455
105,2.8,0.21735959153902262
105,2.9,0.09482129832239242
105,2.95,0.043034281546316555
106,2.5,0.7848189415041783
106,2.7,0.717966573816156
106,2.8,0.6643454038997214
106,2.9,0.5445682451253482
106,2.95,0.43245125348189417
107,2.5,0.49504950495049505
107,2.7,0.3533891850723534
107,2.8,0.25514089870525514
107,2.9,0.1431835491241432
107,2.95,0.05635948210205636
108,2.5,0.9547325102880658
108,2.7,0.9368998628257887
108,2.8,0.9176954732510288
108,2.9,0.8834019204389575
108,2.95,0.8395061728395061
109,2.5,0.927710843373494
109,2.7,0.8951098511693835
109,2.8,0.8554216867469879
109,2.9,0.7866761162296244
109,2.95,0.7143869596031184
110,2.5,0.9344852411807055
110,2.7,0.9136069114470843
110,2.8,0.8948884089272858
110,2.9,0.8524118070554355
110,2.95,0.7912167026637869
