method,fault,calibrated,metric,value
BCRF,clipping,False,adaptive_ece_15,0.18670534800693706
BCRF,clipping,False,brier,0.5992838969657582
BCRF,clipping,False,ece_10,0.18703816452709823
BCRF,clipping,False,ece_15,0.1871620834071793
BCRF,clipping,False,ece_20,0.18717805867814938
BCRF,clipping,False,nll,1.6051066002167622
BCRF,clipping,True,adaptive_ece_15,0.23568334147047273
BCRF,clipping,True,brier,0.6338536970757358
BCRF,clipping,True,ece_10,0.2358533200241905
BCRF,clipping,True,ece_15,0.23599544229936859
BCRF,clipping,True,ece_20,0.23626181862080564
BCRF,clipping,True,nll,1.8778839862009675
BCRF,correlated_dual,False,adaptive_ece_15,0.2709067713185858
BCRF,correlated_dual,False,brier,0.7214194293361063
BCRF,correlated_dual,False,ece_10,0.27112696155782795
BCRF,correlated_dual,False,ece_15,0.27112445167541555
BCRF,correlated_dual,False,ece_20,0.27124520383679623
BCRF,correlated_dual,False,nll,2.333044536760366
BCRF,correlated_dual,True,adaptive_ece_15,0.31438630000712886
BCRF,correlated_dual,True,brier,0.75788210351069
BCRF,correlated_dual,True,ece_10,0.3144607110398008
BCRF,correlated_dual,True,ece_15,0.31465567780964204
BCRF,correlated_dual,True,ece_20,0.3147839168477615
BCRF,correlated_dual,True,nll,2.7661502621957115
BCRF,gain_loss,False,adaptive_ece_15,0.17524670678934406
BCRF,gain_loss,False,brier,0.5905724019340742
BCRF,gain_loss,False,ece_10,0.17552486605716883
BCRF,gain_loss,False,ece_15,0.17554892826617088
BCRF,gain_loss,False,ece_20,0.17566411852440517
BCRF,gain_loss,False,nll,1.5555713982080346
BCRF,gain_loss,True,adaptive_ece_15,0.2248325428327052
BCRF,gain_loss,True,brier,0.6215612659469681
BCRF,gain_loss,True,ece_10,0.22485346853610136
BCRF,gain_loss,True,ece_15,0.2250402039488885
BCRF,gain_loss,True,ece_20,0.22511041987035166
BCRF,gain_loss,True,nll,1.8004375422882966
BCRF,linear_drift,False,adaptive_ece_15,0.21341820407170528
BCRF,linear_drift,False,brier,0.6328659957603211
BCRF,linear_drift,False,ece_10,0.213806731421176
BCRF,linear_drift,False,ece_15,0.2139015177003595
BCRF,linear_drift,False,ece_20,0.21409492424828375
BCRF,linear_drift,False,nll,1.7636097770679648
BCRF,linear_drift,True,adaptive_ece_15,0.260648479432851
BCRF,linear_drift,True,brier,0.6683754917300172
BCRF,linear_drift,True,ece_10,0.26086753890068565
BCRF,linear_drift,True,ece_15,0.2612134489038742
BCRF,linear_drift,True,ece_20,0.2612517033178635
BCRF,linear_drift,True,nll,2.066607430472769
BCRF,natural,False,adaptive_ece_15,0.16564925559527494
BCRF,natural,False,brier,0.5431509316493386
BCRF,natural,False,ece_10,0.16539235519335752
BCRF,natural,False,ece_15,0.16532363943366363
BCRF,natural,False,ece_20,0.16560610311530957
BCRF,natural,False,nll,1.4384375471143223
BCRF,natural,True,adaptive_ece_15,0.21219592263852097
BCRF,natural,True,brier,0.5737605046477147
BCRF,natural,True,ece_10,0.2122909737325774
BCRF,natural,True,ece_15,0.21231204985165464
BCRF,natural,True,ece_20,0.2124155179758775
BCRF,natural,True,nll,1.6639859425134493
BCRF,offset,False,adaptive_ece_15,0.2413778193882307
BCRF,offset,False,brier,0.6797480255274484
BCRF,offset,False,ece_10,0.24157937634548493
BCRF,offset,False,ece_15,0.24160012511671347
BCRF,offset,False,ece_20,0.24169662161043046
BCRF,offset,False,nll,1.9501089451149425
BCRF,offset,True,adaptive_ece_15,0.2884747871775675
BCRF,offset,True,brier,0.7188175929613437
BCRF,offset,True,ece_10,0.288534793589609
BCRF,offset,True,ece_15,0.288678166513373
BCRF,offset,True,ece_20,0.2887338042156779
BCRF,offset,True,nll,2.3135712340727697
BCRF,silent_gaussian,False,adaptive_ece_15,0.2351472526829686
BCRF,silent_gaussian,False,brier,0.6655789343314031
BCRF,silent_gaussian,False,ece_10,0.2353228397360097
BCRF,silent_gaussian,False,ece_15,0.23538834847079623
BCRF,silent_gaussian,False,ece_20,0.2354342268269396
BCRF,silent_gaussian,False,nll,1.9299975103744944
BCRF,silent_gaussian,True,adaptive_ece_15,0.28126743838095425
BCRF,silent_gaussian,True,brier,0.702310387145643
BCRF,silent_gaussian,True,ece_10,0.28137540540544403
BCRF,silent_gaussian,True,ece_15,0.28152328514102176
BCRF,silent_gaussian,True,ece_20,0.2815726547880144
BCRF,silent_gaussian,True,nll,2.2859427674922452
BCRF,stuck_at,False,adaptive_ece_15,0.17940493232129254
BCRF,stuck_at,False,brier,0.6054351295366798
BCRF,stuck_at,False,ece_10,0.17972226704784097
BCRF,stuck_at,False,ece_15,0.18006746577291885
