seed,method,fault,true_class,pred_class,count
101,UF,natural,1,1,460
101,UF,natural,1,2,0
101,UF,natural,1,3,0
101,UF,natural,1,4,80
101,UF,natural,1,5,97
101,UF,natural,1,6,54
101,UF,natural,2,1,31
101,UF,natural,2,2,580
101,UF,natural,2,3,7
101,UF,natural,2,4,2
101,UF,natural,2,5,62
101,UF,natural,2,6,3
101,UF,natural,3,1,65
101,UF,natural,3,2,24
101,UF,natural,3,3,596
101,UF,natural,3,4,6
101,UF,natural,3,5,46
101,UF,natural,3,6,3
101,UF,natural,4,1,355
101,UF,natural,4,2,1
101,UF,natural,4,3,64
101,UF,natural,4,4,29
101,UF,natural,4,5,119
101,UF,natural,4,6,140
101,UF,natural,5,1,72
101,UF,natural,5,2,0
101,UF,natural,5,3,8
101,UF,natural,5,4,2
101,UF,natural,5,5,621
101,UF,natural,5,6,118
101,UF,natural,6,1,221
101,UF,natural,6,2,0
101,UF,natural,6,3,0
101,UF,natural,6,4,0
101,UF,natural,6,5,23
101,UF,natural,6,6,475
101,UF,silent_gaussian,1,1,385
101,UF,silent_gaussian,1,2,33
101,UF,silent_gaussian,1,3,22
101,UF,silent_gaussian,1,4,70
101,UF,silent_gaussian,1,5,99
101,UF,silent_gaussian,1,6,82
101,UF,silent_gaussian,2,1,72
101,UF,silent_gaussian,2,2,462
101,UF,silent_gaussian,2,3,40
101,UF,silent_gaussian,2,4,24
101,UF,silent_gaussian,2,5,63
101,UF,silent_gaussian,2,6,24
101,UF,silent_gaussian,3,1,56
101,UF,silent_gaussian,3,2,45
101,UF,silent_gaussian,3,3,531
101,UF,silent_gaussian,3,4,18
101,UF,silent_gaussian,3,5,45
101,UF,silent_gaussian,3,6,45
101,UF,silent_gaussian,4,1,254
101,UF,silent_gaussian,4,2,40
101,UF,silent_gaussian,4,3,67
101,UF,silent_gaussian,4,4,37
101,UF,silent_gaussian,4,5,108
101,UF,silent_gaussian,4,6,202
101,UF,silent_gaussian,5,1,60
101,UF,silent_gaussian,5,2,10
101,UF,silent_gaussian,5,3,45
101,UF,silent_gaussian,5,4,19
101,UF,silent_gaussian,5,5,545
101,UF,silent_gaussian,5,6,142
101,UF,silent_gaussian,6,1,214
101,UF,silent_gaussian,6,2,42
101,UF,silent_gaussian,6,3,40
101,UF,silent_gaussian,6,4,37
101,UF,silent_gaussian,6,5,47
