method,cost_scheme,coverage,reject_cost,fault_prevalence,expected_cost
EF,uniform,0.8,0.1,0.0,0.24319431714023831
EF,uniform,0.8,0.1,0.01,0.24344867094408798
EF,uniform,0.8,0.1,0.02,0.24370302474793767
EF,uniform,0.8,0.1,0.03,0.24395737855178734
EF,uniform,0.8,0.1,0.04,0.24421173235563703
EF,uniform,0.8,0.1,0.05,0.2444660861594867
EF,uniform,0.8,0.1,0.06,0.24472043996333637
EF,uniform,0.8,0.1,0.07,0.24497479376718606
EF,uniform,0.8,0.1,0.08,0.24522914757103575
EF,uniform,0.8,0.1,0.09,0.24548350137488545
EF,uniform,0.8,0.1,0.1,0.24573785517873512
EF,uniform,0.8,0.1,0.11,0.2459922089825848
EF,uniform,0.8,0.1,0.12,0.24624656278643448
EF,uniform,0.8,0.1,0.13,0.2465009165902841
EF,uniform,0.8,0.1,0.14,0.2467552703941338
EF,uniform,0.8,0.1,0.15,0.24700962419798347
EF,uniform,0.8,0.1,0.16,0.24726397800183317
EF,uniform,0.8,0.1,0.17,0.24751833180568283
EF,uniform,0.8,0.1,0.18,0.24777268560953253
EF,uniform,0.8,0.1,0.19,0.24802703941338222
EF,uniform,0.8,0.1,0.2,0.24828139321723192
EF,uniform,0.8,0.1,0.21,0.24853574702108158
EF,uniform,0.8,0.1,0.22,0.24879010082493125
EF,uniform,0.8,0.1,0.23,0.24904445462878094
EF,uniform,0.8,0.1,0.24,0.2492988084326306
EF,uniform,0.8,0.1,0.25,0.24955316223648027
EF,uniform,0.8,0.1,0.26,0.24980751604032997
EF,uniform,0.8,0.1,0.27,0.25006186984417966
EF,uniform,0.8,0.1,0.28,0.2503162236480293
EF,uniform,0.8,0.1,0.29,0.250570577451879
EF,uniform,0.8,0.1,0.3,0.2508249312557287
EF,uniform,0.8,0.1,0.31,0.2510792850595783
EF,uniform,0.8,0.1,0.32,0.251333638863428
EF,uniform,0.8,0.1,0.33,0.2515879926672777
EF,uniform,0.8,0.1,0.34,0.2518423464711274
EF,uniform,0.8,0.1,0.35000000000000003,0.2520967002749771
EF,uniform,0.8,0.1,0.36,0.25235105407882674
