method,fault,metric,value
BCRF,clipping,accuracy,0.5766040329972502
BCRF,clipping,brier,0.6338536970757358
BCRF,clipping,ece_15,0.23599544229936859
BCRF,clipping,macro_auprc,0.6254458706934063
BCRF,clipping,macro_auroc,0.8552296426369589
BCRF,clipping,macro_f1,0.5536517461559213
BCRF,clipping,nll,1.8778839862009675
BCRF,correlated_dual,accuracy,0.5293308890925756
BCRF,correlated_dual,brier,0.75788210351069
BCRF,correlated_dual,ece_15,0.31465567780964204
BCRF,correlated_dual,macro_auprc,0.5339914063401012
BCRF,correlated_dual,macro_auroc,0.8119092370965684
BCRF,correlated_dual,macro_f1,0.5121020821705718
BCRF,correlated_dual,nll,2.7661502621957115
BCRF,gain_loss,accuracy,0.5838680109990835
BCRF,gain_loss,brier,0.6215612659469681
BCRF,gain_loss,ece_15,0.2250402039488885
BCRF,gain_loss,macro_auprc,0.6308277303743901
BCRF,gain_loss,macro_auroc,0.8583236623507566
BCRF,gain_loss,macro_f1,0.5669280907069157
BCRF,gain_loss,nll,1.8004375422882966
BCRF,linear_drift,accuracy,0.5638863428047662
BCRF,linear_drift,brier,0.6683754917300172
BCRF,linear_drift,ece_15,0.2612134489038742
BCRF,linear_drift,macro_auprc,0.6106054015813445
BCRF,linear_drift,macro_auroc,0.8480097743980618
BCRF,linear_drift,macro_f1,0.5521992247605974
BCRF,linear_drift,nll,2.066607430472769
BCRF,natural,accuracy,0.6201649862511458
BCRF,natural,brier,0.5737605046477147
BCRF,natural,ece_15,0.21231204985165464
BCRF,natural,macro_auprc,0.6864413138059057
BCRF,natural,macro_auroc,0.8811305580864159
BCRF,natural,macro_f1,0.5937254276284397
BCRF,natural,nll,1.6639859425134493
BCRF,offset,accuracy,0.535884509624198
BCRF,offset,brier,0.7188175929613437
BCRF,offset,ece_15,0.288678166513373
BCRF,offset,macro_auprc,0.5844090191636964
BCRF,offset,macro_auroc,0.8329532361111649
BCRF,offset,macro_f1,0.5307499424116663
BCRF,offset,nll,2.3135712340727697
BCRF,silent_gaussian,accuracy,0.5517644362969752
BCRF,silent_gaussian,brier,0.702310387145643
BCRF,silent_gaussian,ece_15,0.28152328514102176
BCRF,silent_gaussian,macro_auprc,0.5785797051225801
BCRF,silent_gaussian,macro_auroc,0.8354192872976285
BCRF,silent_gaussian,macro_f1,0.5343644128807922
BCRF,silent_gaussian,nll,2.2859427674922452
BCRF,stuck_at,accuracy,0.5705774518790101
BCRF,stuck_at,brier,0.6382894850333806
BCRF,stuck_at,ece_15,0.23099058421583046
BCRF,stuck_at,macro_auprc,0.6197857559444798
BCRF,stuck_at,macro_auroc,0.8511557640538221
BCRF,stuck_at,macro_f1,0.5565147268340321
BCRF,stuck_at,nll,1.831116211209494
CAGF,clipping,accuracy,0.5219752520623281
CAGF,clipping,brier,0.681789957079632
CAGF,clipping,ece_15,0.20719003281756673
CAGF,clipping,macro_auprc,0.5531086589200951
CAGF,clipping,macro_auroc,0.8210194123747783
CAGF,clipping,macro_f1,0.49817491968994376
CAGF,clipping,nll,1.7136755379200017
CAGF,correlated_dual,accuracy,0.5129239230064162
CAGF,correlated_dual,brier,0.7118777134127562
CAGF,correlated_dual,ece_15,0.23925887014201264
CAGF,correlated_dual,macro_auprc,0.5284806726797878
CAGF,correlated_dual,macro_auroc,0.811848076004148
CAGF,correlated_dual,macro_f1,0.489441354844382
CAGF,correlated_dual,nll,1.9292354160166547
CAGF,gain_loss,accuracy,0.5281851512373968
CAGF,gain_loss,brier,0.6623629856597768
CAGF,gain_loss,ece_15,0.18440253439706794
CAGF,gain_loss,macro_auprc,0.5603372742792123
CAGF,gain_loss,macro_auroc,0.8241973498128546
CAGF,gain_loss,macro_f1,0.5176257223751112
CAGF,gain_loss,nll,1.6236881306215678
CAGF,linear_drift,accuracy,0.522846012832264
CAGF,linear_drift,brier,0.6961944266856103
CAGF,linear_drift,ece_15,0.22802774147851873
CAGF,linear_drift,macro_auprc,0.551991835361185
CAGF,linear_drift,macro_auroc,0.8198319411701588
CAGF,linear_drift,macro_f1,0.5050288095588271
CAGF,linear_drift,nll,1.787928486305573
CAGF,natural,accuracy,0.576833180568286
CAGF,natural,brier,0.6069236942853096
CAGF,natural,ece_15,0.18476353828632205
CAGF,natural,macro_auprc,0.6309052973300971
CAGF,natural,macro_auroc,0.8566239630568525
CAGF,natural,macro_f1,0.5467603241781587
CAGF,natural,nll,1.533381793930682
