sampling,seed,test_fault_modality,macro_auroc
dominant_prior,101,1,0.8475114935781014
dominant_prior,101,4,0.8417277562762296
dominant_prior,102,1,0.8409093675752507
dominant_prior,102,4,0.8154715261943944
dominant_prior,103,1,0.8341188307915252
dominant_prior,103,4,0.8100559026399493
dominant_prior,104,1,0.8306356214039745
dominant_prior,104,4,0.8305986879224748
dominant_prior,105,1,0.8388616617940402
dominant_prior,105,4,0.8075374596699348
uniform,101,1,0.8432023595506087
uniform,101,4,0.8441389396575171
uniform,102,1,0.8365862950652061
uniform,102,4,0.8281677142386811
uniform,103,1,0.8294529964606996
uniform,103,4,0.8219704954299818
uniform,104,1,0.8297845016083857
uniform,104,4,0.8368564805607418
uniform,105,1,0.8335786275617675
uniform,105,4,0.8398255482225593
exclude_test_sensor,101,1,0.841039622015172
exclude_test_sensor,101,4,0.7948770410957601
exclude_test_sensor,102,1,0.8420233371350768
exclude_test_sensor,102,4,0.7851455154001893
exclude_test_sensor,103,1,0.8349473669397508
exclude_test_sensor,103,4,0.794952082181768
exclude_test_sensor,104,1,0.8292510021642808
exclude_test_sensor,104,4,0.7898628323990108
exclude_test_sensor,105,1,0.8344927307505009
exclude_test_sensor,105,4,0.7824101098268194
