method,seed,parameters,train_seconds,epochs,inference_ms_per_observation
CAGF,101,26588,11.394876199992723,25,0.0014724335483297549
ENT-PD,101,17560,11.47671440000704,25,0.0009456232792376024
PDRF,101,19740,17.578684000007343,29,0.0011358845090228078
RO-PDRF,101,19740,21.76517199999944,29,0.0016571723162821868
CAGF,102,26588,9.544238800008316,19,0.0012872823116087417
ENT-PD,102,17560,6.716010000003735,14,0.001449610449864139
PDRF,102,19740,11.379371100003482,20,0.0010311411536888986
RO-PDRF,102,19740,15.136069899992435,20,0.0015615490370295177
CAGF,103,26588,9.542439299999387,19,0.0012496333624454818
ENT-PD,103,17560,8.67335080000339,18,0.0015464482104873556
PDRF,103,19740,10.50611950000166,18,0.0015001833170723241
RO-PDRF,103,19740,12.773893699995824,18,0.0015356095312097076
